ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
,0.0,TQBR,,,,,,,0.0,0.0,0,,CBOM,МКБ ао,2015-06-22,3,0.0,0,,
,0.0,TQBR,,,,,,,0.0,0.0,0,,CBOM,МКБ ао,2015-06-23,3,0.0,0,,
,0.0,TQBR,,,,,,,0.0,0.0,0,,CBOM,МКБ ао,2015-06-24,3,0.0,0,,
,0.0,TQBR,,,,,,,0.0,0.0,0,,CBOM,МКБ ао,2015-06-25,3,0.0,0,,
,0.0,TQBR,,,,,,,0.0,0.0,0,,CBOM,МКБ ао,2015-06-26,3,0.0,0,,
,0.0,TQBR,,,,,,,0.0,0.0,0,,CBOM,МКБ ао,2015-06-29,3,0.0,0,,
,0.0,TQBR,,,,,,,0.0,0.0,0,,CBOM,МКБ ао,2015-06-30,3,0.0,0,,
3.6325,79918313.1,TQBR,3.68,3.74,3.68,3.624,3.6325,3.6325,79918313.1,79918313.1,898,3.627,CBOM,МКБ ао,2015-07-01,3,79918313.1,22000500,3.6325,
3.6385,100804318.65,TQBR,3.6455,3.8,3.6455,3.624,3.6385,3.6385,100804318.65,100804318.65,505,3.8,CBOM,МКБ ао,2015-07-02,3,100804318.65,27706400,3.6385,
3.6425,139177504.2,TQBR,3.637,3.725,3.637,3.6315,3.6425,3.6425,139177504.2,139177504.2,145,3.725,CBOM,МКБ ао,2015-07-03,3,139177504.2,38211300,3.6425,
3.6515,30698859.0,TQBR,3.67,3.67,3.67,3.64,3.6515,3.6515,30698859.0,30698859.0,102,3.6405,CBOM,МКБ ао,2015-07-06,3,30698859.0,8407400,3.6515,
3.635,110812432.55,TQBR,3.631,3.8,3.631,3.631,3.635,3.635,110812432.55,110812432.55,182,3.8,CBOM,МКБ ао,2015-07-07,3,110812432.55,30483800,3.635,
3.6405,147089032.2,TQBR,3.649,3.66,3.649,3.6205,3.6405,3.6405,147089032.2,147089032.2,138,3.6205,CBOM,МКБ ао,2015-07-08,3,147089032.2,40402100,3.6405,
3.6415,126282420.6,TQBR,3.65,3.65,3.65,3.625,3.6415,3.6415,126282420.6,126282420.6,102,3.625,CBOM,МКБ ао,2015-07-09,3,126282420.6,34680400,3.6415,
3.641,97864492.05,TQBR,3.65,3.8,3.65,3.632,3.641,3.641,97864492.05,97864492.05,113,3.8,CBOM,МКБ ао,2015-07-10,3,97864492.05,26880300,3.641,
3.649,131260192.65,TQBR,3.6545,3.698,3.6545,3.642,3.649,3.649,131260192.65,131260192.65,145,3.698,CBOM,МКБ ао,2015-07-13,3,131260192.65,35973700,3.649,
3.65,194466710.75,TQBR,3.6525,3.6585,3.6525,3.6415,3.65,3.65,194466710.75,194466710.75,219,3.645,CBOM,МКБ ао,2015-07-14,3,194466710.75,53277400,3.65,
3.653,144939571.1,TQBR,3.656,3.656,3.6555,3.62,3.653,3.653,144939571.1,144939571.1,117,3.626,CBOM,МКБ ао,2015-07-15,3,144939571.1,39678800,3.653,
3.674,108635389.55,TQBR,3.676,3.683,3.676,3.639,3.674,3.674,108635389.55,108635389.55,136,3.6395,CBOM,МКБ ао,2015-07-16,3,108635389.55,29569700,3.674,
3.6695,7212509.85,TQBR,3.669,3.6745,3.669,3.669,3.6695,3.6695,7212509.85,7212509.85,26,3.671,CBOM,МКБ ао,2015-07-17,3,7212509.85,1965400,3.6695,
3.6615,78332795.1,TQBR,3.6625,3.664,3.6635,3.656,3.6615,3.6615,78332795.1,78332795.1,83,3.6625,CBOM,МКБ ао,2015-07-20,3,78332795.1,21393200,3.6615,
3.675,88618283.55,TQBR,3.677,3.677,3.677,3.66,3.675,3.675,88618283.55,88618283.55,54,3.671,CBOM,МКБ ао,2015-07-21,3,88618283.55,24115300,3.675,
3.6725,74724663.25,TQBR,3.67,3.6745,3.67,3.67,3.6725,3.6725,74724663.25,74724663.25,102,3.673,CBOM,МКБ ао,2015-07-22,3,74724663.25,20346500,3.6725,
3.675,67605498.5,TQBR,3.677,3.677,3.676,3.673,3.675,3.675,67605498.5,67605498.5,64,3.673,CBOM,МКБ ао,2015-07-23,3,67605498.5,18397000,3.675,
3.675,27052075.0,TQBR,3.67,3.6765,3.67,3.6685,3.675,3.675,27052075.0,27052075.0,58,3.6685,CBOM,МКБ ао,2015-07-24,3,27052075.0,7360700,3.675,
3.674,16960457.65,TQBR,3.6745,3.687,3.6745,3.621,3.674,3.674,16960457.65,16960457.65,45,3.621,CBOM,МКБ ао,2015-07-27,3,16960457.65,4616200,3.674,
3.662,68463381.7,TQBR,3.6605,3.6655,3.6605,3.6605,3.662,3.662,68463381.7,68463381.7,130,3.6655,CBOM,МКБ ао,2015-07-28,3,68463381.7,18695500,3.662,
3.664,34770241.05,TQBR,3.655,3.6645,3.655,3.655,3.664,3.664,34770241.05,34770241.05,29,3.6635,CBOM,МКБ ао,2015-07-29,3,34770241.05,9490200,3.664,
3.671,31433982.25,TQBR,3.672,3.672,3.672,3.655,3.671,3.671,31433982.25,31433982.25,50,3.6655,CBOM,МКБ ао,2015-07-30,3,31433982.25,8562700,3.671,
3.674,59153952.2,TQBR,3.6745,3.675,3.6745,3.67,3.674,3.674,59153952.2,59153952.2,12,3.675,CBOM,МКБ ао,2015-07-31,3,59153952.2,16101500,3.674,
3.6595,2102309.55,TQBR,3.6595,3.67,3.6595,3.6565,3.6595,3.6595,2102309.55,2102309.55,13,3.67,CBOM,МКБ ао,2015-08-03,3,2102309.55,574500,3.6595,
3.6545,2751187.7,TQBR,3.639,3.6695,3.639,3.639,3.6545,3.6425,763054.55,2751187.7,9,3.647,CBOM,МКБ ао,2015-08-04,3,648878.15,178300,3.639,
3.646,1153274.55,TQBR,3.635,3.6555,3.635,3.635,3.646,3.65,734019.35,1153274.55,7,3.635,CBOM,МКБ ао,2015-08-05,3,504396.4,138000,3.649,
,0.0,TQBR,3.63,3.6355,3.6325,3.63,,3.6505,634051.8,0.0,11,3.635,CBOM,МКБ ао,2015-08-06,3,159212.55,43800,3.625,
3.6825,14312376.6,TQBR,3.655,3.69,3.655,3.655,3.6825,3.6825,14312376.6,14312376.6,35,3.6645,CBOM,МКБ ао,2015-08-07,3,14312376.6,3886600,3.6825,
3.6825,14386209.15,TQBR,3.655,3.67,3.655,3.655,3.6825,3.6835,2421036.65,14386209.15,6,3.655,CBOM,МКБ ао,2015-08-10,3,73832.55,20200,3.655,
3.6905,59481758.65,TQBR,3.66,3.6915,3.66,3.656,3.6905,3.6905,59481758.65,59481758.65,55,3.656,CBOM,МКБ ао,2015-08-11,3,59481758.65,16117700,3.6905,
3.684,48597331.45,TQBR,3.68,3.6875,3.68,3.665,3.684,3.684,48597331.45,48597331.45,66,3.6795,CBOM,МКБ ао,2015-08-12,3,48597331.45,13190600,3.683,
3.69,18457748.95,TQBR,3.6905,3.6905,3.6905,3.6895,3.69,3.69,18457748.95,18457748.95,33,3.6895,CBOM,МКБ ао,2015-08-13,3,18457748.95,5002100,3.69,
3.688,23544101.8,TQBR,3.675,3.6905,3.675,3.675,3.688,3.688,23544101.8,23544101.8,43,3.68,CBOM,МКБ ао,2015-08-14,3,23544101.8,6384100,3.6885,
3.69,22144310.0,TQBR,3.691,3.691,3.691,3.689,3.69,3.69,22144310.0,22144310.0,40,3.689,CBOM,МКБ ао,2015-08-17,3,22144310.0,6001100,3.69,
3.69,29880351.75,TQBR,3.665,3.691,3.665,3.665,3.69,3.69,29880351.75,29880351.75,52,3.689,CBOM,МКБ ао,2015-08-18,3,29880351.75,8098200,3.69,
