ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
2110.0,389868269.5,TQBR,2110.0,2225.5,2110.0,2082.5,2166.0,2166.0,389868269.5,389868269.5,1740,2200.0,FIVE,FIVE-гдр,2018-02-01,3,389868269.5,179977,2166.5,
2052.0,266269261.0,TQBR,2052.0,2130.0,2052.0,2015.0,2063.0,2063.0,266269261.0,266269261.0,1105,2129.0,FIVE,FIVE-гдр,2018-02-02,3,266269261.0,129069,2063.0,
2089.5,136577202.0,TQBR,2089.5,2090.0,2089.5,2013.0,2030.5,2030.5,136577202.0,136577202.0,718,2070.0,FIVE,FIVE-гдр,2018-02-05,3,136577202.0,67260,2030.5,
2070.0,122287864.5,TQBR,2070.0,2088.5,2070.0,2005.0,2025.0,2025.0,122287864.5,122287864.5,2147,2060.0,FIVE,FIVE-гдр,2018-02-06,3,122287864.5,60393,2025.0,
2090.0,47544391.5,TQBR,2090.0,2117.0,2090.0,2020.0,2083.0,2083.0,47544391.5,47544391.5,492,2020.0,FIVE,FIVE-гдр,2018-02-07,3,47544391.5,22826,2084.0,
2134.0,67463985.5,TQBR,2134.0,2195.0,2134.0,2060.0,2102.5,2102.5,67463985.5,67463985.5,834,2090.0,FIVE,FIVE-гдр,2018-02-08,3,67463985.5,32091,2102.5,
2046.0,59200623.0,TQBR,2046.0,2120.0,2046.0,2035.0,2061.0,2061.0,59200623.0,59200623.0,905,2064.0,FIVE,FIVE-гдр,2018-02-09,3,59200623.0,28724,2061.0,
2100.5,23889949.5,TQBR,2100.5,2125.0,2100.5,2052.5,2080.0,2080.0,23889949.5,23889949.5,382,2065.0,FIVE,FIVE-гдр,2018-02-12,3,23889949.5,11486,2080.0,
2141.5,58486917.0,TQBR,2140.0,2150.0,2141.5,2091.0,2124.5,2124.5,58486917.0,58486917.0,307,2150.0,FIVE,FIVE-гдр,2018-02-13,3,58486917.0,27529,2124.5,
2150.5,60975967.5,TQBR,2150.5,2172.0,2150.5,2142.5,2157.0,2157.0,60975967.5,60975967.5,389,2149.5,FIVE,FIVE-гдр,2018-02-14,3,60975967.5,28268,2156.5,
2144.5,48105508.0,TQBR,2144.0,2155.0,2144.5,2112.0,2140.5,2140.5,48105508.0,48105508.0,330,2150.5,FIVE,FIVE-гдр,2018-02-15,3,48105508.0,22475,2140.5,
2130.0,121460935.0,TQBR,2130.0,2260.0,2130.0,2080.0,2171.5,2171.5,121460935.0,121460935.0,869,2157.5,FIVE,FIVE-гдр,2018-02-16,3,121460935.0,55935,2171.5,
2079.5,86374843.5,TQBR,2079.5,2209.0,2079.5,2060.0,2101.5,2101.5,86374843.5,86374843.5,1009,2209.0,FIVE,FIVE-гдр,2018-02-19,3,86374843.5,41100,2101.5,
1979.5,165957106.0,TQBR,1979.5,2075.5,1979.5,1941.5,1984.5,1984.5,165957106.0,165957106.0,2434,2075.0,FIVE,FIVE-гдр,2018-02-20,3,165957106.0,83633,1984.5,
1958.0,85841850.0,TQBR,1958.0,2019.5,1958.0,1905.5,1949.5,1949.5,85841850.0,85841850.0,1396,1979.5,FIVE,FIVE-гдр,2018-02-21,3,85841850.0,44033,1949.5,
1996.5,102818401.0,TQBR,1996.5,2030.0,1996.5,1930.0,1975.0,1975.0,102818401.0,102818401.0,1001,1958.0,FIVE,FIVE-гдр,2018-02-22,3,102818401.0,52056,1975.0,
2017.0,27722562.5,TQBR,2017.0,2035.0,2017.0,2003.0,2014.0,2014.0,27722562.5,27722562.5,458,2020.0,FIVE,FIVE-гдр,2018-02-26,3,27722562.5,13766,2014.0,
2017.0,7936641.5,TQBR,2017.0,2034.0,2017.0,2003.5,2016.5,2016.5,7936641.5,7936641.5,220,2034.0,FIVE,FIVE-гдр,2018-02-27,3,7936641.5,3936,2016.5,
2015.0,28171680.0,TQBR,2015.0,2029.0,2015.0,2002.5,2019.0,2019.0,28171680.0,28171680.0,252,2006.5,FIVE,FIVE-гдр,2018-02-28,3,28171680.0,13954,2019.0,
2040.0,114778224.5,TQBR,2040.0,2040.0,2040.0,1994.5,2027.0,2027.0,114778224.5,114778224.5,573,2023.5,FIVE,FIVE-гдр,2018-03-01,3,114778224.5,56625,2026.5,
2000.5,187630659.0,TQBR,2000.5,2044.5,2000.5,1969.5,1996.5,1996.5,187630659.0,187630659.0,1029,2020.0,FIVE,FIVE-гдр,2018-03-02,3,187630659.0,93981,1996.5,
2002.0,84861121.5,TQBR,2016.0,2050.0,2002.0,1980.0,2023.5,2023.5,84861121.5,84861121.5,582,2006.5,FIVE,FIVE-гдр,2018-03-05,3,84861121.5,41937,2023.5,
1943.5,278280732.5,TQBR,1943.5,2032.5,1943.5,1930.0,1975.5,1975.5,278280732.5,278280732.5,1987,2001.5,FIVE,FIVE-гдр,2018-03-06,3,278280732.5,140872,1975.5,
1946.5,301030236.5,TQBR,1946.5,1960.0,1946.5,1920.0,1941.5,1941.5,301030236.5,301030236.5,1207,1957.5,FIVE,FIVE-гдр,2018-03-07,3,301030236.5,155042,1941.5,
1955.5,201044113.0,TQBR,1955.5,1968.0,1955.5,1935.0,1960.5,1960.5,201044113.0,201044113.0,551,1935.0,FIVE,FIVE-гдр,2018-03-09,3,201044113.0,102546,1960.5,
1958.0,165594700.0,TQBR,1960.5,1980.0,1958.0,1937.0,1962.5,1962.5,165594700.0,165594700.0,675,1965.5,FIVE,FIVE-гдр,2018-03-12,3,165594700.0,84376,1962.5,
1910.0,235489103.0,TQBR,1910.0,1975.0,1910.0,1905.0,1923.5,1923.5,235489103.0,235489103.0,2309,1975.0,FIVE,FIVE-гдр,2018-03-13,3,235489103.0,122430,1923.5,
