ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
0.6265,234478639.42,TQBR,,,0.6139,,0.6265,0.6265,234478639.42,234478639.42,0,,HYDR,РусГидро,2013-03-25,3,0.0,0,,
0.5927,764392324.57,TQBR,,,0.5846,,0.5927,0.5927,764392324.57,764392324.57,0,,HYDR,РусГидро,2013-03-26,3,0.0,0,,
0.582,760374927.94,TQBR,,,0.6048,,0.582,0.582,760374927.94,760374927.94,0,,HYDR,РусГидро,2013-03-27,3,0.0,0,,
0.6083,480087625.46,TQBR,,,0.6112,,0.6083,0.6083,480087625.46,480087625.46,0,,HYDR,РусГидро,2013-03-28,3,0.0,0,,
0.6136,158746914.14,TQBR,,,0.6132,,0.6136,0.6136,158746914.14,158746914.14,0,,HYDR,РусГидро,2013-03-29,3,0.0,0,,
0.6035,226792790.24,TQBR,,,0.5978,,0.6035,0.6035,226792790.24,226792790.24,0,,HYDR,РусГидро,2013-04-01,3,0.0,0,,
0.597,282239561.62,TQBR,,,0.5919,,0.597,0.597,282239561.62,282239561.62,0,,HYDR,РусГидро,2013-04-02,3,0.0,0,,
0.5797,322750072.44,TQBR,,,0.5723,,0.5797,0.5797,322750072.44,322750072.44,0,,HYDR,РусГидро,2013-04-03,3,0.0,0,,
0.5644,387080282.02,TQBR,0.56,0.5959,0.5611,0.56,0.5644,0.5644,387080282.02,387080282.02,11,0.57,HYDR,РусГидро,2013-04-04,3,21176.9,37000,0.5723,
0.5562,398609986.69,TQBR,0.55,0.5565,0.5526,0.55,0.5562,0.5562,398609986.69,398609986.69,136,0.5565,HYDR,РусГидро,2013-04-05,3,524373.9,952000,0.5508,
0.5493,312188028.35,TQBR,0.54,0.5574,0.5368,0.54,0.5493,0.5493,312188028.35,312188028.35,52,0.5574,HYDR,РусГидро,2013-04-08,3,111090.2,203000,0.5472,
0.5353,442738801.81,TQBR,0.532,0.5348,0.5332,0.532,0.5353,0.5353,442738801.81,442738801.81,6,0.5348,HYDR,РусГидро,2013-04-09,3,11184.4,21000,0.5326,
0.5407,473322828.61,TQBR,0.5416,0.5416,0.5373,0.53,0.5407,0.5407,473322828.61,473322828.61,10,0.54,HYDR,РусГидро,2013-04-10,3,218510.2,407000,0.5369,
0.5195,554831677.05,TQBR,0.515,0.535,0.5126,0.515,0.5195,0.5195,554831677.05,554831677.05,12,0.535,HYDR,РусГидро,2013-04-11,3,111825.1,213000,0.525,
0.4939,672512707.55,TQBR,0.5,0.51,0.4988,0.485,0.4939,0.4939,672512707.55,672512707.55,11,0.51,HYDR,РусГидро,2013-04-12,3,16905.0,34000,0.4972,
0.4792,723990600.53,TQBR,0.495,0.495,0.4855,0.4601,0.4792,0.4792,723990600.53,723990600.53,31,0.4859,HYDR,РусГидро,2013-04-15,3,164618.8,351000,0.469,
0.4977,748600699.13,TQBR,0.495,0.5238,0.4966,0.4555,0.4977,0.4977,748600699.13,748600699.13,25,0.5,HYDR,РусГидро,2013-04-16,3,148439.5,302000,0.4915,
0.4813,820563730.51,TQBR,0.4705,0.51,0.4718,0.4705,0.4813,0.4813,820563730.51,820563730.51,4,0.51,HYDR,РусГидро,2013-04-17,3,31042.0,64000,0.485,
0.4712,441480086.98,TQBR,0.4727,0.4727,0.4651,0.4602,0.4712,0.4712,441480086.98,441480086.98,6,0.4602,HYDR,РусГидро,2013-04-18,3,17402.4,37000,0.4703,
0.4553,339148049.91,TQBR,0.45,0.4684,0.4533,0.45,0.4553,0.4553,339148049.91,339148049.91,9,0.4684,HYDR,РусГидро,2013-04-19,3,101151.0,223000,0.4536,
0.4634,576936916.64,TQBR,0.4901,0.4901,0.4688,0.4175,0.4634,0.4634,576936916.64,576936916.64,58,0.455,HYDR,РусГидро,2013-04-22,3,227827.0,495000,0.4603,
0.4847,721222740.52,TQBR,0.4911,0.4911,0.4897,0.46,0.4847,0.4847,721222740.52,721222740.52,7,0.46,HYDR,РусГидро,2013-04-23,3,69421.0,142000,0.4889,
0.5204,1406402247.48,TQBR,0.5321,0.5399,0.5368,0.5,0.5204,0.5204,1406402247.48,1406402247.48,18,0.5001,HYDR,РусГидро,2013-04-24,3,129870.0,253000,0.5133,
0.5373,1445228464.84,TQBR,0.52,0.56,0.5159,0.52,0.5373,0.5373,1445228464.84,1445228464.84,10,0.535,HYDR,РусГидро,2013-04-25,3,53608.0,97000,0.5527,
0.5081,1025183687.91,TQBR,0.51,0.5201,0.5135,0.495,0.5081,0.5081,1025183687.91,1025183687.91,20,0.51,HYDR,РусГидро,2013-04-26,3,671951.6,1318000,0.5098,
0.5204,541534875.13,TQBR,0.52,0.5251,0.5281,0.52,0.5204,0.5204,541534875.13,541534875.13,2,0.5251,HYDR,РусГидро,2013-04-29,3,17313.0,33000,0.5246,
0.5452,704862115.94,TQBR,0.55,0.55,0.5552,0.543,0.5452,0.5452,704862115.94,704862115.94,6,0.5451,HYDR,РусГидро,2013-04-30,3,351261.0,639000,0.5497,
0.5723,748524410.25,TQBR,0.58,0.6116,0.5785,0.565,0.5723,0.5723,748524410.25,748524410.25,12,0.565,HYDR,РусГидро,2013-05-02,3,173412.6,289000,0.6,
0.5746,616530735.25,TQBR,0.5851,0.5851,0.576,0.5851,0.5746,0.5746,616530735.25,616530735.25,10,0.5851,HYDR,РусГидро,2013-05-03,3,355155.7,607000,0.5851,
0.5887,708998495.36,TQBR,0.5752,0.577,0.5833,0.571,0.5887,0.5887,708998495.36,708998495.36,8,0.571,HYDR,РусГидро,2013-05-06,3,338499.0,590000,0.5737,
0.574,586109994.5,TQBR,,,0.5705,,0.574,0.574,586109994.5,586109994.5,0,,HYDR,РусГидро,2013-05-07,3,0.0,0,,
0.5594,567216245.38,TQBR,,,0.5549,,0.5594,0.5594,567216245.38,567216245.38,0,,HYDR,РусГидро,2013-05-08,3,0.0,0,,
0.5508,282171729.04,TQBR,,,0.5396,,0.5508,0.5508,282171729.04,282171729.04,0,,HYDR,РусГидро,2013-05-10,3,0.0,0,,
0.5296,568492526.99,TQBR,0.532,0.532,0.5299,0.5313,0.5296,0.5296,568492526.99,568492526.99,3,0.5313,HYDR,РусГидро,2013-05-13,3,28161.0,53000,0.5313,
0.5444,667857649.03,TQBR,0.548,0.55,0.5435,0.538,0.5444,0.5444,667857649.03,667857649.03,7,0.538,HYDR,РусГидро,2013-05-14,3,59946.2,110000,0.545,
0.5469,487640319.45,TQBR,0.548,0.5883,0.5469,0.543,0.5469,0.5469,487640319.45,487640319.45,9,0.548,HYDR,РусГидро,2013-05-15,3,96506.0,172000,0.5611,
0.5254,461995440.9,TQBR,0.515,0.548,0.515,0.515,0.5254,0.5254,461995440.9,461995440.9,4,0.548,HYDR,РусГидро,2013-05-16,3,6345.0,12000,0.5288,
0.5224,496511839.48,TQBR,0.533,0.533,0.5342,0.505,0.5224,0.5224,496511839.48,496511839.48,15,0.51,HYDR,РусГидро,2013-05-17,3,70749.5,136000,0.5202,
0.5377,361271489.4,TQBR,0.5365,0.56,0.5407,0.5204,0.5377,0.5377,361271489.4,361271489.4,11,0.5225,HYDR,РусГидро,2013-05-20,3,59856.7,110000,0.5442,
0.5441,478390543.0,TQBR,0.547,0.548,0.5438,0.5179,0.5441,0.5441,478390543.0,478390543.0,13,0.518,HYDR,РусГидро,2013-05-21,3,343961.0,629000,0.5468,
0.556,666928057.9,TQBR,0.5557,0.5557,0.552,0.5317,0.556,0.556,666928057.9,666928057.9,3,0.54,HYDR,РусГидро,2013-05-22,3,3802.2,7000,0.5432,
0.5344,587150566.8,TQBR,,,0.5298,,0.5344,0.5344,587150566.8,587150566.8,0,,HYDR,РусГидро,2013-05-23,3,0.0,0,,
0.5253,346077627.0,TQBR,0.5201,0.528,0.5239,0.5201,0.5253,0.5253,346077627.0,346077627.0,5,0.525,HYDR,РусГидро,2013-05-24,3,22031.6,42000,0.5246,
0.5216,263327555.9,TQBR,0.523,0.525,0.5227,0.52,0.5216,0.5216,263327555.9,263327555.9,4,0.525,HYDR,РусГидро,2013-05-27,3,44907.5,86000,0.5222,
0.5327,290533378.1,TQBR,0.5355,0.5355,0.5331,0.5355,0.5327,0.5327,290533378.1,290533378.1,2,0.5355,HYDR,РусГидро,2013-05-28,3,41233.5,77000,0.5355,
0.5178,269968280.9,TQBR,0.515,0.525,0.5143,0.515,0.5178,0.5178,269968280.9,269968280.9,3,0.525,HYDR,РусГидро,2013-05-29,3,4680.0,9000,0.52,
0.5048,357811194.6,TQBR,0.5,0.51,0.5037,0.5,0.5048,0.5048,357811194.6,357811194.6,5,0.51,HYDR,РусГидро,2013-05-30,3,14052.5,28000,0.5019,
0.4854,670892692.7,TQBR,0.47,0.5,0.4712,0.47,0.4854,0.4854,670892692.7,670892692.7,16,0.5,HYDR,РусГидро,2013-05-31,3,20400.3,42000,0.4857,
0.4662,558725009.6,TQBR,0.4625,0.4725,0.462,0.46,0.4662,0.4662,558725009.6,558725009.6,18,0.465,HYDR,РусГидро,2013-06-03,3,82964.5,179000,0.4635,
0.4741,459184861.8,TQBR,0.4675,0.4815,0.469,0.4675,0.4741,0.4741,459184861.8,459184861.8,6,0.4815,HYDR,РусГидро,2013-06-04,3,34434.8,72000,0.4783,
0.4688,645730364.2,TQBR,0.4675,0.4758,0.4706,0.46,0.4688,0.4688,645730364.2,645730364.2,10,0.465,HYDR,РусГидро,2013-06-05,3,22843.9,49000,0.4662,
0.4646,419350117.8,TQBR,0.457,0.4997,0.4584,0.457,0.4646,0.4646,419350117.8,419350117.8,21,0.4723,HYDR,РусГидро,2013-06-06,3,143398.0,304000,0.4717,
0.477,526560324.1,TQBR,0.4858,0.4858,0.4814,0.4658,0.477,0.477,526560324.1,526560324.1,9,0.4658,HYDR,РусГидро,2013-06-07,3,40881.9,85000,0.481,
0.4825,477002518.0,TQBR,0.4908,0.4908,0.4771,0.4908,0.4825,0.4825,477002518.0,477002518.0,1,0.4908,HYDR,РусГидро,2013-06-10,3,1472.4,3000,0.4908,
0.4687,536921629.1,TQBR,0.465,0.465,0.4669,0.465,0.4687,0.4687,536921629.1,536921629.1,1,0.465,HYDR,РусГидро,2013-06-11,3,46500.0,100000,0.465,
0.458,468612528.2,TQBR,0.5112,0.514,0.4689,0.4933,0.458,0.458,468612528.2,468612528.2,8,0.514,HYDR,РусГидро,2013-06-13,3,20800.1,41000,0.5073,
0.4776,521139045.9,TQBR,0.4799,0.4799,0.483,0.4798,0.4776,0.4776,521139045.9,521139045.9,3,0.4798,HYDR,РусГидро,2013-06-14,3,31192.5,65000,0.4799,
