ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
7193.8,509290138.2,TQBR,7040.0,7040.0,7235.2,7040.0,7193.8,7193.8,509290138.2,509290138.2,4,7040.0,MGNT,Магнит ао,2013-07-08,3,387200.0,55,7040.0,
7239.6,398252919.4,TQBR,7240.0,7240.0,7249.5,7240.0,7239.6,7239.6,398252919.4,398252919.4,1,7240.0,MGNT,Магнит ао,2013-07-09,3,144800.0,20,7240.0,
7182.5,1006547285.8,TQBR,7100.0,7100.0,7127.0,7100.0,7182.5,7182.5,1006547285.8,1006547285.8,1,7100.0,MGNT,Магнит ао,2013-07-10,3,7100.0,1,7100.0,
7190.3,959396207.6,TQBR,7175.8,7200.0,7228.3,7080.0,7190.3,7190.3,959396207.6,959396207.6,5,7200.0,MGNT,Магнит ао,2013-07-11,3,179317.0,25,7172.7,
7368.3,958095703.9,TQBR,7293.0,7293.0,7408.4,7293.0,7368.3,7368.3,958095703.9,958095703.9,4,7293.0,MGNT,Магнит ао,2013-07-12,3,145860.0,20,7293.0,
7443.1,787722537.6,TQBR,,,7497.1,,7443.1,7443.1,787722537.6,787722537.6,0,,MGNT,Магнит ао,2013-07-15,3,0.0,0,,
7490.0,805179491.8,TQBR,,,7426.4,,7490.0,7490.0,805179491.8,805179491.8,0,,MGNT,Магнит ао,2013-07-16,3,0.0,0,,
7352.3,876376040.1,TQBR,7350.0,7470.0,7326.6,7290.1,7352.3,7352.3,876376040.1,876376040.1,20,7400.0,MGNT,Магнит ао,2013-07-17,3,2157460.0,293,7363.3,
7371.1,610462928.2,TQBR,7350.0,7362.0,7471.4,7350.0,7371.1,7371.1,610462928.2,610462928.2,15,7362.0,MGNT,Магнит ао,2013-07-18,3,1323012.0,180,7350.1,
7579.6,605110491.1,TQBR,7650.1,7650.1,7695.7,7520.0,7579.6,7579.6,605110491.1,605110491.1,19,7520.0,MGNT,Магнит ао,2013-07-19,3,1467692.6,192,7644.2,
