ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
48.18,18915589.9,TQBR,48.13,48.65,48.13,47.7,48.18,48.18,18915589.9,18915589.9,97,47.95,MOEX,МосБиржа,2013-04-04,3,10148463.2,210880,48.12,
48.25,22663226.9,TQBR,47.69,48.76,48.13,47.47,48.25,48.25,22663226.9,22663226.9,146,48.15,MOEX,МосБиржа,2013-04-05,3,16698661.4,345780,48.29,
47.79,16169507.6,TQBR,47.54,48.08,47.52,47.51,47.79,47.79,16169507.6,16169507.6,101,48.07,MOEX,МосБиржа,2013-04-08,3,10889442.1,227840,47.79,
47.6,30226869.9,TQBR,47.48,47.8,47.45,47.42,47.6,47.6,30226869.9,30226869.9,170,47.61,MOEX,МосБиржа,2013-04-09,3,20233800.0,425000,47.61,
47.25,26661295.1,TQBR,46.96,47.44,46.88,46.96,47.25,47.25,26661295.1,26661295.1,57,47.37,MOEX,МосБиржа,2013-04-10,3,6624780.0,140100,47.29,
46.62,50570770.8,TQBR,45.73,47.13,45.86,45.73,46.62,46.62,50570770.8,50570770.8,197,47.0,MOEX,МосБиржа,2013-04-11,3,22480934.5,482700,46.57,
45.59,55558278.6,TQBR,45.63,45.88,45.49,45.39,45.59,45.59,55558278.6,55558278.6,306,45.79,MOEX,МосБиржа,2013-04-12,3,34171079.0,749350,45.6,
45.73,77799849.9,TQBR,45.59,46.21,45.62,45.53,45.73,45.73,77799849.9,77799849.9,123,45.73,MOEX,МосБиржа,2013-04-15,3,14109575.0,307500,45.88,
44.59,42768297.0,TQBR,43.43,45.43,43.46,42.65,44.59,44.59,42768297.0,42768297.0,155,45.39,MOEX,МосБиржа,2013-04-16,3,16885817.0,380600,44.37,
43.51,56047059.9,TQBR,43.43,43.76,43.28,43.22,43.51,43.51,56047059.9,56047059.9,116,43.54,MOEX,МосБиржа,2013-04-17,3,11059031.7,254050,43.53,
43.2,47033675.2,TQBR,42.63,43.54,43.0,42.62,43.2,43.2,47033675.2,47033675.2,82,43.28,MOEX,МосБиржа,2013-04-18,3,8639628.0,200200,43.15,
43.27,61746691.1,TQBR,43.46,43.47,43.5,43.03,43.27,43.27,61746691.1,61746691.1,41,43.27,MOEX,МосБиржа,2013-04-19,3,4003901.3,92620,43.23,
43.65,25288544.4,TQBR,43.65,43.85,43.54,43.53,43.65,43.65,25288544.4,25288544.4,48,43.82,MOEX,МосБиржа,2013-04-22,3,4660562.5,106750,43.66,
43.89,40414886.4,TQBR,43.95,43.97,44.0,43.66,43.89,43.89,40414886.4,40414886.4,34,43.66,MOEX,МосБиржа,2013-04-23,3,3723600.0,85000,43.81,
44.37,24801001.7,TQBR,44.52,44.53,44.42,44.09,44.37,44.37,24801001.7,24801001.7,54,44.09,MOEX,МосБиржа,2013-04-24,3,4548901.6,102610,44.33,
44.4,47453493.6,TQBR,44.22,44.64,44.19,44.13,44.4,44.4,47453493.6,47453493.6,205,44.57,MOEX,МосБиржа,2013-04-25,3,22774100.0,512500,44.44,
44.56,155881221.2,TQBR,44.68,44.92,44.61,44.32,44.56,44.56,155881221.2,155881221.2,1078,44.37,MOEX,МосБиржа,2013-04-26,3,119244353.7,2676010,44.56,
44.62,14275900.0,TQBR,44.61,44.76,44.56,44.44,44.62,44.62,14275900.0,14275900.0,74,44.69,MOEX,МосБиржа,2013-04-29,3,5928754.6,132770,44.65,
44.5,170305072.4,TQBR,44.91,49.04,44.71,44.0,44.5,44.5,170305072.4,170305072.4,1467,44.6,MOEX,МосБиржа,2013-04-30,3,155913028.1,3503820,44.5,
44.53,60124702.0,TQBR,44.42,44.59,44.4,44.29,44.53,44.53,60124702.0,60124702.0,472,44.5,MOEX,МосБиржа,2013-05-02,3,52584322.8,1180540,44.54,
44.39,48105441.6,TQBR,44.55,44.8,44.86,44.26,44.39,44.39,48105441.6,48105441.6,415,44.36,MOEX,МосБиржа,2013-05-03,3,40368214.5,910300,44.35,
46.24,100375095.9,TQBR,46.1,46.8,46.11,45.0,46.24,46.24,100375095.9,100375095.9,639,45.0,MOEX,МосБиржа,2013-05-06,3,68684179.6,1484670,46.26,
46.64,61388646.5,TQBR,47.2,47.2,47.55,46.2,46.64,46.64,61388646.5,61388646.5,392,46.2,MOEX,МосБиржа,2013-05-07,3,38921985.2,838770,46.4,
48.22,50377470.7,TQBR,48.7,48.7,48.79,47.2,48.22,48.22,50377470.7,50377470.7,216,47.6,MOEX,МосБиржа,2013-05-08,3,17018284.6,354300,48.03,
48.88,57824620.2,TQBR,48.6,49.13,48.7,47.8,48.88,48.88,57824620.2,57824620.2,178,47.8,MOEX,МосБиржа,2013-05-10,3,21659990.5,444110,48.77,
48.88,22080314.6,TQBR,48.74,49.1,49.19,48.74,48.88,48.88,22080314.6,22080314.6,87,48.84,MOEX,МосБиржа,2013-05-13,3,8211779.1,168070,48.86,
48.94,46237507.8,TQBR,48.87,49.25,49.85,48.76,48.94,48.94,46237507.8,46237507.8,289,48.76,MOEX,МосБиржа,2013-05-14,3,17086766.9,349280,48.92,
49.91,69868038.9,TQBR,50.26,50.26,49.84,49.53,49.91,49.91,69868038.9,69868038.9,189,50.08,MOEX,МосБиржа,2013-05-15,3,16218475.7,325170,49.88,
