ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
263.45,206597534.9,TQBR,265.13,265.13,266.62,265.13,263.45,263.45,206597534.9,206597534.9,1,265.13,MTSS,МТС-ао,2013-07-08,3,26513.0,100,265.13,
265.3,219707587.9,TQBR,,,263.23,,265.3,265.3,219707587.9,219707587.9,0,,MTSS,МТС-ао,2013-07-09,3,0.0,0,,
261.94,160957188.0,TQBR,261.5,262.5,261.87,261.5,261.94,261.94,160957188.0,160957188.0,8,262.5,MTSS,МТС-ао,2013-07-10,3,170410.0,650,262.17,
265.06,445840123.6,TQBR,,,266.8,,265.06,265.06,445840123.6,445840123.6,0,,MTSS,МТС-ао,2013-07-11,3,0.0,0,,
270.85,525010858.8,TQBR,270.0,270.0,272.29,269.0,270.85,270.85,525010858.8,525010858.8,6,269.0,MTSS,МТС-ао,2013-07-12,3,121300.0,450,269.56,
272.35,291976990.0,TQBR,271.0,273.6,270.36,271.0,272.35,272.35,291976990.0,291976990.0,3,273.6,MTSS,МТС-ао,2013-07-15,3,108920.0,400,272.3,
272.16,416818976.6,TQBR,,,272.49,,272.16,272.16,416818976.6,416818976.6,0,,MTSS,МТС-ао,2013-07-16,3,0.0,0,,
272.99,428966938.4,TQBR,273.6,275.0,273.71,267.0,272.99,272.99,428966938.4,428966938.4,6,267.0,MTSS,МТС-ао,2013-07-17,3,121986.0,450,271.08,
272.23,268052094.5,TQBR,,,269.79,,272.23,272.23,268052094.5,268052094.5,0,,MTSS,МТС-ао,2013-07-18,3,0.0,0,,
270.54,277104496.2,TQBR,270.03,271.53,269.86,270.03,270.54,270.54,277104496.2,277104496.2,5,270.32,MTSS,МТС-ао,2013-07-19,3,121903.0,450,270.9,
272.31,323457477.9,TQBR,274.44,274.99,273.81,268.04,272.31,272.31,323457477.9,323457477.9,6,268.04,MTSS,МТС-ао,2013-07-22,3,190468.0,700,272.1,
276.12,255567982.4,TQBR,,,276.44,,276.12,276.12,255567982.4,255567982.4,0,,MTSS,МТС-ао,2013-07-23,3,0.0,0,,
276.54,275156466.0,TQBR,,,278.64,,276.54,276.54,275156466.0,275156466.0,0,,MTSS,МТС-ао,2013-07-24,3,0.0,0,,
281.4,443670854.8,TQBR,283.0,283.0,280.59,282.0,281.4,281.4,443670854.8,443670854.8,15,282.0,MTSS,МТС-ао,2013-07-25,3,1551500.0,5500,282.09,
282.17,324574727.5,TQBR,,,282.21,,282.17,282.17,324574727.5,324574727.5,0,,MTSS,МТС-ао,2013-07-26,3,0.0,0,,
281.24,488799832.3,TQBR,277.01,283.0,276.87,277.01,281.24,281.24,488799832.3,488799832.3,2,283.0,MTSS,МТС-ао,2013-07-29,3,144270.1,510,282.88,
280.32,390951032.0,TQBR,278.6,279.79,278.32,278.0,280.32,280.32,390951032.0,390951032.0,37,278.0,MTSS,МТС-ао,2013-07-30,3,4485487.9,16120,278.26,
275.5,629486882.2,TQBR,275.0,279.0,273.84,272.1,275.5,275.5,629486882.2,629486882.2,49,276.0,MTSS,МТС-ао,2013-07-31,3,1639114.0,5930,276.41,
281.03,451416466.4,TQBR,282.0,282.0,282.36,279.99,281.03,281.03,451416466.4,451416466.4,10,279.99,MTSS,МТС-ао,2013-08-01,3,381273.0,1360,280.35,
282.54,279116469.3,TQBR,286.49,286.49,282.86,281.7,282.54,282.54,279116469.3,279116469.3,13,281.9,MTSS,МТС-ао,2013-08-02,3,1129914.9,4010,281.77,
285.91,300760922.0,TQBR,,,287.29,,285.91,285.91,300760922.0,300760922.0,0,,MTSS,МТС-ао,2013-08-05,3,0.0,0,,
286.65,337742963.8,TQBR,282.12,282.12,282.74,282.12,286.65,286.65,337742963.8,337742963.8,1,282.12,MTSS,МТС-ао,2013-08-06,3,2821.2,10,282.12,
285.36,296308457.6,TQBR,,,285.69,,285.36,285.36,296308457.6,296308457.6,0,,MTSS,МТС-ао,2013-08-07,3,0.0,0,,
286.04,255908355.3,TQBR,285.2,285.2,285.29,285.0,286.04,286.04,255908355.3,255908355.3,2,285.0,MTSS,МТС-ао,2013-08-08,3,11404.0,40,285.1,
287.0,187493886.7,TQBR,290.4,290.4,289.18,290.4,287.0,287.0,187493886.7,187493886.7,11,290.4,MTSS,МТС-ао,2013-08-09,3,1161600.0,4000,290.4,
290.49,133774933.1,TQBR,,,292.51,,290.49,290.49,133774933.1,133774933.1,0,,MTSS,МТС-ао,2013-08-12,3,0.0,0,,
294.29,189016512.2,TQBR,,,294.52,,294.29,294.29,189016512.2,189016512.2,0,,MTSS,МТС-ао,2013-08-13,3,0.0,0,,
297.95,321129865.3,TQBR,295.49,295.49,299.6,294.0,297.95,297.95,321129865.3,321129865.3,2,294.0,MTSS,МТС-ао,2013-08-14,3,118181.1,400,295.45,
292.48,316390771.1,TQBR,,,289.89,,292.48,292.48,316390771.1,316390771.1,0,,MTSS,МТС-ао,2013-08-15,3,0.0,0,,
286.81,380171837.5,TQBR,285.7,285.7,286.02,284.26,286.81,286.81,380171837.5,380171837.5,5,284.27,MTSS,МТС-ао,2013-08-16,3,250711.4,880,284.9,
288.07,297144060.1,TQBR,289.5,322.0,287.89,282.6,288.07,288.07,297144060.1,297144060.1,7,282.6,MTSS,МТС-ао,2013-08-19,3,391761.8,1340,292.36,
291.11,542617693.1,TQBR,,,295.02,,291.11,291.11,542617693.1,542617693.1,0,,MTSS,МТС-ао,2013-08-20,3,0.0,0,,
298.43,599776500.7,TQBR,298.4,298.4,300.38,297.0,298.43,298.43,599776500.7,599776500.7,3,297.0,MTSS,МТС-ао,2013-08-21,3,160590.0,540,297.39,
298.96,407797965.74,TQBR,303.27,338.0,298.56,295.65,298.96,298.96,407797965.74,407797965.74,51,303.3,MTSS,МТС-ао,2013-08-22,3,808591.7,2570,314.63,
297.27,319140688.91,TQBR,296.01,297.75,296.99,296.01,297.27,297.27,319140688.91,319140688.91,3,297.75,MTSS,МТС-ао,2013-08-23,3,59289.0,200,296.45,
299.39,232852568.29,TQBR,300.0,303.33,300.0,298.0,299.39,299.39,232852568.29,232852568.29,4,303.32,MTSS,МТС-ао,2013-08-26,3,90132.9,300,300.44,
297.34,466048481.5,TQBR,293.51,299.57,293.1,293.51,297.34,297.34,466048481.5,466048481.5,17,299.0,MTSS,МТС-ао,2013-08-27,3,876516.4,2940,298.13,
288.64,557316583.7,TQBR,289.99,290.3,287.94,285.0,288.64,288.64,557316583.7,557316583.7,15,288.12,MTSS,МТС-ао,2013-08-28,3,309377.6,1070,289.14,
287.76,209698482.5,TQBR,286.01,294.98,287.98,285.02,287.76,287.76,209698482.5,209698482.5,17,287.0,MTSS,МТС-ао,2013-08-29,3,1036239.5,3610,287.05,
287.92,223428377.16,TQBR,288.0,289.9,287.81,288.0,287.92,287.92,223428377.16,223428377.16,2,289.9,MTSS,МТС-ао,2013-08-30,3,31699.0,110,288.17,
286.36,245847761.83,TQBR,283.01,293.89,283.0,282.7,286.36,286.36,245847761.83,245847761.83,3948,290.4,MTSS,МТС-ао,2013-09-02,3,245963385.2,858920,286.36,
285.55,360403240.5,TQBR,286.0,288.35,286.05,283.2,285.55,285.55,360403240.5,360403240.5,6184,284.02,MTSS,МТС-ао,2013-09-03,3,360414601.3,1262180,285.55,
286.25,327585546.8,TQBR,282.96,289.0,282.91,282.81,286.25,286.25,327585546.8,327585546.8,3958,285.0,MTSS,МТС-ао,2013-09-04,3,327651076.8,1144650,286.25,
289.92,756696278.82,TQBR,295.0,296.51,294.8,282.61,289.92,289.92,756696278.82,756696278.82,8241,283.38,MTSS,МТС-ао,2013-09-05,3,756947914.5,2610880,289.92,
297.98,584355118.2,TQBR,297.1,300.89,297.1,293.97,297.98,297.98,584355118.2,584355118.2,8654,295.03,MTSS,МТС-ао,2013-09-06,3,584387571.5,1961150,297.98,
299.21,362346052.8,TQBR,300.55,300.78,300.47,297.01,299.21,299.21,362346052.8,362346052.8,5627,297.55,MTSS,МТС-ао,2013-09-09,3,362378783.3,1211130,299.21,
299.59,661370052.9,TQBR,299.04,301.39,299.04,297.77,299.59,299.59,661370052.9,661370052.9,6819,301.0,MTSS,МТС-ао,2013-09-10,3,662014192.9,2209760,299.59,
298.35,308198368.7,TQBR,298.53,301.0,298.7,296.31,298.35,298.35,308198368.7,308198368.7,3905,299.75,MTSS,МТС-ао,2013-09-11,3,308258318.7,1033210,298.35,
298.13,348089452.54,TQBR,298.4,300.31,298.11,295.0,298.13,298.13,348089452.54,348089452.54,5304,297.71,MTSS,МТС-ао,2013-09-12,3,348157626.9,1167800,298.13,
299.64,378610594.6,TQBR,299.98,303.35,299.5,295.11,299.64,299.64,378610594.6,378610594.6,4885,298.52,MTSS,МТС-ао,2013-09-13,3,378715076.6,1263890,299.64,
307.85,1084819189.6,TQBR,308.2,311.81,308.1,297.11,307.85,307.85,1084819189.6,1084819189.6,11019,297.11,MTSS,МТС-ао,2013-09-16,3,1085977156.6,3527720,307.84,
306.75,332998094.3,TQBR,307.95,308.54,308.2,305.55,306.75,306.75,332998094.3,332998094.3,3601,308.54,MTSS,МТС-ао,2013-09-17,3,330793776.9,1078420,306.74,
307.95,520294111.7,TQBR,308.36,309.77,308.7,305.71,307.95,307.95,520294111.7,520294111.7,5495,305.95,MTSS,МТС-ао,2013-09-18,3,520312468.7,1689590,307.95,
312.67,956344481.56,TQBR,313.5,314.88,312.5,310.14,312.67,312.67,956344481.56,956344481.56,11529,310.47,MTSS,МТС-ао,2013-09-19,3,956654283.7,3059660,312.67,
311.1,439834132.66,TQBR,311.8,313.32,311.79,310.1,311.1,311.1,439834132.66,439834132.66,4373,313.11,MTSS,МТС-ао,2013-09-20,3,439842593.5,1413830,311.1,
308.02,508548477.9,TQBR,307.13,311.55,307.15,306.0,308.02,308.02,508548477.9,508548477.9,4675,311.3,MTSS,МТС-ао,2013-09-23,3,508850438.9,1652000,308.02,
308.96,476076150.0,TQBR,311.0,311.0,311.0,305.14,308.96,308.96,476076150.0,476076150.0,5642,305.6,MTSS,МТС-ао,2013-09-24,3,476400086.0,1541980,308.95,
312.23,618765913.3,TQBR,316.32,316.46,316.3,308.9,312.23,312.23,618765913.3,618765913.3,7574,310.85,MTSS,МТС-ао,2013-09-25,3,619157584.3,1983000,312.23,
317.94,652832492.9,TQBR,319.5,321.3,320.01,314.62,317.94,317.94,652832492.9,652832492.9,7333,317.9,MTSS,МТС-ао,2013-09-26,3,652861103.9,2053420,317.94,
318.86,451901394.7,TQBR,321.05,321.99,321.3,317.01,318.86,318.86,451901394.7,451901394.7,5885,319.94,MTSS,МТС-ао,2013-09-27,3,451907791.5,1417270,318.86,
321.53,377619739.2,TQBR,323.0,323.49,323.0,319.0,321.53,321.53,377619739.2,377619739.2,7930,319.45,MTSS,МТС-ао,2013-09-30,3,377664462.2,1174590,321.53,
325.79,530771924.1,TQBR,327.96,328.48,328.0,322.0,325.79,325.79,530771924.1,530771924.1,6463,324.62,MTSS,МТС-ао,2013-10-01,3,530866063.9,1629450,325.79,
325.6,674718159.8,TQBR,324.0,329.21,324.3,323.51,325.6,325.6,674718159.8,674718159.8,8505,328.0,MTSS,МТС-ао,2013-10-02,3,675600479.8,2074890,325.61,
323.84,403664506.6,TQBR,324.24,325.69,324.2,321.01,323.84,323.84,403664506.6,403664506.6,4708,325.5,MTSS,МТС-ао,2013-10-03,3,403762156.6,1246790,323.84,
326.56,335967691.7,TQBR,327.92,328.75,327.27,323.34,326.56,326.56,335967691.7,335967691.7,4520,324.04,MTSS,МТС-ао,2013-10-04,3,336000095.7,1028910,326.56,
328.5,423026304.9,TQBR,330.06,330.91,330.06,326.6,328.5,328.5,423026304.9,423026304.9,5174,327.91,MTSS,МТС-ао,2013-10-07,3,423203376.3,1288290,328.5,
330.11,519043873.1,TQBR,329.97,332.5,329.8,328.0,330.11,330.11,519043873.1,519043873.1,6564,330.03,MTSS,МТС-ао,2013-10-08,3,519149482.7,1572640,330.11,
328.79,564801105.5,TQBR,328.9,330.5,328.89,327.5,328.79,328.79,564801105.5,564801105.5,6344,328.84,MTSS,МТС-ао,2013-10-09,3,565228597.5,1719110,328.79,
332.87,388919679.3,TQBR,333.73,334.44,334.33,328.74,332.87,332.87,388919679.3,388919679.3,10066,328.74,MTSS,МТС-ао,2013-10-10,3,388952553.3,1168470,332.87,
333.17,317306303.4,TQBR,336.21,336.51,336.0,331.0,333.17,333.17,317306303.4,317306303.4,4621,333.77,MTSS,МТС-ао,2013-10-11,3,317683463.5,953520,333.17,
335.97,476687879.17,TQBR,336.8,338.0,336.8,334.06,335.97,335.97,476687879.17,476687879.17,4056,336.21,MTSS,МТС-ао,2013-10-14,3,476751761.3,1419020,335.97,
342.65,717074120.3,TQBR,344.8,346.0,344.67,337.5,342.65,342.65,717074120.3,717074120.3,9553,337.5,MTSS,МТС-ао,2013-10-15,3,717519620.3,2094080,342.64,
349.41,561715561.5,TQBR,351.5,353.77,351.49,341.51,349.41,349.41,561715561.5,561715561.5,9289,345.0,MTSS,МТС-ао,2013-10-16,3,561753511.5,1607710,349.41,
344.54,565322707.3,TQBR,343.0,353.5,343.0,339.0,344.54,344.54,565322707.3,565322707.3,7078,353.47,MTSS,МТС-ао,2013-10-17,3,565658503.8,1641740,344.55,
343.83,604633107.1,TQBR,348.5,349.51,349.0,337.59,343.83,343.83,604633107.1,604633107.1,8254,344.08,MTSS,МТС-ао,2013-10-18,3,604884285.5,1759270,343.83,
344.87,418163169.0,TQBR,341.0,349.8,340.99,340.35,344.87,344.87,418163169.0,418163169.0,5553,349.04,MTSS,МТС-ао,2013-10-21,3,418557584.2,1213640,344.88,
