ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
313.64,169538307.68,TQBR,,,309.3,,313.64,313.64,169538307.68,169538307.68,0,,NVTK,Новатэк ао,2013-03-25,3,0.0,0,,
309.53,376558916.26,TQBR,,,308.51,,309.53,309.53,376558916.26,376558916.26,0,,NVTK,Новатэк ао,2013-03-26,3,0.0,0,,
311.23,266406804.6,TQBR,,,312.99,,311.23,311.23,266406804.6,266406804.6,0,,NVTK,Новатэк ао,2013-03-27,3,0.0,0,,
313.47,193190003.52,TQBR,,,315.06,,313.47,313.47,193190003.52,193190003.52,0,,NVTK,Новатэк ао,2013-03-28,3,0.0,0,,
315.13,42115089.29,TQBR,,,314.91,,315.13,315.13,42115089.29,42115089.29,0,,NVTK,Новатэк ао,2013-03-29,3,0.0,0,,
315.9,148831900.85,TQBR,,,317.37,,315.9,315.9,148831900.85,148831900.85,0,,NVTK,Новатэк ао,2013-04-01,3,0.0,0,,
317.6,203994798.69,TQBR,,,318.67,,317.6,317.6,203994798.69,203994798.69,0,,NVTK,Новатэк ао,2013-04-02,3,0.0,0,,
318.05,241269821.34,TQBR,,,317.6,,318.05,318.05,241269821.34,241269821.34,0,,NVTK,Новатэк ао,2013-04-03,3,0.0,0,,
317.08,294999861.56,TQBR,,,315.36,,317.08,317.08,294999861.56,294999861.56,0,,NVTK,Новатэк ао,2013-04-04,3,0.0,0,,
314.25,649193275.24,TQBR,,,315.77,,314.25,314.25,649193275.24,649193275.24,0,,NVTK,Новатэк ао,2013-04-05,3,0.0,0,,
315.09,258690644.32,TQBR,,,313.06,,315.09,315.09,258690644.32,258690644.32,0,,NVTK,Новатэк ао,2013-04-08,3,0.0,0,,
