ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
511.8,3933795.4,TQBR,511.6,514.9,511.6,510.1,511.8,511.8,3933795.4,3933795.4,323,514.7,PLZL,Полюс,2014-06-09,3,3933795.4,7686,511.8,
507.5,5790432.0,TQBR,507.0,513.9,507.0,504.0,507.5,507.5,5790432.0,5790432.0,631,513.3,PLZL,Полюс,2014-06-10,3,5790432.0,11410,507.5,
514.5,12618203.9,TQBR,512.8,525.0,512.8,507.0,514.5,514.5,12618203.9,12618203.9,631,508.0,PLZL,Полюс,2014-06-11,3,12618711.9,24528,514.5,
517.6,6614202.2,TQBR,517.0,525.0,517.0,477.6,517.6,517.6,6614202.2,6614202.2,570,477.6,PLZL,Полюс,2014-06-16,3,6805242.2,13178,516.4,
514.0,3819830.2,TQBR,513.1,549.0,512.2,512.0,514.0,514.0,3819830.2,3819830.2,339,549.0,PLZL,Полюс,2014-06-17,3,3858260.2,7502,514.3,
510.4,7013016.3,TQBR,511.2,513.3,511.2,507.4,510.4,510.4,7013016.3,7013016.3,558,513.1,PLZL,Полюс,2014-06-18,3,7013016.3,13739,510.4,
508.6,18970931.2,TQBR,502.5,515.0,502.5,502.5,508.6,508.6,18970931.2,18970931.2,938,511.5,PLZL,Полюс,2014-06-19,3,18970931.2,37300,508.6,
504.9,20504353.2,TQBR,504.6,513.0,504.6,501.0,504.9,504.9,20504353.2,20504353.2,1869,505.0,PLZL,Полюс,2014-06-20,3,20630603.2,40861,504.9,
502.8,6085837.6,TQBR,502.0,508.9,502.0,501.0,502.8,502.8,6085837.6,6085837.6,506,505.0,PLZL,Полюс,2014-06-23,3,6087352.6,12107,502.8,
498.8,13282093.8,TQBR,499.7,509.0,499.7,493.0,498.8,498.8,13282093.8,13282093.8,910,509.0,PLZL,Полюс,2014-06-24,3,13332993.8,26728,498.8,
488.1,21042474.1,TQBR,484.8,502.0,484.8,481.1,488.1,488.1,21042474.1,21042474.1,1532,502.0,PLZL,Полюс,2014-06-25,3,21042474.1,43112,488.1,
480.4,21209605.9,TQBR,478.9,489.9,478.9,473.3,480.4,480.4,21209605.9,21209605.9,1280,484.8,PLZL,Полюс,2014-06-26,3,21249359.5,44231,480.4,
483.8,6581364.7,TQBR,483.0,488.0,483.0,477.8,483.8,483.8,6581364.7,6581364.7,594,479.8,PLZL,Полюс,2014-06-27,3,6581844.5,13604,483.8,
481.3,2429427.6,TQBR,482.0,487.1,482.0,477.1,481.3,481.3,2429427.6,2429427.6,382,487.1,PLZL,Полюс,2014-06-30,3,2429914.7,5049,481.3,
483.0,9035803.4,TQBR,485.2,487.4,485.2,478.8,483.0,483.0,9035803.4,9035803.4,478,478.8,PLZL,Полюс,2014-07-01,3,9035803.4,18706,483.0,
481.9,5246372.2,TQBR,482.0,493.1,482.0,480.0,481.9,481.9,5246372.2,5246372.2,373,493.1,PLZL,Полюс,2014-07-02,3,5247358.4,10889,481.9,
479.8,5157767.7,TQBR,479.7,484.8,479.7,478.0,479.8,479.8,5157767.7,5157767.7,479,483.2,PLZL,Полюс,2014-07-03,3,5157767.7,10749,479.8,
478.0,4135852.1,TQBR,478.0,481.7,478.1,475.0,478.0,478.0,4135852.1,4135852.1,417,478.1,PLZL,Полюс,2014-07-04,3,4135852.1,8652,478.0,
478.5,3410760.0,TQBR,481.3,481.4,481.3,475.3,478.5,478.5,3410760.0,3410760.0,426,480.7,PLZL,Полюс,2014-07-07,3,3410760.0,7128,478.5,
482.2,5051535.0,TQBR,480.1,484.0,480.1,479.3,482.2,482.2,5051535.0,5051535.0,420,482.8,PLZL,Полюс,2014-07-08,3,5051535.0,10475,482.2,
479.6,2002796.7,TQBR,481.2,481.6,481.2,476.2,479.6,479.6,2002796.7,2002796.7,318,480.6,PLZL,Полюс,2014-07-09,3,2002796.7,4176,479.6,
478.0,5697389.1,TQBR,477.2,481.9,477.2,476.4,478.0,478.0,5697389.1,5697389.1,525,480.4,PLZL,Полюс,2014-07-10,3,5697389.1,11920,478.0,
477.4,1492196.8,TQBR,477.2,479.6,477.8,476.6,477.4,477.4,1492196.8,1492196.8,201,478.5,PLZL,Полюс,2014-07-11,3,1492196.8,3126,477.4,
474.3,4594173.4,TQBR,473.0,527.3,473.0,472.0,474.3,474.3,4594173.4,4594173.4,466,527.3,PLZL,Полюс,2014-07-14,3,4595228.0,9688,474.3,
462.1,15749480.7,TQBR,465.9,474.5,465.9,454.0,462.1,462.1,15749480.7,15749480.7,1177,472.1,PLZL,Полюс,2014-07-15,3,15749480.7,34082,462.1,
481.5,40968129.6,TQBR,506.0,506.5,506.0,462.2,481.5,481.5,40968129.6,40968129.6,1647,462.8,PLZL,Полюс,2014-07-16,3,40969980.8,85087,481.5,
503.2,31430804.4,TQBR,524.0,524.0,524.0,481.1,503.2,503.2,31430804.4,31430804.4,2118,500.1,PLZL,Полюс,2014-07-17,3,31437805.8,62470,503.2,
528.0,25211898.1,TQBR,519.9,541.5,519.9,513.0,528.0,528.0,25211898.1,25211898.1,1739,521.8,PLZL,Полюс,2014-07-18,3,25217116.1,47762,528.0,
513.0,11771266.7,TQBR,496.0,528.8,496.0,495.0,513.0,513.0,11771266.7,11771266.7,965,516.4,PLZL,Полюс,2014-07-21,3,11772299.5,22948,513.0,
500.4,4923042.6,TQBR,504.7,505.1,504.7,490.0,500.4,500.4,4923042.6,4923042.6,505,505.1,PLZL,Полюс,2014-07-22,3,4923547.7,9839,500.4,
