ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
74.39,1223179711.78,TQBR,73.35,75.05,73.21,73.21,74.39,74.39,1223179711.78,1223179711.78,55,75.02,SBERP,Сбербанк-п,2013-03-25,3,8950403.0,120300,74.4,
72.64,1228822882.29,TQBR,72.3,74.06,72.25,71.34,72.64,72.64,1228822882.29,1228822882.29,106,72.64,SBERP,Сбербанк-п,2013-03-26,3,15216505.0,209100,72.77,
72.35,923108161.15,TQBR,72.28,73.04,72.33,71.85,72.35,72.35,923108161.15,923108161.15,38,73.04,SBERP,Сбербанк-п,2013-03-27,3,5565246.0,76900,72.37,
74.01,1927474730.66,TQBR,75.12,75.16,75.02,72.73,74.01,74.01,1927474730.66,1927474730.66,96,72.9,SBERP,Сбербанк-п,2013-03-28,3,15626288.0,211700,73.81,
75.1,476107059.32,TQBR,75.11,75.28,75.1,74.97,75.1,75.1,476107059.32,476107059.32,42,75.28,SBERP,Сбербанк-п,2013-03-29,3,6897810.0,91800,75.14,
75.12,643364966.47,TQBR,75.04,75.85,74.61,74.63,75.12,75.12,643364966.47,643364966.47,86,74.9,SBERP,Сбербанк-п,2013-04-01,3,15674954.0,208200,75.29,
74.83,986642044.73,TQBR,74.62,75.44,74.64,74.2,74.83,74.83,986642044.73,986642044.73,125,74.87,SBERP,Сбербанк-п,2013-04-02,3,22505530.0,300500,74.89,
74.85,567498209.7,TQBR,74.64,75.11,74.83,74.64,74.85,74.85,567498209.7,567498209.7,90,75.09,SBERP,Сбербанк-п,2013-04-03,3,15859931.0,211800,74.88,
74.92,1209829323.06,TQBR,74.87,75.81,74.56,72.36,74.92,74.92,1209829323.06,1209829323.06,370,74.3,SBERP,Сбербанк-п,2013-04-04,3,62561762.0,836800,74.76,
73.67,1274036835.06,TQBR,73.57,74.89,73.31,73.21,73.67,73.67,1274036835.06,1274036835.06,318,74.89,SBERP,Сбербанк-п,2013-04-05,3,51584491.0,696800,74.03,
73.6,1521624471.52,TQBR,72.7,74.29,72.9,72.01,73.6,73.6,1521624471.52,1521624471.52,97,73.99,SBERP,Сбербанк-п,2013-04-08,3,15941936.0,216600,73.6,
73.68,1550777655.08,TQBR,73.58,73.77,73.85,72.48,73.68,73.68,1550777655.08,1550777655.08,346,73.0,SBERP,Сбербанк-п,2013-04-09,3,59755089.0,812400,73.55,
