ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
27.492,348426968.3,TQBR,27.48,27.59,27.48,27.313,27.492,27.492,348426968.3,348426968.3,3810,27.5,SNGSP,Сургнфгз-п,2014-06-09,3,348435218.3,12674200,27.492,
27.475,385573203.8,TQBR,27.55,27.58,27.55,27.311,27.475,27.475,385573203.8,385573203.8,8798,27.394,SNGSP,Сургнфгз-п,2014-06-10,3,385641688.8,14035900,27.475,
27.94,760159662.6,TQBR,28.15,28.15,28.15,27.444,27.94,27.94,760159662.6,760159662.6,9358,27.472,SNGSP,Сургнфгз-п,2014-06-11,3,760214606.6,27208800,27.94,
28.11,1912792372.0,TQBR,28.27,28.3,28.27,27.87,28.11,28.11,1912792372.0,1912792372.0,25833,28.3,SNGSP,Сургнфгз-п,2014-06-16,3,1913160272.0,68059900,28.11,
28.472,629278576.1,TQBR,28.2,28.986,28.2,28.2,28.472,28.472,629278576.1,629278576.1,9308,28.986,SNGSP,Сургнфгз-п,2014-06-17,3,629284373.3,22101600,28.472,
28.793,1091236391.6,TQBR,29.1,29.1,29.1,28.2,28.793,28.793,1091236391.6,1091236391.6,12454,28.2,SNGSP,Сургнфгз-п,2014-06-18,3,1091428151.6,37906800,28.792,
28.815,853783709.3,TQBR,28.411,29.475,28.411,28.364,28.815,28.815,853783709.3,853783709.3,11068,29.475,SNGSP,Сургнфгз-п,2014-06-19,3,854800596.8,29664000,28.816,
28.123,594855533.9,TQBR,27.859,28.551,27.859,27.859,28.123,28.123,594855533.9,594855533.9,8789,28.551,SNGSP,Сургнфгз-п,2014-06-20,3,595141043.9,21161600,28.124,
28.272,568321502.8,TQBR,28.25,28.489,28.25,27.998,28.272,28.272,568321502.8,568321502.8,6697,28.001,SNGSP,Сургнфгз-п,2014-06-23,3,568601512.8,20111600,28.272,
28.691,808671595.4,TQBR,28.75,28.979,28.75,26.994,28.691,28.691,808671595.4,808671595.4,11886,26.994,SNGSP,Сургнфгз-п,2014-06-24,3,808779571.4,28189100,28.691,
28.584,523118687.4,TQBR,28.16,29.099,28.16,28.126,28.584,28.584,523118687.4,523118687.4,7303,28.502,SNGSP,Сургнфгз-п,2014-06-25,3,523318201.4,18307800,28.584,
28.253,554109166.1,TQBR,28.185,28.59,28.185,27.962,28.253,28.253,554109166.1,554109166.1,8562,28.381,SNGSP,Сургнфгз-п,2014-06-26,3,554222690.1,19616400,28.253,
28.257,397296795.3,TQBR,28.255,28.499,28.255,28.044,28.257,28.257,397296795.3,397296795.3,6881,28.499,SNGSP,Сургнфгз-п,2014-06-27,3,403099191.7,14263700,28.26,
27.782,635828006.7,TQBR,28.0,28.283,28.0,27.472,27.782,27.782,635828006.7,635828006.7,8444,27.983,SNGSP,Сургнфгз-п,2014-06-30,3,641438598.2,23086700,27.784,
27.804,427129585.6,TQBR,27.811,28.08,27.811,27.611,27.804,27.804,427129585.6,427129585.6,6276,27.965,SNGSP,Сургнфгз-п,2014-07-01,3,427140771.6,15362300,27.804,
28.062,603286161.4,TQBR,28.19,28.22,28.19,27.824,28.062,28.062,603286161.4,603286161.4,11054,27.875,SNGSP,Сургнфгз-п,2014-07-02,3,603425536.4,21503300,28.062,
28.344,451556208.5,TQBR,28.28,28.493,28.28,28.14,28.344,28.344,451556208.5,451556208.5,5721,28.2,SNGSP,Сургнфгз-п,2014-07-03,3,451561848.5,15931500,28.344,
28.1,459197428.9,TQBR,27.786,28.384,27.786,27.712,28.1,28.1,459197428.9,459197428.9,7546,28.272,SNGSP,Сургнфгз-п,2014-07-04,3,459197428.9,16341700,28.1,
28.103,679472482.0,TQBR,28.0,28.555,28.0,27.8,28.103,28.103,679472482.0,679472482.0,9748,28.555,SNGSP,Сургнфгз-п,2014-07-07,3,681185782.0,24238300,28.104,
28.285,729230833.9,TQBR,28.223,28.42,28.223,28.0,28.285,28.285,729230833.9,729230833.9,10524,28.074,SNGSP,Сургнфгз-п,2014-07-08,3,729250485.7,25781900,28.285,
28.395,750591422.8,TQBR,28.62,28.667,28.62,28.065,28.395,28.395,750591422.8,750591422.8,9677,28.25,SNGSP,Сургнфгз-п,2014-07-09,3,750676172.8,26436500,28.395,
28.676,1476830393.8,TQBR,28.74,28.946,28.74,28.322,28.676,28.676,1476830393.8,1476830393.8,19087,28.811,SNGSP,Сургнфгз-п,2014-07-10,3,1476994616.5,51506600,28.676,
28.754,1299121420.3,TQBR,28.706,28.848,28.706,28.555,28.754,28.754,1299121420.3,1299121420.3,14189,28.568,SNGSP,Сургнфгз-п,2014-07-11,3,1299952749.1,45210400,28.753,
28.873,1487608184.3,TQBR,28.92,29.02,28.92,28.708,28.873,28.873,1487608184.3,1487608184.3,12301,28.708,SNGSP,Сургнфгз-п,2014-07-14,3,1487774690.7,51528700,28.873,
