ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
195.53,216015116.6,TQBR,,,194.55,,195.53,195.53,216015116.6,216015116.6,0,,TATN,Татнфт 3ао,2013-07-08,3,0.0,0,,
193.1,189888218.3,TQBR,,,192.45,,193.1,193.1,189888218.3,189888218.3,0,,TATN,Татнфт 3ао,2013-07-09,3,0.0,0,,
191.2,200736223.44,TQBR,199.18,199.18,190.7,199.18,191.2,191.2,200736223.44,200736223.44,1,199.18,TATN,Татнфт 3ао,2013-07-10,3,1991.8,10,199.18,
195.76,333828498.42,TQBR,199.17,199.17,198.96,198.18,195.76,195.76,333828498.42,333828498.42,2,198.18,TATN,Татнфт 3ао,2013-07-11,3,37753.2,190,198.7,
202.27,445656400.4,TQBR,201.29,201.29,203.66,201.29,202.27,202.27,445656400.4,445656400.4,1,201.29,TATN,Татнфт 3ао,2013-07-12,3,20129.0,100,201.29,
205.71,243444662.2,TQBR,,,206.37,,205.71,205.71,243444662.2,243444662.2,0,,TATN,Татнфт 3ао,2013-07-15,3,0.0,0,,
206.34,310460325.0,TQBR,,,205.78,,206.34,206.34,310460325.0,310460325.0,0,,TATN,Татнфт 3ао,2013-07-16,3,0.0,0,,
208.31,335788687.5,TQBR,210.0,210.0,210.88,206.0,208.31,208.31,335788687.5,335788687.5,5,207.3,TATN,Татнфт 3ао,2013-07-17,3,165900.0,800,207.38,
209.66,241153749.0,TQBR,209.99,209.99,210.42,208.0,209.66,209.66,241153749.0,241153749.0,4,208.0,TATN,Татнфт 3ао,2013-07-18,3,83598.0,400,209.0,
211.62,195527014.3,TQBR,211.0,214.7,211.33,210.0,211.62,211.62,195527014.3,195527014.3,18,210.59,TATN,Татнфт 3ао,2013-07-19,3,462299.2,2180,212.06,
210.75,230565438.7,TQBR,213.0,215.0,211.06,213.0,210.75,210.75,230565438.7,230565438.7,3,215.0,TATN,Татнфт 3ао,2013-07-22,3,85600.0,400,214.0,
210.81,226412731.2,TQBR,210.0,211.2,210.45,210.0,210.81,210.81,226412731.2,226412731.2,4,211.2,TATN,Татнфт 3ао,2013-07-23,3,84240.0,400,210.6,
206.86,285112314.7,TQBR,207.0,207.0,206.37,207.0,206.86,206.86,285112314.7,285112314.7,3,207.0,TATN,Татнфт 3ао,2013-07-24,3,82800.0,400,207.0,
205.21,199496510.6,TQBR,206.0,206.0,206.47,206.0,205.21,205.21,199496510.6,199496510.6,2,206.0,TATN,Татнфт 3ао,2013-07-25,3,41200.0,200,206.0,
205.79,176922331.9,TQBR,204.0,209.0,203.59,203.0,205.79,205.79,176922331.9,176922331.9,7,209.0,TATN,Татнфт 3ао,2013-07-26,3,164200.0,800,205.25,
202.48,168361028.3,TQBR,,,202.43,,202.48,202.48,168361028.3,168361028.3,0,,TATN,Татнфт 3ао,2013-07-29,3,0.0,0,,
204.82,261982839.5,TQBR,205.5,205.5,203.03,205.0,204.82,204.82,261982839.5,261982839.5,2,205.0,TATN,Татнфт 3ао,2013-07-30,3,82100.0,400,205.25,
204.05,370338996.1,TQBR,,,203.68,,204.05,204.05,370338996.1,370338996.1,0,,TATN,Татнфт 3ао,2013-07-31,3,0.0,0,,
205.27,275285300.1,TQBR,206.0,206.0,206.88,206.0,205.27,205.27,275285300.1,275285300.1,1,206.0,TATN,Татнфт 3ао,2013-08-01,3,41200.0,200,206.0,
206.25,229415146.66,TQBR,,,205.57,,206.25,206.25,229415146.66,229415146.66,0,,TATN,Татнфт 3ао,2013-08-02,3,0.0,0,,
208.24,197282331.65,TQBR,209.0,209.0,208.18,209.0,208.24,208.24,197282331.65,197282331.65,2,209.0,TATN,Татнфт 3ао,2013-08-05,3,41800.0,200,209.0,
204.61,311256566.0,TQBR,201.13,209.0,200.75,201.0,204.61,204.61,311256566.0,311256566.0,10,205.7,TATN,Татнфт 3ао,2013-08-06,3,251028.0,1240,202.44,
201.51,222418866.3,TQBR,203.0,203.0,200.95,189.09,201.51,201.51,222418866.3,222418866.3,3,189.09,TATN,Татнфт 3ао,2013-08-07,3,64681.8,320,202.13,
202.41,192181050.3,TQBR,201.5,201.5,204.08,201.5,202.41,202.41,192181050.3,192181050.3,2,201.5,TATN,Татнфт 3ао,2013-08-08,3,40300.0,200,201.5,
205.15,163921209.5,TQBR,205.0,205.0,206.74,203.5,205.15,205.15,163921209.5,163921209.5,4,205.0,TATN,Татнфт 3ао,2013-08-09,3,122700.0,600,204.5,
206.14,129467847.4,TQBR,,,206.22,,206.14,206.14,129467847.4,129467847.4,0,,TATN,Татнфт 3ао,2013-08-12,3,0.0,0,,
209.02,275762101.5,TQBR,209.0,209.8,209.78,208.0,209.02,209.02,275762101.5,275762101.5,7,208.0,TATN,Татнфт 3ао,2013-08-13,3,188100.0,900,209.0,
210.86,268858980.7,TQBR,212.6,212.6,212.76,210.0,210.86,210.86,268858980.7,268858980.7,3,210.0,TATN,Татнфт 3ао,2013-08-14,3,94835.0,450,210.74,
208.24,327920754.1,TQBR,204.0,207.6,204.72,204.0,208.24,208.24,327920754.1,327920754.1,6,207.6,TATN,Татнфт 3ао,2013-08-15,3,143872.0,700,205.53,
204.4,317838171.3,TQBR,,,203.13,,204.4,204.4,317838171.3,317838171.3,0,,TATN,Татнфт 3ао,2013-08-16,3,0.0,0,,
205.53,298246483.9,TQBR,208.0,208.0,207.75,204.4,205.53,205.53,298246483.9,298246483.9,5,204.4,TATN,Татнфт 3ао,2013-08-19,3,175260.0,850,206.19,
205.81,198126755.1,TQBR,207.8,207.8,207.73,204.5,205.81,205.81,198126755.1,198126755.1,3,204.5,TATN,Татнфт 3ао,2013-08-20,3,86376.0,420,205.66,
208.28,201813056.2,TQBR,208.0,209.0,207.97,204.21,208.28,208.28,201813056.2,201813056.2,7,204.21,TATN,Татнфт 3ао,2013-08-21,3,87374.2,420,208.03,
209.34,293834551.8,TQBR,210.0,210.0,209.74,210.0,209.34,209.34,293834551.8,293834551.8,3,210.0,TATN,Татнфт 3ао,2013-08-22,3,123900.0,590,210.0,
209.04,193138630.6,TQBR,,,209.74,,209.04,209.04,193138630.6,193138630.6,0,,TATN,Татнфт 3ао,2013-08-23,3,0.0,0,,
