ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
85907,245780804.0,TQBR,85985,86334,85706,85340,85907,85907,245780804.0,245780804.0,1613,85444,TRNFP,Транснф ап,2013-12-16,3,245604792,2859,85906,
85772,243850250.0,TQBR,85800,86900,85800,84642,85772,85772,243850250.0,243850250.0,1365,84642,TRNFP,Транснф ап,2013-12-17,3,243934892,2844,85772,
85493,139610259.0,TQBR,85500,85800,85500,85252,85493,85493,139610259.0,139610259.0,812,85800,TRNFP,Транснф ап,2013-12-18,3,132664409,1552,85480,
86157,245115492.0,TQBR,85875,86555,85900,85449,86157,86157,245115492.0,245115492.0,1562,85510,TRNFP,Транснф ап,2013-12-19,3,245372022,2848,86156,
85119,525100566.0,TQBR,85300,86065,85000,84502,85119,85119,525100566.0,525100566.0,2716,85820,TRNFP,Транснф ап,2013-12-20,3,516354366,6067,85109,
85186,222079969.0,TQBR,85725,85799,85400,84374,85186,85186,222079969.0,222079969.0,1334,85295,TRNFP,Транснф ап,2013-12-23,3,222335854,2610,85186,
86095,158501244.0,TQBR,86151,86380,86161,85229,86095,86095,158501244.0,158501244.0,861,85558,TRNFP,Транснф ап,2013-12-24,3,153738244,1786,86080,
86636,185054931.0,TQBR,86721,86980,86702,86201,86636,86636,185054931.0,185054931.0,661,86251,TRNFP,Транснф ап,2013-12-25,3,185054931,2136,86636,
87336,235719665.0,TQBR,87386,87789,87300,86608,87336,87336,235719665.0,235719665.0,886,86802,TRNFP,Транснф ап,2013-12-26,3,235719665,2699,87336,
86369,314124241.0,TQBR,85888,87432,85600,85500,86369,86369,314124241.0,314124241.0,1748,87389,TRNFP,Транснф ап,2013-12-27,3,314124241,3637,86369,
85464,227333216.0,TQBR,85900,86539,86539,84990,85464,85464,227333216.0,227333216.0,987,85449,TRNFP,Транснф ап,2013-12-30,3,227504114,2662,85464,
84853,260922232.0,TQBR,83817,86758,83455,83214,84853,84853,260922232.0,260922232.0,1772,85102,TRNFP,Транснф ап,2014-01-06,3,260837233,3074,84853,
82859,422748393.0,TQBR,82800,84101,82800,82251,82859,82859,422748393.0,422748393.0,1998,83909,TRNFP,Транснф ап,2014-01-08,3,422832302,5103,82860,
83358,227066991.0,TQBR,83251,83610,83400,83000,83358,83358,227066991.0,227066991.0,1337,83000,TRNFP,Транснф ап,2014-01-09,3,227066991,2724,83358,
83299,496209815.0,TQBR,83635,83850,83450,82766,83299,83299,496209815.0,496209815.0,2249,83101,TRNFP,Транснф ап,2014-01-10,3,496209815,5957,83299,
83460,285766722.0,TQBR,83620,84024,83101,83011,83460,83460,285766722.0,285766722.0,1574,83430,TRNFP,Транснф ап,2014-01-13,3,285766722,3424,83460,
83558,487476016.0,TQBR,83920,84456,83880,82366,83558,83558,487476016.0,487476016.0,2850,83000,TRNFP,Транснф ап,2014-01-14,3,487808016,5838,83557,
83835,196927573.0,TQBR,83902,84379,83870,83420,83835,83835,196927573.0,196927573.0,1558,84293,TRNFP,Транснф ап,2014-01-15,3,196264053,2341,83838,
83619,357470663.0,TQBR,83557,84329,83460,83217,83619,83619,357470663.0,357470663.0,1717,84186,TRNFP,Транснф ап,2014-01-16,3,357470663,4275,83619,
83720,250153943.0,TQBR,83731,84134,83910,83418,83720,83720,250153943.0,250153943.0,1190,83499,TRNFP,Транснф ап,2014-01-17,3,250153943,2988,83720,
83726,82051128.0,TQBR,83645,83999,83799,83403,83726,83726,82051128.0,82051128.0,500,83505,TRNFP,Транснф ап,2014-01-20,3,82051128,980,83726,
83986,338463742.0,TQBR,84172,84352,84049,83665,83986,83986,338463742.0,338463742.0,983,83711,TRNFP,Транснф ап,2014-01-21,3,338463742,4030,83986,
84842,325454018.0,TQBR,84400,85688,84300,83806,84842,84842,325454018.0,325454018.0,1878,84452,TRNFP,Транснф ап,2014-01-22,3,326214086,3845,84841,
84911,525853214.0,TQBR,85000,85350,84727,84003,84911,84911,525853214.0,525853214.0,2057,84238,TRNFP,Транснф ап,2014-01-23,3,526021690,6195,84911,
85233,447218794.0,TQBR,85446,85920,85412,84197,85233,85233,447218794.0,447218794.0,2218,84222,TRNFP,Транснф ап,2014-01-24,3,447639904,5252,85232,
84808,623766390.0,TQBR,84850,86056,84500,83662,84808,84808,623766390.0,623766390.0,3172,85030,TRNFP,Транснф ап,2014-01-27,3,624021480,7358,84809,
82499,890736802.5,TQBR,83765,84828,83500,81321,82499,82499,890736802.5,890736802.5,5514,84523,TRNFP,Транснф ап,2014-01-28,3,890738281,10797,82499,
81735,1044002697.0,TQBR,81480,83775,81090,80858,81735,81735,1044002697.0,1044002697.0,5645,83511,TRNFP,Транснф ап,2014-01-29,3,1044338752,12777,81736,
80595,700050847.0,TQBR,80450,82379,80001,79908,80595,80595,700050847.0,700050847.0,4371,81187,TRNFP,Транснф ап,2014-01-30,3,700375595,8690,80596,
79938,1059093785.0,TQBR,80182,81159,79899,79450,79938,79938,1059093785.0,1059093785.0,5751,80369,TRNFP,Транснф ап,2014-01-31,3,1059174154,13250,79938,
79672,389753220.24,TQBR,79447,81098,79380,79053,79672,79672,389753220.24,389753220.24,2769,79896,TRNFP,Транснф ап,2014-02-03,3,389192832,4885,79671,
79851,799946307.0,TQBR,79986,80599,79820,78200,79851,79851,799946307.0,799946307.0,4404,79250,TRNFP,Транснф ап,2014-02-04,3,800263307,10022,79851,
79957,255541463.0,TQBR,79642,80406,79378,79378,79957,79957,255541463.0,255541463.0,1813,80000,TRNFP,Транснф ап,2014-02-05,3,255541463,3196,79957,
79245,387269526.1,TQBR,79246,79996,79350,78525,79245,79245,387269526.1,387269526.1,1668,79921,TRNFP,Транснф ап,2014-02-06,3,386292436,4875,79239,
78952,327098390.21,TQBR,78680,79798,78900,78660,78952,78952,327098390.21,327098390.21,1785,79709,TRNFP,Транснф ап,2014-02-07,3,327096956,4143,78952,
79447,277270285.61,TQBR,79570,79980,79400,78807,79447,79447,277270285.61,277270285.61,2023,79077,TRNFP,Транснф ап,2014-02-10,3,276866948,3485,79445,
78644,609881953.0,TQBR,78395,79856,78400,78125,78644,78644,609881953.0,609881953.0,2821,79775,TRNFP,Транснф ап,2014-02-11,3,609803728,7754,78644,
78989,568640134.0,TQBR,80290,80430,80250,78123,78989,78989,568640134.0,568640134.0,2713,78675,TRNFP,Транснф ап,2014-02-12,3,568876509,7202,78989,
81243,694550492.0,TQBR,81499,82216,81493,80000,81243,81243,694550492.0,694550492.0,2867,80145,TRNFP,Транснф ап,2014-02-13,3,694870517,8553,81243,
81532,190051028.0,TQBR,81703,82284,81631,80861,81532,81532,190051028.0,190051028.0,1303,81647,TRNFP,Транснф ап,2014-02-14,3,190132675,2332,81532,
81233,243375244.0,TQBR,81300,82293,81100,80504,81233,81233,243375244.0,243375244.0,1730,82099,TRNFP,Транснф ап,2014-02-17,3,243375244,2996,81233,
80891,330603513.0,TQBR,80262,82144,80101,80101,80891,80891,330603513.0,330603513.0,2017,80801,TRNFP,Транснф ап,2014-02-18,3,330603513,4087,80891,
80122,497717329.0,TQBR,80350,80931,80931,79670,80122,80122,497717329.0,497717329.0,2307,80268,TRNFP,Транснф ап,2014-02-19,3,497797597,6213,80122,
80437,505947733.0,TQBR,81200,81614,80900,79702,80437,80437,505947733.0,505947733.0,2483,80251,TRNFP,Транснф ап,2014-02-20,3,507392251,6308,80436,
80421,216975518.0,TQBR,80229,81445,80372,79960,80421,80421,216975518.0,216975518.0,1567,81425,TRNFP,Транснф ап,2014-02-21,3,217464068,2704,80423,
80010,103612403.0,TQBR,79859,80279,79794,79702,80010,80010,103612403.0,103612403.0,782,80228,TRNFP,Транснф ап,2014-02-24,3,103772859,1297,80010,
79867,140167259.0,TQBR,79901,80145,79859,79525,79867,79867,140167259.0,140167259.0,848,79793,TRNFP,Транснф ап,2014-02-25,3,140326845,1757,79867,
80250,1131197774.0,TQBR,80492,81184,80536,79817,80250,80250,1131197774.0,1131197774.0,1998,79949,TRNFP,Транснф ап,2014-02-26,3,1131197774,14096,80250,
80657,398851224.0,TQBR,80951,81299,80890,79901,80657,80657,398851224.0,398851224.0,2187,81299,TRNFP,Транснф ап,2014-02-27,3,399257719,4950,80658,
80445,311963850.0,TQBR,81190,81190,81100,79651,80445,80445,311963850.0,311963850.0,1573,80674,TRNFP,Транснф ап,2014-02-28,3,311963850,3878,80445,
77439,1695906242.0,TQBR,78350,80000,79000,75100,77439,77439,1695906242.0,1695906242.0,6316,80000,TRNFP,Транснф ап,2014-03-03,3,1696386242,21906,77439,
77573,1096182015.0,TQBR,77250,80595,77330,76392,77573,77573,1096182015.0,1096182015.0,5502,78999,TRNFP,Транснф ап,2014-03-04,3,1096182015,14131,77573,
76789,432474876.0,TQBR,77900,77910,77890,75288,76789,76789,432474876.0,432474876.0,2924,77003,TRNFP,Транснф ап,2014-03-05,3,432474876,5632,76789,
77413,576110126.0,TQBR,77901,78198,77901,76202,77413,77413,576110126.0,576110126.0,3221,77875,TRNFP,Транснф ап,2014-03-06,3,576110126,7442,77413,
77770,1098041604.0,TQBR,77895,78698,77897,76258,77770,77770,1098041604.0,1098041604.0,4922,77360,TRNFP,Транснф ап,2014-03-07,3,1098041604,14119,77770,
76979,651470671.0,TQBR,77000,78594,76990,75919,76979,76979,651470671.0,651470671.0,3410,77503,TRNFP,Транснф ап,2014-03-11,3,651470671,8463,76979,
76439,873697061.0,TQBR,76060,76900,76450,75602,76439,76439,873697061.0,873697061.0,3102,76850,TRNFP,Транснф ап,2014-03-12,3,873773911,11431,76439,
77470,1025932465.0,TQBR,75710,78500,76200,75701,77470,77470,1025932465.0,1025932465.0,3768,76499,TRNFP,Транснф ап,2014-03-13,3,1025855944,13242,77470,
73545,671905848.0,TQBR,74100,75571,74255,72602,73545,73545,671905848.0,671905848.0,4627,75550,TRNFP,Транснф ап,2014-03-14,3,671538757,9131,73545,
73748,896043994.0,TQBR,73951,75995,73254,72625,73748,73748,896043994.0,896043994.0,5207,75995,TRNFP,Транснф ап,2014-03-17,3,896499964,12156,73750,
73087,612904703.0,TQBR,73500,74270,73598,71700,73087,73087,612904703.0,612904703.0,4518,73500,TRNFP,Транснф ап,2014-03-18,3,613272203,8391,73087,
72011,1211439336.0,TQBR,72600,73790,72800,70879,72011,72011,1211439336.0,1211439336.0,7193,73543,TRNFP,Транснф ап,2014-03-19,3,1211439336,16823,72011,
72803,504157512.0,TQBR,73000,73500,73397,72000,72803,72803,504157512.0,504157512.0,3456,72297,TRNFP,Транснф ап,2014-03-20,3,504157512,6925,72803,
72383,775073664.0,TQBR,72299,73200,73200,70555,72383,72383,775073664.0,775073664.0,4592,71735,TRNFP,Транснф ап,2014-03-21,3,775145399,10709,72383,
74143,493125834.0,TQBR,74000,75000,73310,72539,74143,74143,493125834.0,493125834.0,3201,72539,TRNFP,Транснф ап,2014-03-24,3,493125834,6651,74143,
74415,449394286.0,TQBR,74803,75447,74500,73331,74415,74415,449394286.0,449394286.0,2701,73885,TRNFP,Транснф ап,2014-03-25,3,449394286,6039,74415,
75578,382725384.0,TQBR,75300,76476,75302,74720,75578,75578,382725384.0,382725384.0,2432,74720,TRNFP,Транснф ап,2014-03-26,3,382725384,5064,75578,
74294,503268762.0,TQBR,74199,75410,74500,73500,74294,74294,503268762.0,503268762.0,3010,75405,TRNFP,Транснф ап,2014-03-27,3,503344167,6775,74294,
75513,756264784.0,TQBR,75650,76285,75850,74347,75513,75513,756264784.0,756264784.0,3295,74649,TRNFP,Транснф ап,2014-03-28,3,756264784,10015,75513,
76027,1035033312.0,TQBR,76299,76683,76299,75462,76027,76027,1035033312.0,1035033312.0,4622,75625,TRNFP,Транснф ап,2014-03-31,3,1035865187,13625,76027,
76551,586839021.0,TQBR,77034,77345,77034,75762,76551,76551,586839021.0,586839021.0,3675,76568,TRNFP,Транснф ап,2014-04-01,3,587068725,7669,76551,
76872,702152509.0,TQBR,77189,77586,77189,76400,76872,76872,702152509.0,702152509.0,2682,77060,TRNFP,Транснф ап,2014-04-02,3,702229569,9135,76872,
77326,642812933.0,TQBR,77200,77777,77200,76990,77326,77326,642812933.0,642812933.0,2672,77299,TRNFP,Транснф ап,2014-04-03,3,642812933,8313,77326,
77223,636315319.0,TQBR,77000,77876,77000,76950,77223,77223,636315319.0,636315319.0,3237,77315,TRNFP,Транснф ап,2014-04-04,3,636315319,8240,77223,
77145,593864314.0,TQBR,77500,77750,77500,76105,77145,77145,593864314.0,593864314.0,3240,76908,TRNFP,Транснф ап,2014-04-07,3,594325762,7704,77145,
