ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
2.604,67898436,TQBR,2.604,2.619,2.604,2.51,2.582,2.582,67898436,67898436,1322,2.598,UPRO,Юнипро ао,2016-07-01,3,67898436,26293000,2.582,
2.608,29922945,TQBR,2.608,2.619,2.608,2.6,2.607,2.607,29922945,29922945,689,2.604,UPRO,Юнипро ао,2016-07-04,3,29922945,11478000,2.607,
2.598,37685637,TQBR,2.598,2.61,2.598,2.582,2.601,2.601,37685637,37685637,3370,2.605,UPRO,Юнипро ао,2016-07-05,3,37685637,14489000,2.601,
2.65,66418134,TQBR,2.65,2.66,2.65,2.596,2.629,2.629,66418134,66418134,1191,2.596,UPRO,Юнипро ао,2016-07-06,3,66418134,25264000,2.629,
2.65,38070243,TQBR,2.65,2.679,2.65,2.637,2.663,2.663,38070243,38070243,728,2.65,UPRO,Юнипро ао,2016-07-07,3,38070243,14296000,2.662,
2.638,24025705,TQBR,2.638,2.65,2.638,2.61,2.631,2.631,24025705,24025705,632,2.643,UPRO,Юнипро ао,2016-07-08,3,24025705,9133000,2.631,
2.653,51815931,TQBR,2.65,2.655,2.653,2.629,2.649,2.649,51815931,51815931,1098,2.641,UPRO,Юнипро ао,2016-07-11,3,51815931,19562000,2.649,
2.662,48520423,TQBR,2.663,2.67,2.662,2.64,2.657,2.657,48520423,48520423,621,2.65,UPRO,Юнипро ао,2016-07-12,3,48520423,18258000,2.657,
2.654,36262870,TQBR,2.654,2.671,2.654,2.654,2.66,2.66,36262870,36262870,2243,2.658,UPRO,Юнипро ао,2016-07-13,3,36262870,13632000,2.66,
2.666,43423696,TQBR,2.666,2.673,2.666,2.639,2.659,2.659,43423696,43423696,692,2.655,UPRO,Юнипро ао,2016-07-14,3,43423696,16331000,2.659,
2.723,78376945,TQBR,2.723,2.743,2.723,2.665,2.705,2.705,78376945,78376945,1425,2.673,UPRO,Юнипро ао,2016-07-15,3,78376945,28978000,2.705,
2.773,62703259,TQBR,2.773,2.777,2.773,2.72,2.754,2.754,62703259,62703259,821,2.727,UPRO,Юнипро ао,2016-07-18,3,62703259,22772000,2.754,
2.76,20892082,TQBR,2.76,2.774,2.76,2.743,2.764,2.764,20892082,20892082,1755,2.774,UPRO,Юнипро ао,2016-07-19,3,20892082,7558000,2.764,
2.76,37599921,TQBR,2.76,2.77,2.76,2.741,2.758,2.758,37599921,37599921,1181,2.76,UPRO,Юнипро ао,2016-07-20,3,37599921,13634000,2.758,
2.803,38231025,TQBR,2.803,2.805,2.803,2.76,2.783,2.783,38231025,38231025,1088,2.76,UPRO,Юнипро ао,2016-07-21,3,38231025,13737000,2.783,
2.812,97287414,TQBR,2.812,2.925,2.812,2.703,2.805,2.805,97287414,97287414,1847,2.801,UPRO,Юнипро ао,2016-07-22,3,97287414,34681000,2.808,
2.851,51784261,TQBR,2.851,2.87,2.851,2.784,2.847,2.847,51784261,51784261,687,2.812,UPRO,Юнипро ао,2016-07-25,3,51784261,18187000,2.847,
2.847,26853530,TQBR,2.847,2.89,2.847,2.83,2.854,2.854,26853530,26853530,840,2.89,UPRO,Юнипро ао,2016-07-26,3,26853530,9408000,2.854,
2.858,17663019,TQBR,2.858,2.859,2.858,2.816,2.841,2.841,17663019,17663019,419,2.854,UPRO,Юнипро ао,2016-07-27,3,17663019,6217000,2.841,
2.95,45883877,TQBR,2.95,2.958,2.95,2.86,2.931,2.931,45883877,45883877,1070,2.86,UPRO,Юнипро ао,2016-07-28,3,45883877,15655000,2.931,
3.0,86438331,TQBR,3.0,3.01,3.0,2.939,2.993,2.993,86438331,86438331,2035,2.94,UPRO,Юнипро ао,2016-07-29,3,86438331,28880000,2.985,
2.941,55672503,TQBR,2.941,3.01,2.941,2.922,2.973,2.973,55672503,55672503,1311,2.995,UPRO,Юнипро ао,2016-08-01,3,55672503,18729000,2.974,
2.845,23168940,TQBR,2.845,2.985,2.845,2.84,2.865,2.865,23168940,23168940,777,2.985,UPRO,Юнипро ао,2016-08-02,3,23168940,8087000,2.865,
2.848,50426355,TQBR,2.848,2.871,2.848,2.757,2.806,2.806,50426355,50426355,1847,2.855,UPRO,Юнипро ао,2016-08-03,3,50426355,17973000,2.807,
2.874,59192001,TQBR,2.874,2.937,2.874,2.839,2.9,2.9,59192001,59192001,3300,2.839,UPRO,Юнипро ао,2016-08-04,3,59192001,20409000,2.9,
2.88,11813033,TQBR,2.88,2.9,2.88,2.86,2.878,2.878,11813033,11813033,408,2.86,UPRO,Юнипро ао,2016-08-05,3,11813033,4105000,2.88,
2.923,42063619,TQBR,2.923,2.96,2.923,2.872,2.91,2.91,42063619,42063619,535,2.873,UPRO,Юнипро ао,2016-08-08,3,42063619,14457000,2.908,
2.954,29316531,TQBR,2.954,2.957,2.954,2.904,2.936,2.936,29316531,29316531,780,2.934,UPRO,Юнипро ао,2016-08-09,3,29316531,9984000,2.937,
2.923,101605682,TQBR,2.923,3.015,2.923,2.904,2.976,2.976,101605682,101605682,1837,2.935,UPRO,Юнипро ао,2016-08-10,3,101605682,34146000,2.977,
2.92,74291064,TQBR,2.92,2.966,2.92,2.913,2.931,2.931,74291064,74291064,704,2.93,UPRO,Юнипро ао,2016-08-11,3,74291064,25349000,2.931,
2.9,33153221,TQBR,2.9,2.92,2.9,2.886,2.905,2.905,33153221,33153221,933,2.906,UPRO,Юнипро ао,2016-08-12,3,33153221,11413000,2.904,
2.883,20767117,TQBR,2.883,2.904,2.883,2.859,2.882,2.882,20767117,20767117,510,2.895,UPRO,Юнипро ао,2016-08-15,3,20767117,7206000,2.884,
2.84,87147807,TQBR,2.84,2.87,2.84,2.81,2.841,2.841,87147807,87147807,1261,2.856,UPRO,Юнипро ао,2016-08-16,3,87147807,30673000,2.841,
2.885,36617833,TQBR,2.885,2.895,2.885,2.82,2.868,2.868,36617833,36617833,819,2.829,UPRO,Юнипро ао,2016-08-17,3,36617833,12766000,2.868,
2.9,52917469,TQBR,2.9,2.905,2.9,2.867,2.895,2.895,52917469,52917469,823,2.885,UPRO,Юнипро ао,2016-08-18,3,52917469,18277000,2.895,
2.892,5870805,TQBR,2.892,2.893,2.892,2.879,2.885,2.885,5870805,5870805,200,2.88,UPRO,Юнипро ао,2016-08-19,3,5870805,2035000,2.885,
2.874,16045891,TQBR,2.874,2.907,2.874,2.817,2.856,2.856,16045891,16045891,511,2.907,UPRO,Юнипро ао,2016-08-22,3,16045891,5619000,2.856,
2.83,77163068,TQBR,2.83,2.86,2.83,2.821,2.841,2.841,77163068,77163068,2546,2.848,UPRO,Юнипро ао,2016-08-23,3,77163068,27162000,2.841,
2.794,33434181,TQBR,2.794,2.838,2.794,2.789,2.803,2.803,33434181,33434181,567,2.82,UPRO,Юнипро ао,2016-08-24,3,33434181,11926000,2.803,
2.824,10682751,TQBR,2.824,2.832,2.824,2.787,2.816,2.816,10682751,10682751,357,2.795,UPRO,Юнипро ао,2016-08-25,3,10682751,3794000,2.816,
2.83,39096806,TQBR,2.83,2.83,2.83,2.79,2.803,2.803,39096806,39096806,2344,2.82,UPRO,Юнипро ао,2016-08-26,3,39096806,13946000,2.803,
2.81,13625780,TQBR,2.81,2.83,2.81,2.791,2.804,2.804,13625780,13625780,581,2.83,UPRO,Юнипро ао,2016-08-29,3,13625780,4860000,2.804,
2.83,29762569,TQBR,2.83,2.833,2.83,2.791,2.816,2.816,29762569,29762569,826,2.8,UPRO,Юнипро ао,2016-08-30,3,29762569,10569000,2.816,
2.83,78282387,TQBR,2.83,2.85,2.83,2.82,2.83,2.83,78282387,78282387,898,2.833,UPRO,Юнипро ао,2016-08-31,3,78282387,27661000,2.83,
2.8,89891699,TQBR,2.8,2.835,2.8,2.795,2.82,2.82,89891699,89891699,468,2.82,UPRO,Юнипро ао,2016-09-01,3,89891699,31877000,2.82,
2.807,89496289,TQBR,2.807,2.815,2.807,2.8,2.809,2.809,89496289,89496289,368,2.81,UPRO,Юнипро ао,2016-09-02,3,89496289,31860000,2.809,
2.795,51607143,TQBR,2.795,2.817,2.795,2.788,2.801,2.801,51607143,51607143,418,2.812,UPRO,Юнипро ао,2016-09-05,3,51607143,18422000,2.801,
2.796,126573786,TQBR,2.796,2.82,2.796,2.793,2.813,2.813,126573786,126573786,848,2.815,UPRO,Юнипро ао,2016-09-06,3,126573786,45004000,2.813,
2.801,11160982,TQBR,2.801,2.814,2.801,2.796,2.801,2.801,11160982,11160982,225,2.807,UPRO,Юнипро ао,2016-09-07,3,11160982,3985000,2.801,
