ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
44.444,194674727.8,TQBR,44.448,45.001,44.448,43.751,44.444,44.444,194674727.8,194674727.8,1983,44.364,AFKS,Система ао,2014-06-09,3,194674727.8,4380200,44.444,
45.08,522319645.4,TQBR,45.499,45.596,45.499,44.117,45.08,45.08,522319645.4,522319645.4,3704,44.44,AFKS,Система ао,2014-06-10,3,522319645.4,11586400,45.08,
45.295,215492199.5,TQBR,45.3,45.749,45.3,44.7,45.295,45.295,215492199.5,215492199.5,5536,45.007,AFKS,Система ао,2014-06-11,3,215501200.9,4757700,45.295,
45.871,822583929.4,TQBR,45.999,46.37,45.999,44.514,45.871,45.871,822583929.4,822583929.4,12334,45.913,AFKS,Система ао,2014-06-16,3,822593112.0,17932600,45.871,
45.92,254605768.8,TQBR,46.1,46.467,46.1,45.7,45.92,45.92,254605768.8,254605768.8,3274,46.3,AFKS,Система ао,2014-06-17,3,254605768.8,5544500,45.92,
46.505,297176053.4,TQBR,46.6,46.677,46.6,45.823,46.505,46.505,297176053.4,297176053.4,5313,45.823,AFKS,Система ао,2014-06-18,3,297176053.4,6390200,46.505,
46.604,115783345.4,TQBR,46.599,47.049,46.599,46.113,46.604,46.604,115783345.4,115783345.4,2214,46.683,AFKS,Система ао,2014-06-19,3,115783345.4,2484400,46.604,
46.101,209382805.4,TQBR,46.0,46.763,46.0,45.26,46.101,46.101,209382805.4,209382805.4,3742,46.743,AFKS,Система ао,2014-06-20,3,209382805.4,4541800,46.101,
45.395,250177137.1,TQBR,45.5,46.982,45.5,45.03,45.395,45.395,250177137.1,250177137.1,4333,46.091,AFKS,Система ао,2014-06-23,3,250177137.1,5511100,45.395,
46.04,384382421.5,TQBR,46.45,46.45,46.45,45.261,46.04,46.04,384382421.5,384382421.5,3525,45.582,AFKS,Система ао,2014-06-24,3,384382421.5,8348800,46.04,
45.245,295804785.3,TQBR,45.1,47.332,45.1,44.849,45.245,45.245,295804785.3,295804785.3,5344,46.308,AFKS,Система ао,2014-06-25,3,295804785.3,6537800,45.245,
44.943,123431090.5,TQBR,45.2,45.497,45.2,44.137,44.943,44.943,123431090.5,123431090.5,2734,45.497,AFKS,Система ао,2014-06-26,3,123431090.5,2746400,44.943,
45.647,184268521.4,TQBR,46.2,46.2,46.2,44.623,45.647,45.647,184268521.4,184268521.4,2869,45.2,AFKS,Система ао,2014-06-27,3,184268521.4,4036800,45.647,
45.776,282774751.9,TQBR,45.6,46.338,45.6,45.518,45.776,45.776,282774751.9,282774751.9,2337,46.199,AFKS,Система ао,2014-06-30,3,282774751.9,6177400,45.776,
45.077,124835096.6,TQBR,45.143,45.517,45.143,44.541,45.077,45.077,124835096.6,124835096.6,2078,45.517,AFKS,Система ао,2014-07-01,3,124835096.6,2769400,45.077,
45.464,266234620.1,TQBR,45.9,45.9,45.9,45.121,45.464,45.464,266234620.1,266234620.1,5039,45.674,AFKS,Система ао,2014-07-02,3,266421883.5,5860100,45.464,
46.146,183896042.8,TQBR,46.4,46.448,46.4,45.611,46.146,46.146,183896042.8,183896042.8,2257,45.611,AFKS,Система ао,2014-07-03,3,183896042.8,3985100,46.146,
46.415,137123750.9,TQBR,46.6,46.897,46.6,46.16,46.415,46.415,137123750.9,137123750.9,2408,46.395,AFKS,Система ао,2014-07-04,3,137123750.9,2954300,46.415,
47.72,398112278.5,TQBR,48.0,48.196,48.0,46.301,47.72,47.72,398112278.5,398112278.5,4328,46.697,AFKS,Система ао,2014-07-07,3,398112278.5,8342600,47.72,
48.335,489481769.8,TQBR,47.79,48.729,47.79,47.55,48.335,48.335,489481769.8,489481769.8,6221,48.296,AFKS,Система ао,2014-07-08,3,489481769.8,10126900,48.335,
46.821,266102092.7,TQBR,47.5,47.948,47.5,46.311,46.821,46.821,266102092.7,266102092.7,3090,47.769,AFKS,Система ао,2014-07-09,3,266102092.7,5683400,46.821,
