ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
56.34,156569913.0,TQBR,57.4,57.43,57.4,55.61,56.34,56.34,156569913.0,156569913.0,3780,56.7,AFLT,Аэрофлот,2013-10-31,3,156598263.0,2779400,56.34,
57.4,131222235.0,TQBR,57.38,57.75,57.12,56.64,57.4,57.4,131222235.0,131222235.0,1226,57.13,AFLT,Аэрофлот,2013-11-01,3,131227948.0,2286300,57.4,
56.99,41543271.0,TQBR,56.85,57.5,56.86,56.8,56.99,56.99,41543271.0,41543271.0,463,57.5,AFLT,Аэрофлот,2013-11-05,3,41543271.0,729000,56.99,
56.98,75246929.0,TQBR,57.4,57.46,57.37,56.5,56.98,56.98,75246929.0,75246929.0,1329,56.93,AFLT,Аэрофлот,2013-11-06,3,75264008.0,1320900,56.98,
57.86,122199101.0,TQBR,58.45,58.47,58.47,56.92,57.86,57.86,122199101.0,122199101.0,1667,57.31,AFLT,Аэрофлот,2013-11-07,3,122199101.0,2112000,57.86,
57.43,78150799.0,TQBR,57.1,58.11,56.9,56.9,57.43,57.43,78150799.0,78150799.0,1268,57.58,AFLT,Аэрофлот,2013-11-08,3,78191105.0,1361500,57.43,
57.34,72225288.0,TQBR,57.47,57.83,57.35,56.68,57.34,57.34,72225288.0,72225288.0,2341,57.22,AFLT,Аэрофлот,2013-11-11,3,72225288.0,1259600,57.34,
57.71,51213212.0,TQBR,57.88,57.91,57.67,57.29,57.71,57.71,51213212.0,51213212.0,777,57.49,AFLT,Аэрофлот,2013-11-12,3,51213212.0,887500,57.71,
58.18,167734982.0,TQBR,57.83,58.85,57.77,57.32,58.18,58.18,167734982.0,167734982.0,3090,57.5,AFLT,Аэрофлот,2013-11-13,3,167734982.0,2883100,58.18,
59.03,106069302.0,TQBR,59.51,60.16,59.5,57.74,59.03,59.03,106069302.0,106069302.0,1695,58.25,AFLT,Аэрофлот,2013-11-14,3,106069302.0,1796800,59.03,
59.89,76880475.0,TQBR,59.88,60.47,59.8,59.51,59.89,59.89,76880475.0,76880475.0,1154,60.01,AFLT,Аэрофлот,2013-11-15,3,76964489.0,1285200,59.89,
59.89,59690775.0,TQBR,59.81,60.35,59.9,59.47,59.89,59.89,59690775.0,59690775.0,888,59.94,AFLT,Аэрофлот,2013-11-18,3,59696769.0,996700,59.89,
58.97,77679614.0,TQBR,58.68,60.18,58.57,58.26,58.97,58.97,77679614.0,77679614.0,1389,59.8,AFLT,Аэрофлот,2013-11-19,3,77679614.0,1317300,58.97,
57.75,75143787.0,TQBR,57.6,58.55,57.66,57.46,57.75,57.75,75143787.0,75143787.0,1422,58.1,AFLT,Аэрофлот,2013-11-20,3,75213507.0,1302300,57.75,
57.15,72836898.0,TQBR,57.78,57.97,57.79,56.38,57.15,57.15,72836898.0,72836898.0,1250,57.97,AFLT,Аэрофлот,2013-11-21,3,73428192.0,1284700,57.16,
58.33,67169449.0,TQBR,58.29,58.63,58.34,57.79,58.33,58.33,67169449.0,67169449.0,979,57.79,AFLT,Аэрофлот,2013-11-22,3,67169449.0,1151600,58.33,
58.81,48762042.0,TQBR,58.26,59.19,58.2,58.15,58.81,58.81,48762042.0,48762042.0,861,58.47,AFLT,Аэрофлот,2013-11-25,3,49352589.0,839200,58.81,
57.64,122287839.0,TQBR,57.57,58.36,57.91,57.26,57.64,57.64,122287839.0,122287839.0,1040,58.16,AFLT,Аэрофлот,2013-11-26,3,122287839.0,2121700,57.64,
