ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
300.0,544074741.0,TQBR,296.5,305.0,296.5,295.0,300.0,300.0,544074741.0,544074741.0,8789,297.0,CHMF,СевСт-ао,2014-06-09,3,544321251.0,1814130,300.0,
293.6,282784084.0,TQBR,293.4,297.5,293.4,291.1,293.6,293.6,282784084.0,282784084.0,5114,297.5,CHMF,СевСт-ао,2014-06-10,3,282784084.0,963070,293.6,
291.9,237646552.0,TQBR,292.5,296.7,292.5,290.0,291.9,291.9,237646552.0,237646552.0,4198,293.2,CHMF,СевСт-ао,2014-06-11,3,238429396.0,816920,291.9,
286.6,681080835.0,TQBR,285.4,290.9,285.4,282.7,286.6,286.6,681080835.0,681080835.0,14199,290.1,CHMF,СевСт-ао,2014-06-16,3,681333222.0,2377230,286.6,
287.7,404193778.0,TQBR,286.5,291.2,286.5,284.6,287.7,287.7,404193778.0,404193778.0,6219,285.4,CHMF,СевСт-ао,2014-06-17,3,404236588.0,1404850,287.7,
290.4,435283021.0,TQBR,291.9,293.9,291.9,286.1,290.4,290.4,435283021.0,435283021.0,5962,288.3,CHMF,СевСт-ао,2014-06-18,3,435311851.0,1498790,290.4,
294.9,567918651.0,TQBR,294.0,298.0,294.0,291.3,294.9,294.9,567918651.0,567918651.0,8333,295.0,CHMF,СевСт-ао,2014-06-19,3,569066201.0,1929690,294.9,
287.8,447440701.0,TQBR,286.2,290.3,286.2,285.3,287.8,287.8,447440701.0,447440701.0,5511,290.0,CHMF,СевСт-ао,2014-06-20,3,450111601.0,1563870,287.8,
287.0,239556865.0,TQBR,285.1,290.0,285.1,284.1,287.0,287.0,239556865.0,239556865.0,4405,287.0,CHMF,СевСт-ао,2014-06-23,3,239797945.0,835640,287.0,
290.6,437360086.0,TQBR,291.8,293.3,291.8,285.4,290.6,290.6,437360086.0,437360086.0,8124,285.4,CHMF,СевСт-ао,2014-06-24,3,437417166.0,1505130,290.6,
287.6,365368382.0,TQBR,284.5,292.8,284.5,284.3,287.6,287.6,365368382.0,365368382.0,6354,289.8,CHMF,СевСт-ао,2014-06-25,3,365559650.0,1271190,287.6,
281.7,448058782.0,TQBR,280.1,286.2,280.1,278.3,281.7,281.7,448058782.0,448058782.0,6857,285.9,CHMF,СевСт-ао,2014-06-26,3,448115962.0,1590760,281.7,
280.0,301777571.0,TQBR,280.6,283.0,280.6,276.8,280.0,280.0,301777571.0,301777571.0,5682,280.1,CHMF,СевСт-ао,2014-06-27,3,301984845.0,1078620,280.0,
279.2,238090036.0,TQBR,279.0,282.9,279.0,276.2,279.2,279.2,238090036.0,238090036.0,4998,281.2,CHMF,СевСт-ао,2014-06-30,3,238092848.0,852750,279.2,
278.1,264422896.0,TQBR,278.7,279.7,278.7,277.1,278.1,278.1,264422896.0,264422896.0,5821,279.7,CHMF,СевСт-ао,2014-07-01,3,264702596.0,951730,278.1,
284.6,490437422.0,TQBR,285.7,287.3,285.7,279.0,284.6,284.6,490437422.0,490437422.0,6744,279.0,CHMF,СевСт-ао,2014-07-02,3,490468112.0,1723250,284.6,
287.7,413730245.0,TQBR,288.7,289.3,288.7,285.2,287.7,287.7,413730245.0,413730245.0,5206,286.4,CHMF,СевСт-ао,2014-07-03,3,413798981.0,1438480,287.7,
287.2,350857402.0,TQBR,283.4,290.9,283.4,282.7,287.2,287.2,350857402.0,350857402.0,5791,289.0,CHMF,СевСт-ао,2014-07-04,3,351108832.0,1222690,287.2,
287.5,301093581.0,TQBR,289.5,290.7,289.5,282.9,287.5,287.5,301093581.0,301093581.0,4745,283.4,CHMF,СевСт-ао,2014-07-07,3,301133257.0,1047450,287.5,
293.8,603084334.0,TQBR,293.0,295.5,293.0,289.6,293.8,293.8,603084334.0,603084334.0,8736,290.0,CHMF,СевСт-ао,2014-07-08,3,603101734.0,2052550,293.8,
293.1,579656529.0,TQBR,291.4,297.5,291.4,289.1,293.1,293.1,579656529.0,579656529.0,8737,293.0,CHMF,СевСт-ао,2014-07-09,3,580195649.0,1979230,293.1,
288.7,588288951.0,TQBR,287.8,294.1,287.8,285.2,288.7,288.7,588288951.0,588288951.0,9976,293.0,CHMF,СевСт-ао,2014-07-10,3,588356341.0,2038120,288.7,
289.2,548250325.0,TQBR,290.9,292.1,290.9,286.0,289.2,289.2,548250325.0,548250325.0,7454,288.8,CHMF,СевСт-ао,2014-07-11,3,548423605.0,1896240,289.2,
292.2,321926221.0,TQBR,293.5,294.6,293.5,289.4,292.2,292.2,321926221.0,321926221.0,5195,291.2,CHMF,СевСт-ао,2014-07-14,3,321972813.0,1101820,292.2,
296.3,672102585.0,TQBR,298.2,302.0,298.2,291.5,296.3,296.3,672102585.0,672102585.0,8220,294.6,CHMF,СевСт-ао,2014-07-15,3,672182127.0,2268850,296.3,
302.8,589677938.0,TQBR,304.5,305.0,304.5,297.6,302.8,302.8,589677938.0,589677938.0,7725,298.5,CHMF,СевСт-ао,2014-07-16,3,589677938.0,1947310,302.8,
300.5,628760434.0,TQBR,303.9,304.5,303.9,296.5,300.5,300.5,628760434.0,628760434.0,9318,302.1,CHMF,СевСт-ао,2014-07-17,3,629237752.0,2094060,300.5,
300.0,726668180.0,TQBR,302.0,303.2,302.0,296.5,300.0,300.0,726668180.0,726668180.0,9554,299.0,CHMF,СевСт-ао,2014-07-18,3,728243910.0,2427550,300.0,
306.4,981111234.0,TQBR,303.9,309.0,303.9,303.0,306.4,306.4,981111234.0,981111234.0,11586,304.0,CHMF,СевСт-ао,2014-07-21,3,991456354.0,3236280,306.4,
310.2,978279284.0,TQBR,311.7,313.4,311.7,305.1,310.2,310.2,978279284.0,978279284.0,11128,305.8,CHMF,СевСт-ао,2014-07-22,3,978744100.0,3155140,310.2,
313.0,800051833.0,TQBR,310.0,317.0,310.0,307.1,313.0,313.0,800051833.0,800051833.0,9668,311.7,CHMF,СевСт-ао,2014-07-23,3,800058067.0,2555900,313.0,
308.8,373066604.0,TQBR,310.5,312.3,310.5,306.2,308.8,308.8,373066604.0,373066604.0,5646,308.8,CHMF,СевСт-ао,2014-07-24,3,373202476.0,1208490,308.8,
309.7,377043882.0,TQBR,310.1,312.7,310.1,307.2,309.7,309.7,377043882.0,377043882.0,6801,310.0,CHMF,СевСт-ао,2014-07-25,3,377338382.0,1218340,309.7,
307.3,309640072.0,TQBR,307.9,309.5,307.9,304.6,307.3,307.3,309640072.0,309640072.0,5070,307.6,CHMF,СевСт-ао,2014-07-28,3,309720048.0,1007900,307.3,
316.0,811864568.0,TQBR,320.0,321.5,320.0,308.0,316.0,316.0,811864568.0,811864568.0,9393,308.0,CHMF,СевСт-ао,2014-07-29,3,812532928.0,2571130,316.0,
328.0,1128121119.0,TQBR,331.3,333.8,331.3,316.1,328.0,328.0,1128121119.0,1128121119.0,14075,317.0,CHMF,СевСт-ао,2014-07-30,3,1130026289.0,3445340,328.0,
341.0,1327979104.0,TQBR,343.0,346.2,343.0,330.3,341.0,341.0,1327979104.0,1327979104.0,14029,330.3,CHMF,СевСт-ао,2014-07-31,3,1328494372.0,3895730,341.0,
342.2,821118211.0,TQBR,344.9,347.9,344.9,337.4,342.2,342.2,821118211.0,821118211.0,10845,343.1,CHMF,СевСт-ао,2014-08-01,3,822418560.0,2403520,342.2,
343.0,473967874.0,TQBR,343.1,349.6,343.1,339.1,343.0,343.0,473967874.0,473967874.0,6175,348.9,CHMF,СевСт-ао,2014-08-04,3,474403999.0,1383010,343.0,
335.2,698026849.0,TQBR,333.1,344.8,333.1,331.3,335.2,335.2,698026849.0,698026849.0,7767,343.6,CHMF,СевСт-ао,2014-08-05,3,698367013.0,2083260,335.2,
329.7,742164522.0,TQBR,328.3,335.0,328.3,326.3,329.7,329.7,742164522.0,742164522.0,10119,331.7,CHMF,СевСт-ао,2014-08-06,3,742217594.0,2250870,329.7,
329.9,719421293.0,TQBR,330.7,333.8,330.7,325.5,329.9,329.9,719421293.0,719421293.0,9805,326.4,CHMF,СевСт-ао,2014-08-07,3,719692205.0,2181600,329.9,
333.5,746297894.0,TQBR,334.1,337.0,334.1,327.2,333.5,333.5,746297894.0,746297894.0,8830,330.8,CHMF,СевСт-ао,2014-08-08,3,746645234.0,2238850,333.5,
338.5,773278128.0,TQBR,337.5,343.9,337.5,333.0,338.5,338.5,773278128.0,773278128.0,7933,342.0,CHMF,СевСт-ао,2014-08-11,3,776486088.0,2293590,338.5,
336.1,395905783.0,TQBR,334.1,338.8,334.1,332.6,336.1,336.1,395905783.0,395905783.0,5458,337.5,CHMF,СевСт-ао,2014-08-12,3,395905783.0,1177810,336.1,
338.2,589823537.0,TQBR,338.5,341.7,338.5,333.3,338.2,338.2,589823537.0,589823537.0,7306,334.1,CHMF,СевСт-ао,2014-08-13,3,589836901.0,1743830,338.2,
340.7,542539075.0,TQBR,338.7,345.0,338.7,336.6,340.7,340.7,542539075.0,542539075.0,7809,340.0,CHMF,СевСт-ао,2014-08-14,3,542879075.0,1593630,340.7,
341.3,382099196.0,TQBR,340.0,344.8,340.0,337.5,341.3,341.3,382099196.0,382099196.0,5339,340.0,CHMF,СевСт-ао,2014-08-15,3,382194396.0,1119910,341.3,
342.1,280293725.0,TQBR,343.1,344.4,343.1,338.5,342.1,342.1,280293725.0,280293725.0,3888,341.2,CHMF,СевСт-ао,2014-08-18,3,280385849.0,819530,342.1,
347.7,740183747.0,TQBR,353.9,354.1,353.9,342.0,347.7,347.7,740183747.0,740183747.0,7058,343.5,CHMF,СевСт-ао,2014-08-19,3,740197487.0,2129060,347.7,
356.2,623932596.0,TQBR,362.6,362.6,362.6,350.2,356.2,356.2,623932596.0,623932596.0,7308,354.2,CHMF,СевСт-ао,2014-08-20,3,624106154.0,1752000,356.2,
365.0,727173502.0,TQBR,363.1,370.2,363.1,360.5,365.0,365.0,727173502.0,727173502.0,8300,363.8,CHMF,СевСт-ао,2014-08-21,3,728028432.0,1994400,365.0,
359.0,505388776.0,TQBR,360.5,364.8,360.5,355.4,359.0,359.0,505388776.0,505388776.0,7126,363.1,CHMF,СевСт-ао,2014-08-22,3,505610267.0,1408360,359.0,
360.4,218077038.0,TQBR,359.5,363.0,359.5,357.5,360.4,360.4,218077038.0,218077038.0,2857,359.3,CHMF,СевСт-ао,2014-08-25,3,218166863.0,605310,360.4,
362.7,417687695.0,TQBR,363.8,365.5,363.8,358.1,362.7,362.7,417687695.0,417687695.0,5247,360.4,CHMF,СевСт-ао,2014-08-26,3,417687695.0,1151560,362.7,
362.2,447591071.0,TQBR,359.4,367.2,359.4,358.7,362.2,362.2,447591071.0,447591071.0,5861,365.5,CHMF,СевСт-ао,2014-08-27,3,447664171.0,1235990,362.2,
354.7,688889516.0,TQBR,355.6,359.9,355.6,351.2,354.7,354.7,688889516.0,688889516.0,9455,359.3,CHMF,СевСт-ао,2014-08-28,3,688997306.0,1942360,354.7,
355.6,363374703.0,TQBR,359.5,359.5,359.5,352.2,355.6,355.6,363374703.0,363374703.0,5256,356.6,CHMF,СевСт-ао,2014-08-29,3,363667115.0,1022820,355.6,
359.1,484559186.0,TQBR,358.0,364.5,358.0,354.6,359.1,359.1,484559186.0,484559186.0,7678,362.2,CHMF,СевСт-ао,2014-09-01,3,484743908.0,1349900,359.1,
