ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
85.0,2976631628.9,TQBR,85.0,96.0,85.0,83.0,84.71,84.71,2976631628.9,2976631628.9,7890,90.0,DSKY,ДетскийМир,2017-02-10,3,2976631628.9,35138800,84.71,
85.2,194269737.7,TQBR,85.2,85.9,85.2,84.4,85.1,85.1,194269737.7,194269737.7,778,85.6,DSKY,ДетскийМир,2017-02-13,3,194269737.7,2282830,85.1,
85.0,217778137.1,TQBR,85.0,85.5,85.0,84.64,85.02,85.02,217778137.1,217778137.1,861,85.5,DSKY,ДетскийМир,2017-02-14,3,217778137.1,2561550,85.02,
85.0,32210396.5,TQBR,85.0,85.2,85.0,84.7,84.95,84.95,32210396.5,32210396.5,298,85.2,DSKY,ДетскийМир,2017-02-15,3,32210396.5,379180,84.95,
84.99,223866287.1,TQBR,84.99,85.09,84.99,83.7,84.57,84.57,223866287.1,223866287.1,802,85.09,DSKY,ДетскийМир,2017-02-16,3,223866287.1,2647260,84.57,
84.9,53494862.9,TQBR,84.9,84.9,84.9,84.0,84.88,84.88,53494862.9,53494862.9,103,84.0,DSKY,ДетскийМир,2017-02-17,3,53494862.9,630210,84.88,
84.85,9930320.1,TQBR,84.85,84.9,84.85,84.0,84.57,84.57,9930320.1,9930320.1,350,84.9,DSKY,ДетскийМир,2017-02-20,3,9930320.1,117420,84.57,
84.8,18287317.5,TQBR,84.8,84.9,84.8,84.0,84.33,84.33,18287317.5,18287317.5,347,84.0,DSKY,ДетскийМир,2017-02-21,3,18287317.5,216860,84.33,
84.75,53037488.1,TQBR,84.75,84.8,84.75,84.15,84.67,84.67,53037488.1,53037488.1,436,84.79,DSKY,ДетскийМир,2017-02-22,3,53037488.1,626430,84.67,
84.7,9222135.6,TQBR,84.7,84.7,84.7,83.75,84.4,84.4,9222135.6,9222135.6,147,84.01,DSKY,ДетскийМир,2017-02-24,3,9222135.6,109270,84.4,
