ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
0.06017,217846308.6,TQBR,0.05968,0.06115,0.05968,0.05945,0.06017,0.06017,217846308.6,217846308.6,6186,0.05945,FEES,ФСК ЕЭС ао,2014-06-09,3,218097782.1,3624980000,0.06017,
0.05983,197381028.4,TQBR,0.05965,0.06014,0.05965,0.05951,0.05983,0.05983,197381028.4,197381028.4,5797,0.05967,FEES,ФСК ЕЭС ао,2014-06-10,3,197383415.2,3298900000,0.05983,
0.06018,304239820.4,TQBR,0.06015,0.0611,0.06015,0.05933,0.06018,0.06018,304239820.4,304239820.4,9896,0.0596,FEES,ФСК ЕЭС ао,2014-06-11,3,304270812.4,5055990000,0.06018,
0.05936,260489868.2,TQBR,0.0592,0.06002,0.0592,0.05891,0.05936,0.05936,260489868.2,260489868.2,12214,0.05998,FEES,ФСК ЕЭС ао,2014-06-16,3,260901331.0,4395110000,0.05936,
0.05884,220319282.3,TQBR,0.05808,0.05985,0.05808,0.05807,0.05884,0.05884,220319282.3,220319282.3,8730,0.0594,FEES,ФСК ЕЭС ао,2014-06-17,3,220435706.3,3746530000,0.05884,
0.05878,309449543.2,TQBR,0.05875,0.0593,0.05875,0.05814,0.05878,0.05878,309449543.2,309449543.2,9237,0.0585,FEES,ФСК ЕЭС ао,2014-06-18,3,309804053.2,5270550000,0.05878,
0.05932,265307033.2,TQBR,0.059,0.0597,0.059,0.05889,0.05932,0.05932,265307033.2,265307033.2,8533,0.05922,FEES,ФСК ЕЭС ао,2014-06-19,3,265752367.6,4480050000,0.05932,
0.05854,298686723.4,TQBR,0.05725,0.05952,0.05725,0.05725,0.05854,0.05854,298686723.4,298686723.4,7302,0.05952,FEES,ФСК ЕЭС ао,2014-06-20,3,298984323.4,5107330000,0.05854,
0.0581,188217762.6,TQBR,0.0583,0.0584,0.0583,0.05755,0.0581,0.0581,188217762.6,188217762.6,6194,0.058,FEES,ФСК ЕЭС ао,2014-06-23,3,188686402.6,3247370000,0.0581,
0.05926,253879879.2,TQBR,0.05982,0.05988,0.05982,0.0584,0.05926,0.05926,253879879.2,253879879.2,7548,0.05869,FEES,ФСК ЕЭС ао,2014-06-24,3,253916267.0,4284700000,0.05926,
0.05909,178271014.7,TQBR,0.05919,0.0596,0.05919,0.05865,0.05909,0.05909,178271014.7,178271014.7,4826,0.059,FEES,ФСК ЕЭС ао,2014-06-25,3,179009694.7,3029350000,0.05909,
0.05953,267363607.9,TQBR,0.0598,0.06006,0.0598,0.05897,0.05953,0.05953,267363607.9,267363607.9,7071,0.05921,FEES,ФСК ЕЭС ао,2014-06-26,3,267364200.0,4491260000,0.05953,
