ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
145.02,5850366169.2,TQBR,144.4,146.2,144.4,143.03,145.02,145.02,5850366169.2,5850366169.2,32981,144.0,GAZP,ГАЗПРОМ ао,2014-06-09,3,5851238809.2,40347300,145.02,
143.65,5954475068.5,TQBR,144.75,144.76,144.75,142.67,143.65,143.65,5954475068.5,5954475068.5,34667,144.31,GAZP,ГАЗПРОМ ао,2014-06-10,3,5956066807.8,41460990,143.65,
145.25,5722179072.1,TQBR,146.4,146.4,146.4,143.9,145.25,145.25,5722179072.1,5722179072.1,35615,145.2,GAZP,ГАЗПРОМ ао,2014-06-11,3,5725373472.1,39418520,145.25,
144.29,11114890147.3,TQBR,145.2,145.27,145.2,142.58,144.29,144.29,11114890147.3,11114890147.3,54979,144.0,GAZP,ГАЗПРОМ ао,2014-06-16,3,11134531747.3,77165360,144.29,
145.06,6430821653.0,TQBR,144.77,146.37,144.77,143.72,145.06,145.06,6430821653.0,6430821653.0,37142,145.3,GAZP,ГАЗПРОМ ао,2014-06-17,3,6436430233.0,44370530,145.06,
145.25,4831818708.5,TQBR,145.0,146.19,145.0,144.43,145.25,145.25,4831818708.5,4831818708.5,31478,144.79,GAZP,ГАЗПРОМ ао,2014-06-18,3,4832639667.8,33270240,145.25,
146.68,6522585487.3,TQBR,145.2,147.69,145.2,145.04,146.68,146.68,6522585487.3,6522585487.3,44182,146.4,GAZP,ГАЗПРОМ ао,2014-06-19,3,6552395455.3,44670940,146.68,
145.29,4904826843.9,TQBR,145.6,145.88,145.6,144.28,145.29,145.29,4904826843.9,4904826843.9,27900,145.05,GAZP,ГАЗПРОМ ао,2014-06-20,3,4907720591.4,33779020,145.29,
146.31,4959491290.4,TQBR,147.17,147.27,147.17,145.07,146.31,146.31,4959491290.4,4959491290.4,33417,146.2,GAZP,ГАЗПРОМ ао,2014-06-23,3,4963198922.4,33923270,146.31,
150.78,13196229662.4,TQBR,153.25,153.42,153.25,147.56,150.78,150.78,13196229662.4,13196229662.4,79272,147.65,GAZP,ГАЗПРОМ ао,2014-06-24,3,13200142387.4,87546740,150.78,
151.39,9960832123.4,TQBR,149.26,154.21,149.26,149.01,151.39,151.39,9960832123.4,9960832123.4,51549,152.48,GAZP,ГАЗПРОМ ао,2014-06-25,3,9973343107.4,65879300,151.39,
148.3,7858985529.1,TQBR,147.44,150.44,147.44,147.02,148.3,148.3,7858985529.1,7858985529.1,45393,149.63,GAZP,ГАЗПРОМ ао,2014-06-26,3,7863811096.6,53026000,148.3,
148.68,5136823964.3,TQBR,149.39,149.88,149.39,147.22,148.68,148.68,5136823964.3,5136823964.3,35997,148.0,GAZP,ГАЗПРОМ ао,2014-06-27,3,5138975884.3,34563280,148.68,
148.09,5185620050.3,TQBR,148.96,150.18,148.96,146.58,148.09,148.09,5185620050.3,5185620050.3,33465,149.81,GAZP,ГАЗПРОМ ао,2014-06-30,3,5186346628.8,35020610,148.09,
148.09,5785627179.3,TQBR,148.97,149.5,148.97,146.65,148.09,148.09,5785627179.3,5785627179.3,31247,148.51,GAZP,ГАЗПРОМ ао,2014-07-01,3,5787329103.9,39080070,148.09,
150.33,7340098220.3,TQBR,151.95,151.95,151.95,148.9,150.33,150.33,7340098220.3,7340098220.3,44417,149.09,GAZP,ГАЗПРОМ ао,2014-07-02,3,7341929045.5,48839500,150.33,
152.56,7455607792.0,TQBR,152.3,153.66,152.3,151.41,152.56,152.56,7455607792.0,7455607792.0,38013,152.0,GAZP,ГАЗПРОМ ао,2014-07-03,3,7465358592.0,48933580,152.56,
151.21,5768013168.7,TQBR,149.13,153.09,149.13,148.25,151.21,151.21,5768013168.7,5768013168.7,33779,153.0,GAZP,ГАЗПРОМ ао,2014-07-04,3,5775204168.7,38192290,151.21,
150.49,5160388772.1,TQBR,150.31,151.4,150.31,149.09,150.49,150.49,5160388772.1,5160388772.1,34553,149.1,GAZP,ГАЗПРОМ ао,2014-07-07,3,5162092985.1,34302070,150.49,
152.25,7610096630.3,TQBR,151.43,153.53,151.43,150.52,152.25,152.25,7610096630.3,7610096630.3,48491,150.53,GAZP,ГАЗПРОМ ао,2014-07-08,3,7613322488.2,50005770,152.25,
150.45,6635323611.8,TQBR,150.4,151.77,150.4,149.01,150.45,150.45,6635323611.8,6635323611.8,37831,151.11,GAZP,ГАЗПРОМ ао,2014-07-09,3,6635952229.4,44106880,150.45,
149.25,8758797586.7,TQBR,148.79,151.52,148.79,147.1,149.25,149.25,8758797586.7,8758797586.7,52403,150.8,GAZP,ГАЗПРОМ ао,2014-07-10,3,8759399278.7,58690960,149.25,
148.06,5325473984.6,TQBR,148.15,149.25,148.15,146.91,148.06,148.06,5325473984.6,5325473984.6,34517,148.85,GAZP,ГАЗПРОМ ао,2014-07-11,3,5330962084.1,36005010,148.06,
147.56,5666849154.6,TQBR,147.5,148.8,147.5,146.51,147.56,147.56,5666849154.6,5666849154.6,34414,148.42,GAZP,ГАЗПРОМ ао,2014-07-14,3,5667338940.6,38407230,147.56,
147.55,8136831301.9,TQBR,146.52,148.37,146.52,146.52,147.55,147.55,8136831301.9,8136831301.9,42893,147.8,GAZP,ГАЗПРОМ ао,2014-07-15,3,8138996571.9,55159950,147.55,
141.7,7903995875.9,TQBR,142.5,143.1,142.5,140.1,141.7,141.7,7903995875.9,7903995875.9,52341,140.35,GAZP,ГАЗПРОМ ао,2014-07-16,3,7927024503.9,55942320,141.7,
139.46,8556911974.5,TQBR,140.0,141.0,140.0,138.23,139.46,139.46,8556911974.5,8556911974.5,50321,140.23,GAZP,ГАЗПРОМ ао,2014-07-17,3,8583925881.7,61550720,139.46,
137.86,7348951202.9,TQBR,139.26,139.41,139.26,136.5,137.86,137.86,7348951202.9,7348951202.9,45494,138.0,GAZP,ГАЗПРОМ ао,2014-07-18,3,7358496662.9,53377680,137.86,
136.74,6373796715.4,TQBR,136.01,140.44,136.01,135.2,136.74,136.74,6373796715.4,6373796715.4,43305,140.3,GAZP,ГАЗПРОМ ао,2014-07-21,3,6390851583.4,46735750,136.74,
137.65,4880550195.5,TQBR,137.75,138.87,137.75,136.05,137.65,137.65,4880550195.5,4880550195.5,35295,136.82,GAZP,ГАЗПРОМ ао,2014-07-22,3,4887545802.1,35508000,137.65,
136.98,4890015730.5,TQBR,136.29,139.0,136.29,135.2,136.98,136.98,4890015730.5,4890015730.5,34240,138.2,GAZP,ГАЗПРОМ ао,2014-07-23,3,4890084830.5,35700000,136.98,
