ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
7030,1496018258,TQBR,7029,7076,7029,6971,7030,7030,1496018258,1496018258,8870,6974,GMKN,ГМКНорНик,2014-06-09,3,1496171686,212826,7030,
6943,1439567413,TQBR,6900,7069,6900,6900,6943,6943,1439567413,1439567413,11334,7069,GMKN,ГМКНорНик,2014-06-10,3,1441391215,207612,6943,
6907,1434548347,TQBR,6940,6940,6940,6861,6907,6907,1434548347,1434548347,10938,6895,GMKN,ГМКНорНик,2014-06-11,3,1434679352,207715,6907,
6635,3436895083,TQBR,6649,6700,6649,6548,6635,6635,3436895083,3436895083,21904,6700,GMKN,ГМКНорНик,2014-06-16,3,3453075583,520423,6635,
6605,1448035951,TQBR,6622,6682,6622,6550,6605,6605,1448035951,1448035951,9859,6640,GMKN,ГМКНорНик,2014-06-17,3,1448175391,219261,6605,
6727,1860531013,TQBR,6780,6801,6780,6586,6727,6727,1860531013,1860531013,12583,6614,GMKN,ГМКНорНик,2014-06-18,3,1860722819,276596,6727,
6838,1284772013,TQBR,6839,6895,6839,6797,6838,6838,1284772013,1284772013,11281,6845,GMKN,ГМКНорНик,2014-06-19,3,1286147858,188079,6838,
6880,1701619130,TQBR,6865,6924,6865,6805,6880,6880,1701619130,1701619130,12944,6855,GMKN,ГМКНорНик,2014-06-20,3,1701756230,247349,6880,
6888,1346567302,TQBR,6899,6940,6899,6821,6888,6888,1346567302,1346567302,11871,6887,GMKN,ГМКНорНик,2014-06-23,3,1347070053,195573,6888,
6883,1318009148,TQBR,6895,6925,6895,6848,6883,6883,1318009148,1318009148,10707,6909,GMKN,ГМКНорНик,2014-06-24,3,1318492778,191568,6883,
6840,1310064317,TQBR,6766,6906,6766,6763,6840,6840,1310064317,1310064317,9749,6863,GMKN,ГМКНорНик,2014-06-25,3,1310537864,191597,6840,
6760,1546738006,TQBR,6720,6819,6720,6678,6760,6760,1546738006,1546738006,11224,6773,GMKN,ГМКНорНик,2014-06-26,3,1546798963,228827,6760,
