ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
0.013002,45143360.7,TQBR,,,0.012919,,0.013002,0.013002,45143360.7,45143360.7,0,,IRAO,ИнтерРАОао,2013-07-08,3,0.0,0,,
0.012952,49210480.3,TQBR,,,0.012919,,0.012952,0.012952,49210480.3,49210480.3,0,,IRAO,ИнтерРАОао,2013-07-09,3,0.0,0,,
0.012761,46408811.7,TQBR,,,0.012698,,0.012761,0.012761,46408811.7,46408811.7,0,,IRAO,ИнтерРАОао,2013-07-10,3,0.0,0,,
0.012908,89567325.0,TQBR,1.2919999999999998,0.012925,0.013006,0.012905,0.012908,0.012908,89567325.0,89567325.0,16,1.2919999999999998,IRAO,ИнтерРАОао,2013-07-11,3,968750.0,75000000,0.012917,
0.013299,121904113.7,TQBR,,,0.013303,,0.013299,0.013299,121904113.7,121904113.7,0,,IRAO,ИнтерРАОао,2013-07-12,3,0.0,0,,
0.01333,106984823.1,TQBR,,,0.013207,,0.01333,0.01333,106984823.1,106984823.1,0,,IRAO,ИнтерРАОао,2013-07-15,3,0.0,0,,
0.013298,101871232.2,TQBR,,,0.013246,,0.013298,0.013298,101871232.2,101871232.2,0,,IRAO,ИнтерРАОао,2013-07-16,3,0.0,0,,
0.013522,120793770.4,TQBR,1.0549,0.0133,0.013621,0.010549,0.013522,0.013522,120793770.4,120793770.4,4,1.3299999999999998,IRAO,ИнтерРАОао,2013-07-17,3,161482.3,12700000,0.012715,
0.013777,140421809.4,TQBR,1.3828,0.013879,0.013762,0.013828,0.013777,0.013777,140421809.4,140421809.4,19,1.3879000000000001,IRAO,ИнтерРАОао,2013-07-18,3,901408.4,65000000,0.013868,
0.013867,79668647.2,TQBR,,,0.013792,,0.013867,0.013867,79668647.2,79668647.2,0,,IRAO,ИнтерРАОао,2013-07-19,3,0.0,0,,
0.013693,58774396.1,TQBR,,,0.013619,,0.013693,0.013693,58774396.1,58774396.1,0,,IRAO,ИнтерРАОао,2013-07-22,3,0.0,0,,
0.01371,93384178.6,TQBR,,,0.013687,,0.01371,0.01371,93384178.6,93384178.6,0,,IRAO,ИнтерРАОао,2013-07-23,3,0.0,0,,
0.013749,64770775.6,TQBR,,,0.013775,,0.013749,0.013749,64770775.6,64770775.6,0,,IRAO,ИнтерРАОао,2013-07-24,3,0.0,0,,
0.013567,81452644.9,TQBR,,,0.013346,,0.013567,0.013567,81452644.9,81452644.9,0,,IRAO,ИнтерРАОао,2013-07-25,3,0.0,0,,
0.013142,95704217.5,TQBR,,,0.012895,,0.013142,0.013142,95704217.5,95704217.5,0,,IRAO,ИнтерРАОао,2013-07-26,3,0.0,0,,
0.012832,65594251.2,TQBR,1.2826,0.012857,0.01284,0.011826,0.012832,0.012832,65594251.2,65594251.2,9,1.2857,IRAO,ИнтерРАОао,2013-07-29,3,50010.6,4000000,0.012503,
0.012903,115451531.7,TQBR,,,0.012578,,0.012903,0.012903,115451531.7,115451531.7,0,,IRAO,ИнтерРАОао,2013-07-30,3,0.0,0,,
0.012425,79429580.8,TQBR,1.2630000000000001,0.01263,0.01238,0.0126,0.012425,0.012425,79429580.8,79429580.8,4,1.26,IRAO,ИнтерРАОао,2013-07-31,3,10092.0,800000,0.012615,
0.0127,59505495.8,TQBR,,,0.012896,,0.0127,0.0127,59505495.8,59505495.8,0,,IRAO,ИнтерРАОао,2013-08-01,3,0.0,0,,
0.012913,52440803.9,TQBR,,,0.01296,,0.012913,0.012913,52440803.9,52440803.9,0,,IRAO,ИнтерРАОао,2013-08-02,3,0.0,0,,
0.013016,55553335.1,TQBR,,,0.012918,,0.013016,0.013016,55553335.1,55553335.1,0,,IRAO,ИнтерРАОао,2013-08-05,3,0.0,0,,
0.012628,58352480.2,TQBR,,,0.012384,,0.012628,0.012628,58352480.2,58352480.2,0,,IRAO,ИнтерРАОао,2013-08-06,3,0.0,0,,
0.012425,50875900.4,TQBR,1.25,0.0125,0.012423,0.01235,0.012425,0.012425,50875900.4,50875900.4,3,1.2349999999999999,IRAO,ИнтерРАОао,2013-08-07,3,133645.0,10700000,0.01249,
0.012503,51393490.3,TQBR,1.26,0.0126,0.012498,0.01254,0.012503,0.012503,51393490.3,51393490.3,2,1.254,IRAO,ИнтерРАОао,2013-08-08,3,21342.0,1700000,0.012554,
