ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
1939.8,1590844757.83,TQBR,1922.0,1963.7,1922.6,1920.7,1939.8,1939.8,1590844757.83,1590844757.83,301,1951.7,LKOH,ЛУКОЙЛ,2013-03-25,3,62920708.6,32441,1939.5,
1930.0,1951924638.22,TQBR,1944.5,1944.5,1938.7,1919.8,1930.0,1930.0,1951924638.22,1951924638.22,24,1920.5,LKOH,ЛУКОЙЛ,2013-03-26,3,7035671.0,3653,1926.0,
1947.9,2411451230.72,TQBR,1969.7,1971.2,1970.5,1930.0,1947.9,1947.9,2411451230.72,2411451230.72,19,1942.3,LKOH,ЛУКОЙЛ,2013-03-27,3,3738545.3,1924,1943.1,
1974.1,1536170152.23,TQBR,1993.2,1994.6,1994.6,1958.5,1974.1,1974.1,1536170152.23,1536170152.23,33,1958.8,LKOH,ЛУКОЙЛ,2013-03-28,3,6719742.2,3398,1977.6,
1998.3,562458786.68,TQBR,2003.4,2003.7,2003.1,1996.2,1998.3,1998.3,562458786.68,562458786.68,25,1999.1,LKOH,ЛУКОЙЛ,2013-03-29,3,3814674.4,1908,1999.3,
1986.8,1011703596.96,TQBR,1978.2,1998.4,1976.6,1978.2,1986.8,1986.8,1011703596.96,1011703596.96,177,1993.4,LKOH,ЛУКОЙЛ,2013-04-01,3,41558417.2,20889,1989.5,
1987.6,959316665.67,TQBR,2002.2,2002.2,1989.4,1982.9,1987.6,1987.6,959316665.67,959316665.67,65,1983.0,LKOH,ЛУКОЙЛ,2013-04-02,3,13848330.2,6961,1989.4,
1984.9,1568355685.18,TQBR,1978.9,2001.1,1973.8,1976.0,1984.9,1984.9,1568355685.18,1568355685.18,97,1990.0,LKOH,ЛУКОЙЛ,2013-04-03,3,25643878.3,12895,1988.7,
1972.1,1458951961.57,TQBR,1966.9,1984.3,1966.4,1963.4,1972.1,1972.1,1458951961.57,1458951961.57,57,1970.0,LKOH,ЛУКОЙЛ,2013-04-04,3,14390882.2,7302,1970.8,
1950.5,2571985780.72,TQBR,1942.8,1977.2,1935.7,1936.8,1950.5,1950.5,2571985780.72,2571985780.72,93,1967.3,LKOH,ЛУКОЙЛ,2013-04-05,3,30225812.7,15492,1951.1,
1940.2,1775767249.69,TQBR,1924.3,1957.5,1920.6,1920.0,1940.2,1940.2,1775767249.69,1775767249.69,55,1948.9,LKOH,ЛУКОЙЛ,2013-04-08,3,17523939.6,9019,1943.0,
1944.5,1653489115.17,TQBR,1965.9,1965.9,1961.0,1927.2,1944.5,1944.5,1653489115.17,1653489115.17,56,1927.2,LKOH,ЛУКОЙЛ,2013-04-09,3,16214323.5,8348,1942.3,
1952.7,1288321998.62,TQBR,1942.3,1967.7,1945.4,1940.0,1952.7,1952.7,1288321998.62,1288321998.62,83,1963.7,LKOH,ЛУКОЙЛ,2013-04-10,3,24843089.6,12695,1956.9,
1925.8,2036106347.18,TQBR,1920.0,1947.9,1924.1,1906.5,1925.8,1925.8,2036106347.18,2036106347.18,145,1947.9,LKOH,ЛУКОЙЛ,2013-04-11,3,38555939.8,20008,1927.0,
1925.6,1223507929.43,TQBR,1934.4,1935.0,1929.0,1916.6,1925.6,1925.6,1223507929.43,1223507929.43,63,1923.4,LKOH,ЛУКОЙЛ,2013-04-12,3,19024040.7,9880,1925.5,
