ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
550.3,5625652.3,TQBR,,,552.3,,550.3,550.3,5625652.3,5625652.3,0,,LSRG,ЛСР ао,2013-07-08,3,0.0,0,,
542.9,2082699.1,TQBR,,,553.7,,542.9,542.9,2082699.1,2082699.1,0,,LSRG,ЛСР ао,2013-07-09,3,0.0,0,,
562.4,6387876.4,TQBR,,,566.0,,562.4,562.4,6387876.4,6387876.4,0,,LSRG,ЛСР ао,2013-07-10,3,0.0,0,,
579.6,8555039.7,TQBR,,,585.6,,579.6,579.6,8555039.7,8555039.7,0,,LSRG,ЛСР ао,2013-07-11,3,0.0,0,,
579.6,2540596.3,TQBR,,,588.8,,579.6,579.6,2540596.3,2540596.3,0,,LSRG,ЛСР ао,2013-07-12,3,0.0,0,,
582.4,2985479.7,TQBR,579.6,579.6,583.0,579.6,582.4,582.4,2985479.7,2985479.7,1,579.6,LSRG,ЛСР ао,2013-07-15,3,2898.0,5,579.6,
587.4,19623099.7,TQBR,592.7,592.7,598.0,585.5,587.4,587.4,19623099.7,19623099.7,2,585.5,LSRG,ЛСР ао,2013-07-16,3,29620.6,50,592.4,
603.5,10856064.6,TQBR,824.4,824.4,615.1,606.2,603.5,603.5,10856064.6,10856064.6,2,606.2,LSRG,ЛСР ао,2013-07-17,3,10887.0,14,777.6,
601.5,7252704.7,TQBR,,,608.2,,601.5,601.5,7252704.7,7252704.7,0,,LSRG,ЛСР ао,2013-07-18,3,0.0,0,,
613.0,3088788.0,TQBR,609.1,609.1,617.4,609.1,613.0,613.0,3088788.0,3088788.0,1,609.1,LSRG,ЛСР ао,2013-07-19,3,26191.3,43,609.1,
619.1,4560738.5,TQBR,622.8,622.8,627.0,611.6,619.1,619.1,4560738.5,4560738.5,2,611.6,LSRG,ЛСР ао,2013-07-22,3,1857.2,3,619.1,
640.2,15516820.3,TQBR,,,630.7,,640.2,640.2,15516820.3,15516820.3,0,,LSRG,ЛСР ао,2013-07-23,3,0.0,0,,
634.6,705084.5,TQBR,,,635.6,,634.6,634.6,705084.5,705084.5,0,,LSRG,ЛСР ао,2013-07-24,3,0.0,0,,
632.9,6956440.3,TQBR,,,638.0,,632.9,632.9,6956440.3,6956440.3,0,,LSRG,ЛСР ао,2013-07-25,3,0.0,0,,
621.1,4106133.6,TQBR,,,623.7,,621.1,621.1,4106133.6,4106133.6,0,,LSRG,ЛСР ао,2013-07-26,3,0.0,0,,
624.9,4422993.6,TQBR,,,622.0,,624.9,624.9,4422993.6,4422993.6,0,,LSRG,ЛСР ао,2013-07-29,3,0.0,0,,
636.7,5797994.3,TQBR,,,632.6,,636.7,636.7,5797994.3,5797994.3,0,,LSRG,ЛСР ао,2013-07-30,3,0.0,0,,
626.1,8129605.2,TQBR,,,617.1,,626.1,626.1,8129605.2,8129605.2,0,,LSRG,ЛСР ао,2013-07-31,3,0.0,0,,
633.4,3616453.4,TQBR,,,633.7,,633.4,633.4,3616453.4,3616453.4,0,,LSRG,ЛСР ао,2013-08-01,3,0.0,0,,
627.6,13617385.3,TQBR,,,625.7,,627.6,627.6,13617385.3,13617385.3,0,,LSRG,ЛСР ао,2013-08-02,3,0.0,0,,
606.7,2746594.8,TQBR,,,607.5,,606.7,606.7,2746594.8,2746594.8,0,,LSRG,ЛСР ао,2013-08-05,3,0.0,0,,
608.6,588497.8,TQBR,,,607.5,,608.6,608.6,588497.8,588497.8,0,,LSRG,ЛСР ао,2013-08-06,3,0.0,0,,
617.8,2494616.3,TQBR,,,620.9,,617.8,617.8,2494616.3,2494616.3,0,,LSRG,ЛСР ао,2013-08-07,3,0.0,0,,
632.4,6096975.1,TQBR,,,630.9,,632.4,632.4,6096975.1,6096975.1,0,,LSRG,ЛСР ао,2013-08-08,3,0.0,0,,
,0.0,TQBR,,,633.0,,,631.7,528086.9,0.0,0,,LSRG,ЛСР ао,2013-08-09,3,0.0,0,,
618.4,963461.1,TQBR,,,615.1,,618.4,618.4,963461.1,963461.1,0,,LSRG,ЛСР ао,2013-08-12,3,0.0,0,,
621.7,1700434.3,TQBR,,,626.0,,621.7,621.7,1700434.3,1700434.3,0,,LSRG,ЛСР ао,2013-08-13,3,0.0,0,,
633.7,1252191.9,TQBR,,,635.2,,633.7,633.7,1252191.9,1252191.9,0,,LSRG,ЛСР ао,2013-08-14,3,0.0,0,,
623.2,1049418.7,TQBR,,,626.3,,623.2,623.2,1049418.7,1049418.7,0,,LSRG,ЛСР ао,2013-08-15,3,0.0,0,,
620.0,3020602.0,TQBR,,,614.6,,620.0,620.0,3020602.0,3020602.0,0,,LSRG,ЛСР ао,2013-08-16,3,0.0,0,,
614.2,2985202.7,TQBR,,,615.6,,614.2,614.2,2985202.7,2985202.7,0,,LSRG,ЛСР ао,2013-08-19,3,0.0,0,,
614.6,2211374.1,TQBR,,,614.0,,614.6,614.6,2211374.1,2211374.1,0,,LSRG,ЛСР ао,2013-08-20,3,0.0,0,,
612.9,2927850.8,TQBR,,,614.6,,612.9,612.9,2927850.8,2927850.8,0,,LSRG,ЛСР ао,2013-08-21,3,0.0,0,,
616.6,3592171.8,TQBR,,,621.0,,616.6,616.6,3592171.8,3592171.8,0,,LSRG,ЛСР ао,2013-08-22,3,0.0,0,,
610.6,843794.6,TQBR,,,612.2,,610.6,610.6,843794.6,843794.6,0,,LSRG,ЛСР ао,2013-08-23,3,0.0,0,,
601.3,2576557.3,TQBR,,,599.7,,601.3,601.3,2576557.3,2576557.3,0,,LSRG,ЛСР ао,2013-08-26,3,0.0,0,,
595.3,3253336.9,TQBR,,,589.5,,595.3,595.3,3253336.9,3253336.9,0,,LSRG,ЛСР ао,2013-08-27,3,0.0,0,,
590.5,2194769.5,TQBR,,,592.1,,590.5,590.5,2194769.5,2194769.5,0,,LSRG,ЛСР ао,2013-08-28,3,0.0,0,,
583.8,2633930.3,TQBR,700.0,700.0,577.3,700.0,583.8,583.8,2633930.3,2633930.3,1,700.0,LSRG,ЛСР ао,2013-08-29,3,700.0,1,700.0,
570.2,1565206.2,TQBR,,,570.0,,570.2,570.2,1565206.2,1565206.2,0,,LSRG,ЛСР ао,2013-08-30,3,0.0,0,,
571.1,2200970.7,TQBR,572.5,581.3,572.3,560.2,571.1,571.1,2200970.7,2200970.7,339,567.5,LSRG,ЛСР ао,2013-09-02,3,2200970.7,3854,571.1,
571.4,2893489.7,TQBR,565.0,582.3,565.1,562.2,571.4,571.4,2893489.7,2893489.7,451,573.9,LSRG,ЛСР ао,2013-09-03,3,2893489.7,5064,571.4,
564.3,1990803.8,TQBR,565.0,572.6,565.0,555.0,564.3,564.3,1990803.8,1990803.8,330,565.0,LSRG,ЛСР ао,2013-09-04,3,1990803.8,3528,564.3,
575.9,8901658.1,TQBR,580.3,581.3,581.3,564.1,575.9,575.9,8901658.1,8901658.1,285,566.5,LSRG,ЛСР ао,2013-09-05,3,8901658.1,15458,575.9,
582.5,13019963.8,TQBR,580.0,589.0,580.0,575.8,582.5,582.5,13019963.8,13019963.8,566,575.8,LSRG,ЛСР ао,2013-09-06,3,13019963.8,22353,582.5,
589.3,5911463.6,TQBR,582.0,599.0,582.3,580.0,589.3,589.3,5911463.6,5911463.6,605,580.0,LSRG,ЛСР ао,2013-09-09,3,5911463.6,10032,589.3,
587.7,4679632.6,TQBR,571.7,598.3,573.4,571.1,587.7,587.7,4679632.6,4679632.6,785,590.4,LSRG,ЛСР ао,2013-09-10,3,4679632.6,7962,587.7,
575.2,4350510.0,TQBR,572.0,580.5,572.1,571.3,575.2,575.2,4350510.0,4350510.0,537,578.9,LSRG,ЛСР ао,2013-09-11,3,4350510.0,7564,575.2,
573.3,13375941.1,TQBR,565.6,580.0,565.6,565.3,573.3,573.3,13375941.1,13375941.1,645,580.0,LSRG,ЛСР ао,2013-09-12,3,13379421.1,23338,573.3,
555.8,9002634.6,TQBR,543.0,570.9,544.9,542.5,555.8,555.8,9002634.6,9002634.6,1885,568.9,LSRG,ЛСР ао,2013-09-13,3,9002634.6,16197,555.8,
574.1,36564182.0,TQBR,573.0,619.3,573.0,549.7,574.1,574.1,36564182.0,36564182.0,1462,549.7,LSRG,ЛСР ао,2013-09-16,3,36564182.0,63693,574.1,
567.0,1431587.8,TQBR,567.0,573.0,567.0,565.0,567.0,567.0,1431587.8,1431587.8,167,573.0,LSRG,ЛСР ао,2013-09-17,3,1431587.8,2525,567.0,
567.1,3902524.6,TQBR,559.0,570.1,559.2,557.0,567.1,567.1,3902524.6,3902524.6,277,566.1,LSRG,ЛСР ао,2013-09-18,3,3902524.6,6881,567.1,
580.5,7865140.0,TQBR,587.0,588.7,579.9,566.8,580.5,580.5,7865140.0,7865140.0,1109,566.8,LSRG,ЛСР ао,2013-09-19,3,7867407.2,13554,580.4,
584.2,4905152.3,TQBR,568.8,594.0,568.9,566.0,584.2,584.2,4905152.3,4905152.3,653,587.4,LSRG,ЛСР ао,2013-09-20,3,4905152.3,8397,584.2,
563.6,1792787.7,TQBR,560.1,572.9,560.9,558.2,563.6,563.6,1792787.7,1792787.7,229,558.2,LSRG,ЛСР ао,2013-09-23,3,1793345.9,3182,563.6,
562.4,8843822.3,TQBR,563.0,565.5,564.4,558.0,562.4,562.4,8843822.3,8843822.3,512,565.1,LSRG,ЛСР ао,2013-09-24,3,8843822.3,15726,562.4,
560.9,1693808.0,TQBR,558.1,565.5,557.0,555.5,560.9,560.9,1693808.0,1693808.0,221,565.0,LSRG,ЛСР ао,2013-09-25,3,1693808.0,3020,560.9,
565.6,5323804.5,TQBR,569.5,569.5,569.5,559.0,565.6,565.6,5323804.5,5323804.5,411,563.5,LSRG,ЛСР ао,2013-09-26,3,5323804.5,9412,565.6,
564.6,2703100.8,TQBR,568.9,570.0,565.6,556.2,564.6,564.6,2703100.8,2703100.8,693,570.0,LSRG,ЛСР ао,2013-09-27,3,2703100.8,4788,564.6,
564.7,6070003.4,TQBR,564.0,569.5,564.0,561.0,564.7,564.7,6070003.4,6070003.4,187,567.0,LSRG,ЛСР ао,2013-09-30,3,6070003.4,10750,564.7,
568.3,1012639.0,TQBR,568.0,571.9,570.0,563.2,568.3,568.3,1012639.0,1012639.0,176,563.2,LSRG,ЛСР ао,2013-10-01,3,1012639.0,1782,568.3,
562.1,1907151.7,TQBR,558.1,568.0,555.8,551.4,562.1,562.1,1907151.7,1907151.7,409,565.8,LSRG,ЛСР ао,2013-10-02,3,1908283.3,3395,562.1,
555.9,11034474.5,TQBR,551.3,568.7,552.5,545.8,555.9,555.9,11034474.5,11034474.5,628,558.3,LSRG,ЛСР ао,2013-10-03,3,11034474.5,19848,555.9,
551.8,2802253.0,TQBR,553.3,558.0,554.7,545.9,551.8,551.8,2802253.0,2802253.0,227,552.8,LSRG,ЛСР ао,2013-10-04,3,2802253.0,5078,551.8,
549.4,1957108.7,TQBR,548.1,552.4,548.1,544.7,549.4,549.4,1957108.7,1957108.7,261,552.4,LSRG,ЛСР ао,2013-10-07,3,1957108.7,3562,549.4,
553.5,1884803.3,TQBR,553.0,556.8,552.9,547.7,553.5,553.5,1884803.3,1884803.3,205,552.0,LSRG,ЛСР ао,2013-10-08,3,1884803.3,3405,553.5,
556.1,2927311.5,TQBR,564.3,564.3,561.0,551.7,556.1,556.1,2927311.5,2927311.5,554,555.6,LSRG,ЛСР ао,2013-10-09,3,2927311.5,5264,556.1,
565.5,6898134.9,TQBR,569.7,570.1,567.1,555.0,565.5,565.5,6898134.9,6898134.9,402,565.0,LSRG,ЛСР ао,2013-10-10,3,6900394.9,12203,565.5,
567.2,6887487.5,TQBR,567.9,575.4,566.1,556.5,567.2,567.2,6887487.5,6887487.5,495,575.0,LSRG,ЛСР ао,2013-10-11,3,6917962.5,12197,567.2,
572.3,4748169.4,TQBR,577.2,577.3,577.3,555.5,572.3,572.3,4748169.4,4748169.4,554,565.0,LSRG,ЛСР ао,2013-10-14,3,4748169.4,8297,572.3,
586.1,7630816.2,TQBR,599.3,599.3,599.2,577.7,586.1,586.1,7630816.2,7630816.2,623,577.7,LSRG,ЛСР ао,2013-10-15,3,7630816.2,13019,586.1,
609.3,8331529.1,TQBR,615.0,619.3,614.4,587.9,609.3,609.3,8331529.1,8331529.1,613,596.0,LSRG,ЛСР ао,2013-10-16,3,8331529.1,13675,609.3,
607.0,4014067.8,TQBR,606.0,624.3,600.8,595.3,607.0,607.0,4014067.8,4014067.8,526,615.7,LSRG,ЛСР ао,2013-10-17,3,4014067.8,6613,607.0,
620.3,9979552.3,TQBR,625.0,629.2,626.5,600.0,620.3,620.3,9979552.3,9979552.3,476,601.1,LSRG,ЛСР ао,2013-10-18,3,9979552.3,16089,620.3,
