ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
6.798,102050790.1,TQBR,6.835,6.989,6.835,6.674,6.798,6.798,102050790.1,102050790.1,2501,6.84,MAGN,ММК,2014-06-09,3,102050790.1,15012800,6.798,
6.773,35377788.6,TQBR,6.762,6.857,6.762,6.72,6.773,6.773,35377788.6,35377788.6,1069,6.843,MAGN,ММК,2014-06-10,3,35418846.6,5229600,6.773,
6.761,20848875.4,TQBR,6.77,6.843,6.77,6.731,6.761,6.761,20848875.4,20848875.4,1119,6.796,MAGN,ММК,2014-06-11,3,20848875.4,3083500,6.761,
6.868,176221207.1,TQBR,6.848,6.979,6.848,6.671,6.868,6.868,176221207.1,176221207.1,6081,6.755,MAGN,ММК,2014-06-16,3,176221207.1,25659900,6.868,
6.857,59535283.1,TQBR,6.857,6.955,6.857,6.519,6.857,6.857,59535283.1,59535283.1,2052,6.519,MAGN,ММК,2014-06-17,3,59537238.8,8682700,6.857,
6.854,31774542.7,TQBR,6.8,6.917,6.8,6.774,6.854,6.854,31774542.7,31774542.7,1294,6.857,MAGN,ММК,2014-06-18,3,31774542.7,4635900,6.854,
6.819,38292657.1,TQBR,6.773,6.888,6.773,6.718,6.819,6.819,38292657.1,38292657.1,1431,6.888,MAGN,ММК,2014-06-19,3,38327097.1,5620700,6.819,
6.703,44694597.8,TQBR,6.728,6.786,6.728,6.658,6.703,6.703,44694597.8,44694597.8,1385,6.786,MAGN,ММК,2014-06-20,3,44695955.0,6668400,6.703,
6.67,55573830.4,TQBR,6.601,6.888,6.601,6.594,6.67,6.67,55573830.4,55573830.4,1923,6.733,MAGN,ММК,2014-06-23,3,55573830.4,8332500,6.67,
6.65,38303248.5,TQBR,6.699,6.699,6.699,6.59,6.65,6.65,38303248.5,38303248.5,1392,6.601,MAGN,ММК,2014-06-24,3,38323051.5,5763000,6.65,
6.597,37288072.2,TQBR,6.56,6.671,6.56,6.545,6.597,6.597,37288072.2,37288072.2,1766,6.671,MAGN,ММК,2014-06-25,3,37290740.6,5652900,6.597,
6.581,28856980.1,TQBR,6.628,6.63,6.628,6.521,6.581,6.581,28856980.1,28856980.1,1231,6.58,MAGN,ММК,2014-06-26,3,28862244.1,4385500,6.581,
6.667,23183484.4,TQBR,6.67,6.72,6.67,6.63,6.667,6.667,23183484.4,23183484.4,828,6.65,MAGN,ММК,2014-06-27,3,23215404.4,3482000,6.667,
6.697,42878715.8,TQBR,6.693,6.799,6.693,6.649,6.697,6.697,42878715.8,42878715.8,1222,6.7,MAGN,ММК,2014-06-30,3,42977875.8,6417200,6.697,
6.725,46940373.9,TQBR,6.679,6.765,6.679,6.665,6.725,6.725,46940373.9,46940373.9,1276,6.684,MAGN,ММК,2014-07-01,3,46940373.9,6979500,6.725,
6.744,58619550.6,TQBR,6.798,6.815,6.798,6.69,6.744,6.744,58619550.6,58619550.6,1882,6.696,MAGN,ММК,2014-07-02,3,58623568.2,8693100,6.744,
6.803,50763273.8,TQBR,6.814,6.849,6.814,6.765,6.803,6.803,50763273.8,50763273.8,1500,6.799,MAGN,ММК,2014-07-03,3,50798628.6,7467100,6.803,
6.791,44188949.2,TQBR,6.699,6.92,6.699,6.666,6.791,6.791,44188949.2,44188949.2,1387,6.819,MAGN,ММК,2014-07-04,3,44194404.4,6507900,6.791,
6.784,48767847.1,TQBR,6.775,6.85,6.775,6.7,6.784,6.784,48767847.1,48767847.1,1266,6.73,MAGN,ММК,2014-07-07,3,48767847.1,7188500,6.784,
6.798,48039329.7,TQBR,6.763,6.869,6.763,6.711,6.798,6.798,48039329.7,48039329.7,1333,6.8,MAGN,ММК,2014-07-08,3,48040009.7,7066800,6.798,
6.785,57636364.8,TQBR,6.816,6.843,6.816,6.712,6.785,6.785,57636364.8,57636364.8,1637,6.787,MAGN,ММК,2014-07-09,3,57637043.5,8494600,6.785,
6.822,104435113.0,TQBR,6.744,6.912,6.744,6.718,6.822,6.822,104435113.0,104435113.0,2775,6.82,MAGN,ММК,2014-07-10,3,104435113.0,15308400,6.822,
6.753,57200278.4,TQBR,6.693,6.89,6.693,6.68,6.753,6.753,57200278.4,57200278.4,1642,6.8,MAGN,ММК,2014-07-11,3,57200278.4,8470700,6.753,
6.662,32431929.0,TQBR,6.646,6.747,6.646,6.602,6.662,6.662,32431929.0,32431929.0,1436,6.745,MAGN,ММК,2014-07-14,3,32437325.0,4869300,6.662,
6.696,40084394.8,TQBR,6.8,6.811,6.8,6.601,6.696,6.696,40084394.8,40084394.8,1365,6.668,MAGN,ММК,2014-07-15,3,40084394.8,5986300,6.696,
6.852,82364761.9,TQBR,6.92,6.97,6.92,6.757,6.852,6.852,82364761.9,82364761.9,2742,6.77,MAGN,ММК,2014-07-16,3,82378301.9,12022000,6.852,
6.865,128179610.6,TQBR,6.887,6.949,6.887,6.778,6.865,6.865,128179610.6,128179610.6,3253,6.915,MAGN,ММК,2014-07-17,3,128271580.1,18684300,6.865,
6.808,79332927.9,TQBR,6.82,6.89,6.82,6.745,6.808,6.808,79332927.9,79332927.9,2884,6.78,MAGN,ММК,2014-07-18,3,79405473.9,11664200,6.808,
6.642,103932867.3,TQBR,6.502,6.839,6.502,6.502,6.642,6.642,103932867.3,103932867.3,2446,6.825,MAGN,ММК,2014-07-21,3,104001117.3,15658100,6.642,
6.546,72643565.6,TQBR,6.556,6.598,6.556,6.474,6.546,6.546,72643565.6,72643565.6,2397,6.494,MAGN,ММК,2014-07-22,3,72677983.8,11102200,6.546,
6.528,67827109.3,TQBR,6.463,6.622,6.463,6.451,6.528,6.528,67827109.3,67827109.3,1564,6.578,MAGN,ММК,2014-07-23,3,67829740.5,10391000,6.528,
6.517,109242631.2,TQBR,6.681,6.718,6.681,6.381,6.517,6.517,109242631.2,109242631.2,2401,6.447,MAGN,ММК,2014-07-24,3,109252301.7,16763400,6.517,
6.635,68083929.8,TQBR,6.63,6.699,6.63,6.568,6.635,6.635,68083929.8,68083929.8,2088,6.653,MAGN,ММК,2014-07-25,3,68117194.8,10266100,6.635,
6.54,60488924.0,TQBR,6.49,6.679,6.49,6.474,6.54,6.54,60488924.0,60488924.0,1695,6.592,MAGN,ММК,2014-07-28,3,60489583.2,9248700,6.54,
6.567,65350774.3,TQBR,6.595,6.641,6.595,6.494,6.567,6.567,65350774.3,65350774.3,1685,6.509,MAGN,ММК,2014-07-29,3,65350774.3,9951000,6.567,
6.687,91281179.8,TQBR,6.681,6.739,6.681,6.475,6.687,6.687,91281179.8,91281179.8,2288,6.574,MAGN,ММК,2014-07-30,3,91281179.8,13650100,6.687,
6.793,105208128.7,TQBR,6.78,6.939,6.78,6.68,6.793,6.793,105208128.7,105208128.7,2451,6.681,MAGN,ММК,2014-07-31,3,105208128.7,15488700,6.793,
6.735,70928628.4,TQBR,6.757,6.849,6.757,6.691,6.735,6.735,70928628.4,70928628.4,1756,6.701,MAGN,ММК,2014-08-01,3,71050586.6,10550100,6.735,
6.807,63671332.7,TQBR,6.78,6.882,6.78,6.777,6.807,6.807,63671332.7,63671332.7,1300,6.841,MAGN,ММК,2014-08-04,3,63685698.8,9355600,6.807,
6.762,38191777.1,TQBR,6.758,6.848,6.758,6.719,6.762,6.762,38191777.1,38191777.1,1027,6.804,MAGN,ММК,2014-08-05,3,38191777.1,5648300,6.762,
6.563,98853117.1,TQBR,6.46,6.748,6.46,6.45,6.563,6.563,98853117.1,98853117.1,2906,6.704,MAGN,ММК,2014-08-06,3,98873229.1,15066000,6.563,
6.396,110724984.4,TQBR,6.38,6.53,6.38,6.215,6.396,6.396,110724984.4,110724984.4,3294,6.28,MAGN,ММК,2014-08-07,3,110750104.4,17314800,6.396,
6.502,149660155.8,TQBR,6.627,6.691,6.627,6.36,6.502,6.502,149660155.8,149660155.8,3092,6.384,MAGN,ММК,2014-08-08,3,149792943.0,23039200,6.502,
6.759,68949270.1,TQBR,6.784,6.849,6.784,6.728,6.759,6.759,68949270.1,68949270.1,1811,6.73,MAGN,ММК,2014-08-11,3,69088581.1,10222500,6.758,
6.734,34264192.5,TQBR,6.751,6.814,6.751,6.692,6.734,6.734,34264192.5,34264192.5,1201,6.802,MAGN,ММК,2014-08-12,3,34270994.5,5089000,6.734,
6.773,61599401.2,TQBR,6.794,6.85,6.794,6.648,6.773,6.773,61599401.2,61599401.2,1921,6.648,MAGN,ММК,2014-08-13,3,61998281.2,9154900,6.772,
6.794,73967636.1,TQBR,6.79,6.839,6.79,6.703,6.794,6.794,73967636.1,73967636.1,2115,6.795,MAGN,ММК,2014-08-14,3,73967636.1,10887400,6.794,
6.8,51117162.7,TQBR,6.82,6.848,6.82,6.757,6.8,6.8,51117162.7,51117162.7,1100,6.802,MAGN,ММК,2014-08-15,3,51123964.7,7518500,6.8,
6.793,33419366.8,TQBR,6.789,6.84,6.789,6.75,6.793,6.793,33419366.8,33419366.8,776,6.798,MAGN,ММК,2014-08-18,3,33480548.8,4928900,6.793,
6.839,94891387.1,TQBR,6.871,6.899,6.871,6.778,6.839,6.839,94891387.1,94891387.1,1752,6.825,MAGN,ММК,2014-08-19,3,94901624.6,13875900,6.839,
7.195,333413559.6,TQBR,7.42,7.422,7.42,6.868,7.195,7.195,333413559.6,333413559.6,5863,6.897,MAGN,ММК,2014-08-20,3,333413559.6,46342400,7.195,
