ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
49.44,85971115.0,TQBR,49.42,49.74,49.42,49.09,49.44,49.44,85971115.0,85971115.0,3275,49.59,NLMK,НЛМК ао,2014-06-09,3,86054426.2,1740420,49.44,
48.31,138071962.4,TQBR,48.6,49.35,48.6,47.78,48.31,48.31,138071962.4,138071962.4,5341,49.35,NLMK,НЛМК ао,2014-06-10,3,138071962.4,2858080,48.31,
48.62,84979937.3,TQBR,48.33,49.25,48.33,48.2,48.62,48.62,84979937.3,84979937.3,4227,48.56,NLMK,НЛМК ао,2014-06-11,3,84979937.3,1747920,48.62,
48.25,253577032.8,TQBR,48.3,48.94,48.3,46.83,48.25,48.25,253577032.8,253577032.8,11135,47.9,NLMK,НЛМК ао,2014-06-16,3,253609125.8,5256360,48.25,
48.2,123652813.4,TQBR,48.39,48.89,48.39,47.61,48.2,48.2,123652813.4,123652813.4,4507,48.3,NLMK,НЛМК ао,2014-06-17,3,123654745.4,2565250,48.2,
48.93,119849283.2,TQBR,49.17,49.5,49.17,48.2,48.93,48.93,119849283.2,119849283.2,5174,48.53,NLMK,НЛМК ао,2014-06-18,3,119872092.3,2450060,48.93,
49.65,118866650.3,TQBR,48.97,50.3,48.97,48.7,49.65,49.65,118866650.3,118866650.3,4796,49.6,NLMK,НЛМК ао,2014-06-19,3,118912778.3,2394930,49.65,
48.19,85715128.6,TQBR,47.8,49.17,47.8,47.8,48.19,48.19,85715128.6,85715128.6,3186,49.17,NLMK,НЛМК ао,2014-06-20,3,85715620.3,1778640,48.19,
47.11,119690537.5,TQBR,46.85,48.32,46.85,46.29,47.11,47.11,119690537.5,119690537.5,4397,48.0,NLMK,НЛМК ао,2014-06-23,3,119840777.5,2543640,47.11,
47.12,125982258.4,TQBR,47.46,47.6,47.46,46.81,47.12,47.12,125982258.4,125982258.4,4522,47.02,NLMK,НЛМК ао,2014-06-24,3,126005768.4,2674080,47.12,
46.41,98340716.5,TQBR,45.8,47.32,45.8,45.65,46.41,46.41,98340716.5,98340716.5,4413,47.32,NLMK,НЛМК ао,2014-06-25,3,98376206.5,2119910,46.41,
45.85,64427899.3,TQBR,45.75,46.2,45.75,45.52,45.85,45.85,64427899.3,64427899.3,3541,46.03,NLMK,НЛМК ао,2014-06-26,3,64529165.3,1407260,45.85,
46.31,134628615.4,TQBR,47.0,47.0,47.0,44.9,46.31,46.31,134628615.4,134628615.4,5353,45.0,NLMK,НЛМК ао,2014-06-27,3,135652365.4,2929670,46.3,
47.1,109083816.3,TQBR,47.38,47.67,47.38,46.41,47.1,47.1,109083816.3,109083816.3,4499,47.33,NLMK,НЛМК ао,2014-06-30,3,109189362.2,2318460,47.1,
47.5,84333424.3,TQBR,47.72,47.9,47.72,46.9,47.5,47.5,84333424.3,84333424.3,3568,47.29,NLMK,НЛМК ао,2014-07-01,3,84333424.3,1775530,47.5,
48.41,154586334.7,TQBR,48.8,48.99,48.8,47.6,48.41,48.41,154586334.7,154586334.7,7514,47.72,NLMK,НЛМК ао,2014-07-02,3,154599696.3,3193780,48.41,
49.42,149605870.3,TQBR,49.69,49.87,49.69,48.57,49.42,49.42,149605870.3,149605870.3,6027,48.57,NLMK,НЛМК ао,2014-07-03,3,149703496.0,3029540,49.41,
49.22,120355455.0,TQBR,49.09,49.96,49.09,48.66,49.22,49.22,120355455.0,120355455.0,6454,49.69,NLMK,НЛМК ао,2014-07-04,3,120374337.2,2445850,49.22,
49.69,106636184.3,TQBR,50.1,50.3,50.1,48.7,49.69,49.69,106636184.3,106636184.3,5299,49.14,NLMK,НЛМК ао,2014-07-07,3,106756577.3,2148360,49.69,
50.32,137617868.2,TQBR,49.97,50.92,49.97,49.62,50.32,50.32,137617868.2,137617868.2,7128,50.42,NLMK,НЛМК ао,2014-07-08,3,137650137.0,2735300,50.32,
49.76,88832133.8,TQBR,49.53,50.45,49.53,49.3,49.76,49.76,88832133.8,88832133.8,5156,49.92,NLMK,НЛМК ао,2014-07-09,3,88832133.8,1785330,49.76,
48.82,148603794.8,TQBR,48.4,50.0,48.4,48.01,48.82,48.82,148603794.8,148603794.8,7752,49.58,NLMK,НЛМК ао,2014-07-10,3,148684114.4,3045780,48.82,
48.56,82406953.3,TQBR,48.9,48.98,48.9,48.06,48.56,48.56,82406953.3,82406953.3,4796,48.46,NLMK,НЛМК ао,2014-07-11,3,82578986.3,1700610,48.56,
48.94,60756834.2,TQBR,48.9,49.42,48.9,48.45,48.94,48.94,60756834.2,60756834.2,3778,48.86,NLMK,НЛМК ао,2014-07-14,3,60762697.4,1241680,48.94,
49.55,110179572.1,TQBR,49.47,50.13,49.47,48.6,49.55,49.55,110179572.1,110179572.1,5198,48.9,NLMK,НЛМК ао,2014-07-15,3,110180061.1,2223530,49.55,
49.91,131428218.6,TQBR,49.99,50.7,49.99,49.21,49.91,49.91,131428218.6,131428218.6,5962,49.44,NLMK,НЛМК ао,2014-07-16,3,131428218.6,2633430,49.91,
49.57,143889128.8,TQBR,49.9,50.0,49.9,49.05,49.57,49.57,143889128.8,143889128.8,6239,50.0,NLMK,НЛМК ао,2014-07-17,3,144009628.8,2905070,49.57,
49.1,93805709.1,TQBR,48.79,49.6,48.79,48.53,49.1,49.1,93805709.1,93805709.1,4445,49.18,NLMK,НЛМК ао,2014-07-18,3,94454885.1,1923620,49.1,
47.45,130154059.3,TQBR,46.28,48.91,46.28,46.28,47.45,47.45,130154059.3,130154059.3,5815,48.9,NLMK,НЛМК ао,2014-07-21,3,130155526.3,2743290,47.45,
47.7,122006957.7,TQBR,47.72,48.27,47.72,46.55,47.7,47.7,122006957.7,122006957.7,5266,46.55,NLMK,НЛМК ао,2014-07-22,3,122021853.7,2558050,47.7,
47.71,69381294.2,TQBR,47.36,48.45,47.36,47.11,47.71,47.71,69381294.2,69381294.2,3592,47.86,NLMK,НЛМК ао,2014-07-23,3,69381294.2,1454180,47.71,
47.51,56011025.6,TQBR,47.92,48.0,47.92,46.8,47.51,47.51,56011025.6,56011025.6,2965,47.04,NLMK,НЛМК ао,2014-07-24,3,56021374.4,1179190,47.51,
47.34,79869985.7,TQBR,47.27,47.86,47.27,46.9,47.34,47.34,79869985.7,79869985.7,3975,47.86,NLMK,НЛМК ао,2014-07-25,3,79933639.5,1688440,47.34,
46.36,77174139.9,TQBR,46.2,47.47,46.2,45.8,46.36,46.36,77174139.9,77174139.9,3818,47.34,NLMK,НЛМК ао,2014-07-28,3,77451078.9,1670640,46.36,
