ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
1160.8,5011020.1,TQBR,,,1168.8,,1160.8,1160.8,5011020.1,5011020.1,0,,PHOR,ФосАгро ао,2013-07-08,3,0.0,0,,
1168.6,742085.4,TQBR,,,1172.0,,1168.6,1168.6,742085.4,742085.4,0,,PHOR,ФосАгро ао,2013-07-09,3,0.0,0,,
1180.5,1852256.3,TQBR,,,1180.6,,1180.5,1180.5,1852256.3,1852256.3,0,,PHOR,ФосАгро ао,2013-07-10,3,0.0,0,,
1192.8,5838962.7,TQBR,,,1185.4,,1192.8,1192.8,5838962.7,5838962.7,0,,PHOR,ФосАгро ао,2013-07-11,3,0.0,0,,
1207.2,6593759.2,TQBR,,,1219.4,,1207.2,1207.2,6593759.2,6593759.2,0,,PHOR,ФосАгро ао,2013-07-12,3,0.0,0,,
1237.3,5630935.4,TQBR,,,1241.3,,1237.3,1237.3,5630935.4,5630935.4,0,,PHOR,ФосАгро ао,2013-07-15,3,0.0,0,,
1246.3,6249039.3,TQBR,,,1241.4,,1246.3,1246.3,6249039.3,6249039.3,0,,PHOR,ФосАгро ао,2013-07-16,3,0.0,0,,
1252.8,1779033.5,TQBR,,,1255.0,,1252.8,1252.8,1779033.5,1779033.5,0,,PHOR,ФосАгро ао,2013-07-17,3,0.0,0,,
1238.9,7121376.6,TQBR,,,1233.2,,1238.9,1238.9,7121376.6,7121376.6,0,,PHOR,ФосАгро ао,2013-07-18,3,0.0,0,,
1219.0,3101228.2,TQBR,,,1216.6,,1219.0,1219.0,3101228.2,3101228.2,0,,PHOR,ФосАгро ао,2013-07-19,3,0.0,0,,
1207.6,1440695.6,TQBR,,,1225.3,,1207.6,1207.6,1440695.6,1440695.6,0,,PHOR,ФосАгро ао,2013-07-22,3,0.0,0,,
1217.8,1693917.7,TQBR,,,1206.5,,1217.8,1217.8,1693917.7,1693917.7,0,,PHOR,ФосАгро ао,2013-07-23,3,0.0,0,,
1197.2,1525169.2,TQBR,,,1190.8,,1197.2,1197.2,1525169.2,1525169.2,0,,PHOR,ФосАгро ао,2013-07-24,3,0.0,0,,
1177.4,5096936.5,TQBR,,,1154.0,,1177.4,1177.4,5096936.5,5096936.5,0,,PHOR,ФосАгро ао,2013-07-25,3,0.0,0,,
1139.8,5582542.6,TQBR,,,1145.3,,1139.8,1139.8,5582542.6,5582542.6,0,,PHOR,ФосАгро ао,2013-07-26,3,0.0,0,,
1143.6,2968877.1,TQBR,,,1132.0,,1143.6,1143.6,2968877.1,2968877.1,0,,PHOR,ФосАгро ао,2013-07-29,3,0.0,0,,
1047.6,40779978.3,TQBR,,,1041.1,,1047.6,1047.6,40779978.3,40779978.3,0,,PHOR,ФосАгро ао,2013-07-30,3,0.0,0,,
999.5,15742013.2,TQBR,,,972.8,,999.5,999.5,15742013.2,15742013.2,0,,PHOR,ФосАгро ао,2013-07-31,3,0.0,0,,
971.1,28713856.0,TQBR,,,985.3,,971.1,971.1,28713856.0,28713856.0,0,,PHOR,ФосАгро ао,2013-08-01,3,0.0,0,,
977.7,9914922.2,TQBR,,,976.0,,977.7,977.7,9914922.2,9914922.2,0,,PHOR,ФосАгро ао,2013-08-02,3,0.0,0,,
997.5,14810199.7,TQBR,,,996.0,,997.5,997.5,14810199.7,14810199.7,0,,PHOR,ФосАгро ао,2013-08-05,3,0.0,0,,
969.0,53261784.1,TQBR,,,957.2,,969.0,969.0,53261784.1,53261784.1,0,,PHOR,ФосАгро ао,2013-08-06,3,0.0,0,,
956.6,19590789.1,TQBR,,,962.4,,956.6,956.6,19590789.1,19590789.1,0,,PHOR,ФосАгро ао,2013-08-07,3,0.0,0,,
967.9,4450481.9,TQBR,,,966.7,,967.9,967.9,4450481.9,4450481.9,0,,PHOR,ФосАгро ао,2013-08-08,3,0.0,0,,
972.9,37533254.5,TQBR,,,982.3,,972.9,972.9,37533254.5,37533254.5,0,,PHOR,ФосАгро ао,2013-08-09,3,0.0,0,,
979.0,2095985.5,TQBR,,,991.6,,979.0,979.0,2095985.5,2095985.5,0,,PHOR,ФосАгро ао,2013-08-12,3,0.0,0,,
1002.1,25418452.9,TQBR,,,1000.0,,1002.1,1002.1,25418452.9,25418452.9,0,,PHOR,ФосАгро ао,2013-08-13,3,0.0,0,,
1002.7,7621656.3,TQBR,623.9,623.9,996.9,623.9,1002.7,1002.7,7621656.3,7621656.3,1,623.9,PHOR,ФосАгро ао,2013-08-14,3,1247.8,2,623.9,
957.5,53771263.3,TQBR,1371.8,1371.8,974.4,621.7,957.5,957.5,53771263.3,53771263.3,6,621.7,PHOR,ФосАгро ао,2013-08-15,3,29902.5,30,996.8,
