ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
66.34,7441330.2,TQBR,,,67.72,,66.34,66.34,7441330.2,7441330.2,0,,PIKK,ПИК ао,2013-07-08,3,0.0,0,,
68.41,15603295.1,TQBR,,,68.41,,68.41,68.41,15603295.1,15603295.1,0,,PIKK,ПИК ао,2013-07-09,3,0.0,0,,
68.71,12341665.1,TQBR,,,69.1,,68.71,68.71,12341665.1,12341665.1,0,,PIKK,ПИК ао,2013-07-10,3,0.0,0,,
71.65,46743947.2,TQBR,,,72.6,,71.65,71.65,46743947.2,46743947.2,0,,PIKK,ПИК ао,2013-07-11,3,0.0,0,,
73.34,48403599.6,TQBR,,,71.04,,73.34,73.34,48403599.6,48403599.6,0,,PIKK,ПИК ао,2013-07-12,3,0.0,0,,
71.42,12303011.4,TQBR,,,71.68,,71.42,71.42,12303011.4,12303011.4,0,,PIKK,ПИК ао,2013-07-15,3,0.0,0,,
71.8,12150108.9,TQBR,,,71.98,,71.8,71.8,12150108.9,12150108.9,0,,PIKK,ПИК ао,2013-07-16,3,0.0,0,,
71.49,11058780.0,TQBR,,,71.65,,71.49,71.49,11058780.0,11058780.0,0,,PIKK,ПИК ао,2013-07-17,3,0.0,0,,
71.56,9092109.2,TQBR,,,71.64,,71.56,71.56,9092109.2,9092109.2,0,,PIKK,ПИК ао,2013-07-18,3,0.0,0,,
71.69,6030173.2,TQBR,,,71.25,,71.69,71.69,6030173.2,6030173.2,0,,PIKK,ПИК ао,2013-07-19,3,0.0,0,,
71.57,17833034.5,TQBR,,,71.6,,71.57,71.57,17833034.5,17833034.5,0,,PIKK,ПИК ао,2013-07-22,3,0.0,0,,
72.16,18136752.1,TQBR,,,71.6,,72.16,72.16,18136752.1,18136752.1,0,,PIKK,ПИК ао,2013-07-23,3,0.0,0,,
72.5,55695820.7,TQBR,,,72.49,,72.5,72.5,55695820.7,55695820.7,0,,PIKK,ПИК ао,2013-07-24,3,0.0,0,,
71.82,5751510.3,TQBR,,,71.59,,71.82,71.82,5751510.3,5751510.3,0,,PIKK,ПИК ао,2013-07-25,3,0.0,0,,
71.37,3220757.9,TQBR,,,71.41,,71.37,71.37,3220757.9,3220757.9,0,,PIKK,ПИК ао,2013-07-26,3,0.0,0,,
72.17,9593076.3,TQBR,,,72.33,,72.17,72.17,9593076.3,9593076.3,0,,PIKK,ПИК ао,2013-07-29,3,0.0,0,,
72.56,23321049.4,TQBR,,,71.94,,72.56,72.56,23321049.4,23321049.4,0,,PIKK,ПИК ао,2013-07-30,3,0.0,0,,
70.26,13060927.7,TQBR,,,70.98,,70.26,70.26,13060927.7,13060927.7,0,,PIKK,ПИК ао,2013-07-31,3,0.0,0,,
71.64,8565134.1,TQBR,,,71.75,,71.64,71.64,8565134.1,8565134.1,0,,PIKK,ПИК ао,2013-08-01,3,0.0,0,,
71.56,3202155.7,TQBR,,,71.33,,71.56,71.56,3202155.7,3202155.7,0,,PIKK,ПИК ао,2013-08-02,3,0.0,0,,
70.79,2376437.7,TQBR,,,70.7,,70.79,70.79,2376437.7,2376437.7,0,,PIKK,ПИК ао,2013-08-05,3,0.0,0,,
71.0,5666966.9,TQBR,,,71.0,,71.0,71.0,5666966.9,5666966.9,0,,PIKK,ПИК ао,2013-08-06,3,0.0,0,,
70.95,3862658.7,TQBR,,,70.85,,70.95,70.95,3862658.7,3862658.7,0,,PIKK,ПИК ао,2013-08-07,3,0.0,0,,
70.31,9057672.0,TQBR,,,70.33,,70.31,70.31,9057672.0,9057672.0,0,,PIKK,ПИК ао,2013-08-08,3,0.0,0,,
70.4,1091159.4,TQBR,,,70.61,,70.4,70.4,1091159.4,1091159.4,0,,PIKK,ПИК ао,2013-08-09,3,0.0,0,,
69.67,2707432.0,TQBR,,,69.9,,69.67,69.67,2707432.0,2707432.0,0,,PIKK,ПИК ао,2013-08-12,3,0.0,0,,
70.36,8237248.4,TQBR,,,70.8,,70.36,70.36,8237248.4,8237248.4,0,,PIKK,ПИК ао,2013-08-13,3,0.0,0,,
71.03,11875087.2,TQBR,,,71.49,,71.03,71.03,11875087.2,11875087.2,0,,PIKK,ПИК ао,2013-08-14,3,0.0,0,,
70.87,4091806.2,TQBR,,,70.54,,70.87,70.87,4091806.2,4091806.2,0,,PIKK,ПИК ао,2013-08-15,3,0.0,0,,
70.08,6744840.6,TQBR,,,69.76,,70.08,70.08,6744840.6,6744840.6,0,,PIKK,ПИК ао,2013-08-16,3,0.0,0,,
69.54,10018534.3,TQBR,,,70.09,,69.54,69.54,10018534.3,10018534.3,0,,PIKK,ПИК ао,2013-08-19,3,0.0,0,,
69.49,7837332.5,TQBR,,,69.27,,69.49,69.49,7837332.5,7837332.5,0,,PIKK,ПИК ао,2013-08-20,3,0.0,0,,
68.72,10485777.4,TQBR,,,68.27,,68.72,68.72,10485777.4,10485777.4,0,,PIKK,ПИК ао,2013-08-21,3,0.0,0,,
68.9,6325943.9,TQBR,,,69.15,,68.9,68.9,6325943.9,6325943.9,0,,PIKK,ПИК ао,2013-08-22,3,0.0,0,,
68.43,1272729.7,TQBR,,,68.45,,68.43,68.43,1272729.7,1272729.7,0,,PIKK,ПИК ао,2013-08-23,3,0.0,0,,
,0.0,TQBR,,,67.6,,,68.29,771024.2,0.0,0,,PIKK,ПИК ао,2013-08-26,3,0.0,0,,
67.06,1994335.1,TQBR,,,66.38,,67.06,67.06,1994335.1,1994335.1,0,,PIKK,ПИК ао,2013-08-27,3,0.0,0,,
65.49,3350269.6,TQBR,,,65.41,,65.49,65.49,3350269.6,3350269.6,0,,PIKK,ПИК ао,2013-08-28,3,0.0,0,,
65.3,3287374.9,TQBR,,,65.63,,65.3,65.3,3287374.9,3287374.9,0,,PIKK,ПИК ао,2013-08-29,3,0.0,0,,
65.19,5182262.6,TQBR,,,65.44,,65.19,65.19,5182262.6,5182262.6,0,,PIKK,ПИК ао,2013-08-30,3,0.0,0,,
64.09,4387292.7,TQBR,64.07,65.0,63.79,63.52,64.09,64.09,4387292.7,4387292.7,415,64.8,PIKK,ПИК ао,2013-09-02,3,4387292.7,68460,64.09,
63.42,1591817.8,TQBR,63.42,65.3,63.4,63.2,63.42,63.42,1591817.8,1591817.8,318,63.63,PIKK,ПИК ао,2013-09-03,3,1591817.8,25100,63.42,
62.25,4661336.6,TQBR,62.69,63.37,62.62,62.1,62.25,62.25,4661336.6,4661336.6,231,63.37,PIKK,ПИК ао,2013-09-04,3,4661336.6,74880,62.25,
62.97,3659954.0,TQBR,63.44,63.45,63.45,62.5,62.97,62.97,3659954.0,3659954.0,213,62.94,PIKK,ПИК ао,2013-09-05,3,3659954.0,58120,62.97,
63.29,3111364.0,TQBR,62.51,66.7,62.85,62.51,63.29,63.29,3111364.0,3111364.0,413,66.7,PIKK,ПИК ао,2013-09-06,3,3211414.0,50660,63.39,
64.2,3185844.9,TQBR,63.16,65.0,63.71,62.62,64.2,64.2,3185844.9,3185844.9,683,62.87,PIKK,ПИК ао,2013-09-09,3,3185844.9,49620,64.2,
64.35,3904038.7,TQBR,63.84,65.93,63.85,63.09,64.35,64.35,3904038.7,3904038.7,705,63.98,PIKK,ПИК ао,2013-09-10,3,3904038.7,60670,64.35,
63.44,3442943.0,TQBR,63.01,64.08,63.02,63.0,63.44,63.44,3442943.0,3442943.0,362,63.58,PIKK,ПИК ао,2013-09-11,3,3442943.0,54270,63.44,
62.88,3082884.1,TQBR,63.71,63.84,63.7,62.07,62.88,62.88,3082884.1,3082884.1,398,63.01,PIKK,ПИК ао,2013-09-12,3,3082884.1,49030,62.88,
63.94,2920154.5,TQBR,63.97,64.5,64.5,62.54,63.94,63.94,2920154.5,2920154.5,365,63.8,PIKK,ПИК ао,2013-09-13,3,2920154.5,45670,63.94,
64.69,18616195.3,TQBR,64.55,65.83,64.34,63.49,64.69,64.69,18616195.3,18616195.3,2446,64.32,PIKK,ПИК ао,2013-09-16,3,18616195.3,287790,64.69,
64.71,1311580.4,TQBR,64.09,65.25,63.93,63.77,64.71,64.71,1311580.4,1311580.4,228,64.99,PIKK,ПИК ао,2013-09-17,3,1311580.4,20270,64.71,
63.58,8821571.8,TQBR,63.68,64.01,63.34,62.68,63.58,63.58,8821571.8,8821571.8,963,63.67,PIKK,ПИК ао,2013-09-18,3,8821571.8,138740,63.58,
63.51,12848424.8,TQBR,63.02,63.8,63.0,63.0,63.51,63.51,12848424.8,12848424.8,632,63.23,PIKK,ПИК ао,2013-09-19,3,12848424.8,202290,63.51,
63.22,4506092.0,TQBR,63.17,63.44,63.12,62.74,63.22,63.22,4506092.0,4506092.0,361,63.44,PIKK,ПИК ао,2013-09-20,3,4506092.0,71280,63.22,
62.53,2579925.4,TQBR,62.52,64.98,62.51,62.23,62.53,62.53,2579925.4,2579925.4,225,64.98,PIKK,ПИК ао,2013-09-23,3,2580575.2,41270,62.53,
61.75,7420066.3,TQBR,62.2,62.98,62.36,59.59,61.75,61.75,7420066.3,7420066.3,724,62.61,PIKK,ПИК ао,2013-09-24,3,7420066.3,120160,61.75,
63.15,68014197.5,TQBR,63.3,63.51,63.22,61.55,63.15,63.15,68014197.5,68014197.5,1331,62.1,PIKK,ПИК ао,2013-09-25,3,68014818.5,1076960,63.15,
63.9,19777169.5,TQBR,64.27,65.0,64.3,63.29,63.9,63.9,19777169.5,19777169.5,593,63.29,PIKK,ПИК ао,2013-09-26,3,19777169.5,309480,63.9,
64.22,11540378.8,TQBR,64.41,64.47,64.47,63.63,64.22,64.22,11540378.8,11540378.8,429,64.27,PIKK,ПИК ао,2013-09-27,3,11540378.8,179700,64.22,
64.31,9060321.1,TQBR,63.73,64.55,63.94,63.57,64.31,64.31,9060321.1,9060321.1,232,63.96,PIKK,ПИК ао,2013-09-30,3,9069915.1,141040,64.31,
