ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
387.15,2545147.34,TQBR,389.95,395.2,389.32,382.08,387.15,387.15,2545147.34,2545147.34,431,389.49,POLY,Polymetal,2013-09-02,3,2545147.34,6574,387.15,
382.55,2459794.75,TQBR,381.9,385.6,383.14,376.79,382.55,382.55,2459794.75,2459794.75,86,385.6,POLY,Polymetal,2013-09-03,3,2459794.75,6430,382.55,
389.46,2955224.85,TQBR,392.8,394.88,392.8,382.11,389.46,389.46,2955224.85,2955224.85,489,384.9,POLY,Polymetal,2013-09-04,3,2955224.85,7588,389.46,
392.04,1617145.33,TQBR,391.4,394.6,391.4,387.87,392.04,392.04,1617145.33,1617145.33,41,387.87,POLY,Polymetal,2013-09-05,3,1617145.33,4125,392.04,
392.72,6905506.95,TQBR,398.0,402.0,394.46,380.01,392.72,392.72,6905506.95,6905506.95,222,389.0,POLY,Polymetal,2013-09-06,3,6905506.95,17584,392.72,
,0.0,TQBR,399.93,406.94,397.64,396.55,,398.73,529111.1,0.0,82,398.49,POLY,Polymetal,2013-09-09,3,121868.53,302,403.54,
392.12,1071280.06,TQBR,393.57,401.1,394.2,388.0,392.12,392.12,1071280.06,1071280.06,80,397.0,POLY,Polymetal,2013-09-10,3,1071280.06,2732,392.12,
382.71,1270972.29,TQBR,387.5,394.0,386.03,380.0,382.71,382.71,1270972.29,1270972.29,145,391.34,POLY,Polymetal,2013-09-11,3,1270972.29,3321,382.71,
383.06,2105291.22,TQBR,383.4,386.99,383.45,377.73,383.06,383.06,2105291.22,2105291.22,134,385.0,POLY,Polymetal,2013-09-12,3,2105291.22,5496,383.06,
370.5,3459393.25,TQBR,363.0,383.0,362.83,362.83,370.5,370.5,3459393.25,3459393.25,256,381.6,POLY,Polymetal,2013-09-13,3,3459393.25,9337,370.5,
343.04,11983749.66,TQBR,344.5,368.2,350.0,335.17,343.04,343.04,11983749.66,11983749.66,677,365.0,POLY,Polymetal,2013-09-16,3,11983749.66,34934,343.04,
342.28,15271322.7,TQBR,340.0,346.97,341.25,335.06,342.28,342.28,15271322.7,15271322.7,317,344.06,POLY,Polymetal,2013-09-17,3,15271322.7,44616,342.28,
345.58,15145185.76,TQBR,344.18,352.0,344.18,336.18,345.58,345.58,15145185.76,15145185.76,550,337.92,POLY,Polymetal,2013-09-18,3,15145185.76,43826,345.58,
367.63,16787758.33,TQBR,374.4,395.0,369.34,337.5,367.63,367.63,16787758.33,16787758.33,1219,346.85,POLY,Polymetal,2013-09-19,3,16788105.18,45666,367.63,
354.64,8947799.55,TQBR,348.16,374.0,348.16,345.37,354.64,354.64,8947799.55,8947799.55,837,370.66,POLY,Polymetal,2013-09-20,3,8947799.55,25231,354.64,
338.48,5597162.45,TQBR,339.58,345.7,332.0,332.0,338.48,338.48,5597162.45,5597162.45,504,345.7,POLY,Polymetal,2013-09-23,3,5597162.45,16536,338.48,
349.12,11762206.15,TQBR,347.81,357.34,346.79,332.6,349.12,349.12,11762206.15,11762206.15,539,336.92,POLY,Polymetal,2013-09-24,3,11762206.15,33691,349.12,
341.53,8116471.41,TQBR,344.95,347.51,344.55,336.15,341.53,341.53,8116471.41,8116471.41,317,346.89,POLY,Polymetal,2013-09-25,3,8116471.41,23765,341.53,
350.61,9479416.44,TQBR,354.3,354.75,354.39,342.98,350.61,350.61,9479416.44,9479416.44,327,342.98,POLY,Polymetal,2013-09-26,3,9479416.44,27037,350.61,
