ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
,0.0,TQBR,1574.1,1574.2,1574.1,1450.5,,1539.7,500405.3,0.0,14,1559.2,QIWI,iQIWI,2014-06-06,3,112064.8,73,1535.1,
,0.0,TQBR,1600.0,1645.0,1600.0,1460.5,,1590.7,536077.4,0.0,32,1460.5,QIWI,iQIWI,2014-06-09,3,475603.3,298,1596.0,
,0.0,TQBR,1529.8,1635.0,1529.8,1475.9,,1595.9,513882.8,0.0,44,1612.5,QIWI,iQIWI,2014-06-10,3,215783.2,136,1586.6,
1505.0,504190.0,TQBR,1530.0,1565.0,1527.2,1475.0,1505.0,1505.0,504190.0,504190.0,26,1565.0,QIWI,iQIWI,2014-06-11,3,505755.0,336,1505.2,
1521.9,852249.4,TQBR,1500.0,1533.0,1500.0,1500.0,1521.9,1521.9,852249.4,852249.4,24,1523.0,QIWI,iQIWI,2014-06-16,3,852249.4,560,1521.9,
1441.0,1027410.9,TQBR,1444.9,1470.0,1444.9,1439.9,1441.0,1441.0,1027410.9,1027410.9,47,1439.9,QIWI,iQIWI,2014-06-17,3,1027410.9,713,1441.0,
1405.0,1360003.7,TQBR,1395.0,1439.9,1395.0,1380.1,1405.0,1405.0,1360003.7,1360003.7,60,1410.0,QIWI,iQIWI,2014-06-18,3,1360003.7,968,1405.0,
,0.0,TQBR,1380.0,1395.0,1380.0,1375.7,,1389.5,553027.6,0.0,21,1390.0,QIWI,iQIWI,2014-06-19,3,145442.9,105,1385.2,
1401.0,1762469.7,TQBR,1382.5,1443.0,1380.4,1370.0,1401.0,1401.0,1762469.7,1762469.7,125,1370.0,QIWI,iQIWI,2014-06-20,3,1762469.7,1258,1401.0,
1365.6,1085650.1,TQBR,1345.0,1390.0,1345.0,1344.0,1365.6,1365.6,1085650.1,1085650.1,43,1385.0,QIWI,iQIWI,2014-06-23,3,1085650.1,795,1365.6,
,0.0,TQBR,1359.9,1376.5,1359.9,1330.0,,1352.8,600643.6,0.0,29,1335.0,QIWI,iQIWI,2014-06-24,3,466143.6,344,1355.1,
,0.0,TQBR,1380.0,1380.0,1380.0,1370.0,,1368.0,558161.2,0.0,21,1370.0,QIWI,iQIWI,2014-06-25,3,303685.9,221,1374.1,
,0.0,TQBR,1377.0,1377.0,1377.0,1361.0,,1372.3,533808.4,0.0,26,1374.9,QIWI,iQIWI,2014-06-26,3,239761.3,175,1370.1,
,0.0,TQBR,1386.6,1390.0,1386.6,1370.0,,1373.1,573969.6,0.0,6,1389.9,QIWI,iQIWI,2014-06-27,3,40161.2,29,1384.9,
1370.1,1457734.1,TQBR,1370.0,1397.9,1370.0,1345.3,1370.1,1370.1,1457734.1,1457734.1,18,1397.9,QIWI,iQIWI,2014-06-30,3,1457734.1,1064,1370.1,
,0.0,TQBR,1375.2,1400.0,1378.2,1375.2,,1373.8,504181.4,0.0,15,1399.4,QIWI,iQIWI,2014-07-01,3,89071.7,64,1391.7,
,0.0,TQBR,1393.9,1394.6,1393.9,1370.9,,1374.0,515246.1,0.0,8,1375.2,QIWI,iQIWI,2014-07-02,3,11064.7,8,1383.1,
,0.0,TQBR,1375.0,1399.9,1375.2,1371.1,,1375.8,609465.8,0.0,25,1372.1,QIWI,iQIWI,2014-07-03,3,94219.7,68,1385.6,
1420.6,1397854.4,TQBR,1439.4,1445.0,1439.4,1380.6,1420.6,1420.6,1397854.4,1397854.4,55,1410.0,QIWI,iQIWI,2014-07-04,3,1397854.4,984,1420.6,
,0.0,TQBR,1430.0,1450.0,1425.2,1423.2,,1431.0,559540.0,0.0,16,1425.2,QIWI,iQIWI,2014-07-07,3,132685.8,93,1426.7,
,0.0,TQBR,1380.0,1443.9,1380.0,1370.0,,1413.3,505971.9,0.0,41,1403.0,QIWI,iQIWI,2014-07-08,3,358164.1,255,1404.6,
1360.2,602580.5,TQBR,1364.6,1378.0,1362.4,1350.5,1360.2,1360.2,602580.5,602580.5,33,1359.9,QIWI,iQIWI,2014-07-09,3,602580.5,443,1360.2,
,0.0,TQBR,1383.0,1397.0,1383.0,1360.0,,1368.9,544837.3,0.0,40,1391.8,QIWI,iQIWI,2014-07-10,3,280537.0,203,1382.0,
,0.0,TQBR,1404.4,1404.4,1390.3,1380.1,,1376.6,594676.2,0.0,14,1382.1,QIWI,iQIWI,2014-07-11,3,150110.3,108,1389.9,
1431.6,2656963.8,TQBR,1431.2,1460.0,1431.2,1415.0,1431.6,1431.6,2656963.8,2656963.8,43,1415.0,QIWI,iQIWI,2014-07-14,3,2656963.8,1856,1431.6,
1500.1,3139739.8,TQBR,1510.0,1547.4,1509.8,1451.3,1500.1,1500.1,3139739.8,3139739.8,153,1475.0,QIWI,iQIWI,2014-07-15,3,3139739.8,2093,1500.1,
,0.0,TQBR,1523.0,1540.4,1523.0,1499.4,,1511.2,500215.3,0.0,29,1510.0,QIWI,iQIWI,2014-07-16,3,106105.3,70,1515.8,
1540.1,873231.8,TQBR,1531.2,1580.0,1531.2,1500.0,1540.1,1540.1,873231.8,873231.8,50,1548.0,QIWI,iQIWI,2014-07-17,3,873231.8,567,1540.1,
1402.8,1830602.1,TQBR,1439.8,1499.9,1439.8,1360.6,1402.8,1402.8,1830602.1,1830602.1,108,1450.0,QIWI,iQIWI,2014-07-18,3,1830602.1,1305,1402.8,
,0.0,TQBR,1399.9,1420.0,1395.8,1388.4,,1410.9,500874.5,0.0,10,1415.0,QIWI,iQIWI,2014-07-21,3,197701.0,140,1412.2,
1343.7,1792511.2,TQBR,1370.0,1449.0,1372.8,1300.1,1343.7,1343.7,1792511.2,1792511.2,103,1449.0,QIWI,iQIWI,2014-07-22,3,1792511.2,1334,1343.7,
,0.0,TQBR,1382.0,1399.6,1382.0,1382.0,,1381.2,501370.9,0.0,14,1387.0,QIWI,iQIWI,2014-07-23,3,263876.8,190,1388.8,
,0.0,TQBR,1383.0,1383.0,1383.0,1307.8,,1373.3,545213.1,0.0,21,1307.8,QIWI,iQIWI,2014-07-24,3,313139.1,230,1361.5,
1321.0,1178307.5,TQBR,1330.0,1398.8,1330.0,1315.0,1321.0,1321.0,1178307.5,1178307.5,29,1398.8,QIWI,iQIWI,2014-07-25,3,1178307.5,892,1321.0,
,0.0,TQBR,1315.0,1345.0,1315.0,1313.1,,1321.1,963073.6,0.0,20,1330.8,QIWI,iQIWI,2014-07-28,3,388388.6,292,1330.1,
1350.5,717107.8,TQBR,1348.4,1367.0,1356.4,1320.0,1350.5,1350.5,717107.8,717107.8,19,1320.0,QIWI,iQIWI,2014-07-29,3,717107.8,531,1350.5,
1354.8,869774.5,TQBR,1381.9,1381.9,1381.9,1329.1,1354.8,1358.6,543442.1,869774.5,8,1329.1,QIWI,iQIWI,2014-07-30,3,152666.7,111,1375.4,
,0.0,TQBR,1360.0,1419.0,1360.0,1337.0,,1361.1,507704.7,0.0,15,1399.9,QIWI,iQIWI,2014-07-31,3,99262.6,73,1359.8,
,0.0,TQBR,1310.0,1349.9,1310.1,1205.1,,1351.7,616356.2,0.0,43,1321.3,QIWI,iQIWI,2014-08-01,3,108651.5,83,1309.1,
,0.0,TQBR,1348.7,1348.9,1348.7,1300.1,,1351.3,628343.2,0.0,9,1300.1,QIWI,iQIWI,2014-08-04,3,11987.0,9,1331.9,
1359.8,625524.3,TQBR,1390.5,1395.3,1391.7,1295.6,1359.8,1359.8,625524.3,625524.3,23,1295.6,QIWI,iQIWI,2014-08-05,3,625524.3,460,1359.8,
1351.8,631282.1,TQBR,1399.9,1414.9,1399.9,1182.0,1351.8,1351.8,631282.1,631282.1,42,1392.2,QIWI,iQIWI,2014-08-06,3,631282.1,467,1351.8,
1370.1,1438584.1,TQBR,1420.0,1420.0,1408.0,1325.0,1370.1,1370.1,1438584.1,1438584.1,38,1400.0,QIWI,iQIWI,2014-08-07,3,1438584.1,1050,1370.1,
1302.4,1745182.3,TQBR,1323.9,1384.9,1323.9,1275.0,1302.4,1302.4,1745182.3,1745182.3,68,1325.0,QIWI,iQIWI,2014-08-08,3,1745182.3,1340,1302.4,
1318.7,970591.8,TQBR,1320.0,1396.0,1320.0,1280.0,1318.7,1318.7,970591.8,970591.8,34,1280.0,QIWI,iQIWI,2014-08-11,3,970591.8,736,1318.7,
1318.7,1239616.3,TQBR,1320.0,1331.0,1328.3,1315.0,1318.7,1320.7,522989.3,1239616.3,9,1315.0,QIWI,iQIWI,2014-08-12,3,269024.5,204,1318.7,
,0.0,TQBR,1338.0,1338.0,1327.2,1310.0,,1316.1,531684.9,0.0,12,1315.0,QIWI,iQIWI,2014-08-13,3,262660.4,200,1313.3,
