ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
239.6,1526694211.9,TQBR,240.36,241.79,240.36,237.02,239.6,239.6,1526694211.9,1526694211.9,13527,238.08,ROSN,Роснефть,2014-06-09,3,1527091805.5,6373420,239.6,
241.59,1218177488.9,TQBR,242.8,246.48,242.8,239.65,241.59,241.59,1218177488.9,1218177488.9,14123,246.48,ROSN,Роснефть,2014-06-10,3,1218261292.1,5042580,241.59,
245.85,3185686908.1,TQBR,249.66,249.66,249.66,242.12,245.85,245.85,3185686908.1,3185686908.1,24571,242.41,ROSN,Роснефть,2014-06-11,3,3186089308.7,12959310,245.85,
251.17,4815351737.1,TQBR,253.3,254.87,253.3,245.67,251.17,251.17,4815351737.1,4815351737.1,36954,249.01,ROSN,Роснефть,2014-06-16,3,4816128648.3,19174760,251.17,
252.5,1894829635.8,TQBR,251.59,257.3,251.59,250.1,252.5,252.5,1894829635.8,1894829635.8,17967,253.25,ROSN,Роснефть,2014-06-17,3,1894839765.8,7504200,252.5,
251.13,1981546709.3,TQBR,250.87,252.58,250.87,249.23,251.13,251.13,1981546709.3,1981546709.3,14877,251.52,ROSN,Роснефть,2014-06-18,3,1981627195.7,7890720,251.13,
251.33,2251929726.9,TQBR,249.89,254.23,249.89,249.24,251.33,251.33,2251929726.9,2251929726.9,17593,253.0,ROSN,Роснефть,2014-06-19,3,2252794986.9,8963490,251.33,
250.13,1736392933.4,TQBR,250.11,251.84,250.11,248.07,250.13,250.13,1736392933.4,1736392933.4,16511,250.65,ROSN,Роснефть,2014-06-20,3,1737154909.4,6944910,250.13,
251.22,1241800517.4,TQBR,252.3,253.3,252.3,250.0,251.22,251.22,1241800517.4,1241800517.4,12614,250.28,ROSN,Роснефть,2014-06-23,3,1241818037.0,4943100,251.22,
255.12,1760210596.7,TQBR,257.81,258.3,257.81,252.7,255.12,255.12,1760210596.7,1760210596.7,18260,253.05,ROSN,Роснефть,2014-06-24,3,1760223249.2,6899670,255.12,
252.27,1703898459.9,TQBR,250.0,257.69,250.0,248.74,252.27,252.27,1703898459.9,1703898459.9,15939,256.36,ROSN,Роснефть,2014-06-25,3,1704498342.3,6756610,252.27,
249.64,1159341445.7,TQBR,249.24,252.44,249.24,248.5,249.64,249.64,1159341445.7,1159341445.7,15468,251.25,ROSN,Роснефть,2014-06-26,3,1160369058.2,4648100,249.64,
249.15,1186805884.5,TQBR,249.49,251.24,249.49,247.11,249.15,249.15,1186805884.5,1186805884.5,13590,249.9,ROSN,Роснефть,2014-06-27,3,1187030794.5,4764260,249.15,
