ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
0.541,219986432.0,TQBR,0.53,0.548,0.53,0.529,0.541,0.541,219986432.0,219986432.0,4872,0.537,RSTI,Россети ао,2014-06-09,3,220046039.0,407075000,0.541,
0.53,106460284.0,TQBR,0.533,0.534,0.533,0.526,0.53,0.53,106460284.0,106460284.0,3089,0.53,RSTI,Россети ао,2014-06-10,3,106988164.0,201845000,0.53,
0.533,182921321.0,TQBR,0.535,0.539,0.535,0.525,0.533,0.533,182921321.0,182921321.0,3890,0.537,RSTI,Россети ао,2014-06-11,3,183941621.0,345043000,0.533,
0.529,182983316.0,TQBR,0.532,0.534,0.532,0.522,0.529,0.529,182983316.0,182983316.0,5613,0.528,RSTI,Россети ао,2014-06-16,3,183513956.0,346592000,0.529,
0.533,158694512.0,TQBR,0.532,0.542,0.532,0.526,0.533,0.533,158694512.0,158694512.0,3175,0.526,RSTI,Россети ао,2014-06-17,3,158696090.0,297698000,0.533,
0.553,459917480.0,TQBR,0.56,0.564,0.56,0.532,0.553,0.553,459917480.0,459917480.0,9038,0.534,RSTI,Россети ао,2014-06-18,3,459922820.0,831215000,0.553,
0.558,277416505.0,TQBR,0.544,0.568,0.544,0.544,0.558,0.558,277416505.0,277416505.0,5728,0.566,RSTI,Россети ао,2014-06-19,3,278350405.0,498554000,0.558,
0.533,297567518.0,TQBR,0.527,0.545,0.527,0.525,0.533,0.533,297567518.0,297567518.0,5027,0.545,RSTI,Россети ао,2014-06-20,3,297851463.0,558954000,0.533,
0.531,97910715.0,TQBR,0.533,0.535,0.533,0.528,0.531,0.531,97910715.0,97910715.0,2098,0.53,RSTI,Россети ао,2014-06-23,3,97963715.0,184320000,0.531,
0.545,229383704.0,TQBR,0.551,0.554,0.551,0.533,0.545,0.545,229383704.0,229383704.0,4736,0.535,RSTI,Россети ао,2014-06-24,3,229758204.0,421918000,0.545,
0.546,157681689.0,TQBR,0.545,0.553,0.545,0.541,0.546,0.546,157681689.0,157681689.0,2690,0.547,RSTI,Россети ао,2014-06-25,3,157706851.0,288871000,0.546,
0.555,299356499.0,TQBR,0.554,0.564,0.554,0.546,0.555,0.555,299356499.0,299356499.0,4392,0.547,RSTI,Россети ао,2014-06-26,3,299386037.0,538963000,0.555,
0.549,152630364.0,TQBR,0.548,0.557,0.548,0.542,0.549,0.549,152630364.0,152630364.0,3132,0.556,RSTI,Россети ао,2014-06-27,3,152980644.0,278621000,0.549,
