ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
102.57,329510455.6,TQBR,,,102.73,,102.57,102.57,329510455.6,329510455.6,0,,RTKM,Ростел -ао,2013-07-08,3,0.0,0,,
103.69,295684919.7,TQBR,103.0,105.0,103.49,103.0,103.69,103.69,295684919.7,295684919.7,8,105.0,RTKM,Ростел -ао,2013-07-09,3,186795.0,1800,103.78,
102.55,377164509.1,TQBR,102.0,113.6,101.66,102.0,102.55,102.55,377164509.1,377164509.1,8,113.6,RTKM,Ростел -ао,2013-07-10,3,128060.0,1200,106.72,
102.95,305608058.9,TQBR,103.17,103.17,103.2,103.08,102.95,102.95,305608058.9,305608058.9,2,103.08,RTKM,Ростел -ао,2013-07-11,3,6189.3,60,103.16,
106.24,860648875.4,TQBR,107.5,107.5,108.33,103.38,106.24,106.24,860648875.4,860648875.4,7,103.38,RTKM,Ростел -ао,2013-07-12,3,147198.0,1400,105.14,
109.72,590867019.3,TQBR,109.8,110.0,108.97,109.8,109.72,109.72,590867019.3,590867019.3,3,110.0,RTKM,Ростел -ао,2013-07-15,3,43960.0,400,109.9,
111.85,1026573543.5,TQBR,112.98,112.98,113.13,111.52,111.85,111.85,1026573543.5,1026573543.5,4,112.26,RTKM,Ростел -ао,2013-07-16,3,315555.2,2810,112.3,
114.22,839045342.6,TQBR,115.05,115.05,115.11,114.3,114.22,114.22,839045342.6,839045342.6,4,114.3,RTKM,Ростел -ао,2013-07-17,3,184005.0,1600,115.0,
115.71,567185878.3,TQBR,115.6,115.6,115.64,115.6,115.71,115.71,567185878.3,567185878.3,1,115.6,RTKM,Ростел -ао,2013-07-18,3,11560.0,100,115.6,
115.18,307733515.8,TQBR,,,115.44,,115.18,115.18,307733515.8,307733515.8,0,,RTKM,Ростел -ао,2013-07-19,3,0.0,0,,
115.44,225695879.4,TQBR,,,115.31,,115.44,115.44,225695879.4,225695879.4,0,,RTKM,Ростел -ао,2013-07-22,3,0.0,0,,
116.95,526487112.2,TQBR,,,117.42,,116.95,116.95,526487112.2,526487112.2,0,,RTKM,Ростел -ао,2013-07-23,3,0.0,0,,
117.77,462613338.1,TQBR,117.08,117.08,118.02,117.08,117.77,117.77,462613338.1,462613338.1,1,117.08,RTKM,Ростел -ао,2013-07-24,3,21074.4,180,117.08,
