ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
37.24,20078686.0,TQBR,37.34,37.34,37.34,37.0,37.24,37.24,20078686.0,20078686.0,86,37.0,RUAL,РУСАЛ ао,2015-03-30,3,20078686.0,539200,37.24,
36.595,17711414.0,TQBR,36.79,37.0,36.82,36.35,36.595,36.595,17711414.0,17711414.0,46,36.85,RUAL,РУСАЛ ао,2015-03-31,3,17711414.0,484000,36.595,
36.04,11496426.5,TQBR,35.825,36.45,36.245,35.805,36.04,36.04,11496426.5,11496426.5,81,36.0,RUAL,РУСАЛ ао,2015-04-01,3,11496426.5,319000,36.04,
36.18,8451696.5,TQBR,36.45,36.56,36.45,35.8,36.18,36.18,8451696.5,8451696.5,42,36.005,RUAL,РУСАЛ ао,2015-04-02,3,8451696.5,233600,36.18,
36.295,9625827.0,TQBR,36.72,36.72,36.645,35.95,36.295,36.295,9625827.0,9625827.0,60,36.0,RUAL,РУСАЛ ао,2015-04-03,3,9625827.0,265200,36.295,
36.315,14831756.0,TQBR,36.8,36.81,36.475,36.1,36.315,36.315,14831756.0,14831756.0,51,36.4,RUAL,РУСАЛ ао,2015-04-06,3,14831756.0,408400,36.315,
36.185,16036369.5,TQBR,36.66,36.66,36.61,35.9,36.185,36.185,16036369.5,16036369.5,29,36.29,RUAL,РУСАЛ ао,2015-04-07,3,16036369.5,443200,36.185,
37.135,16238709.0,TQBR,37.49,37.49,37.49,36.7,37.135,37.135,16238709.0,16238709.0,61,36.7,RUAL,РУСАЛ ао,2015-04-08,3,16238709.0,437300,37.135,
35.96,17645940.0,TQBR,36.55,36.9,36.49,35.39,35.96,35.96,17645940.0,17645940.0,55,36.9,RUAL,РУСАЛ ао,2015-04-09,3,17645940.0,490700,35.96,
34.52,19297001.5,TQBR,35.38,36.2,34.89,34.0,34.52,34.52,19297001.5,19297001.5,140,35.9,RUAL,РУСАЛ ао,2015-04-10,3,19297001.5,559000,34.52,
