ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
99.99,8572433621.95,TQBR,98.79,101.14,98.66,96.0,99.99,99.99,8572433621.95,8572433621.95,140,96.0,SBER,Сбербанк,2013-03-25,3,59340002.8,593680,99.95,
97.82,12218468579.3,TQBR,97.2,99.31,97.13,97.08,97.82,97.82,12218468579.3,12218468579.3,183,98.58,SBER,Сбербанк,2013-03-26,3,126030358.8,1283550,98.19,
96.45,12519812986.55,TQBR,96.75,98.0,96.73,95.39,96.45,96.45,12519812986.55,12519812986.55,176,97.9,SBER,Сбербанк,2013-03-27,3,121835900.2,1261950,96.55,
97.74,12572809760.42,TQBR,98.59,98.66,98.64,95.72,97.74,97.74,12572809760.42,12572809760.42,299,96.38,SBER,Сбербанк,2013-03-28,3,192469794.9,1971410,97.63,
98.77,2611473832.5,TQBR,98.76,99.09,98.83,98.32,98.77,98.77,2611473832.5,2611473832.5,121,98.6,SBER,Сбербанк,2013-03-29,3,77268860.1,782000,98.81,
98.52,4378601077.8,TQBR,98.07,99.43,98.08,97.55,98.52,98.52,4378601077.8,4378601077.8,441,98.37,SBER,Сбербанк,2013-04-01,3,224932551.3,2279650,98.67,
98.72,8787806487.92,TQBR,98.93,99.45,98.96,98.04,98.72,98.72,8787806487.92,8787806487.92,740,98.12,SBER,Сбербанк,2013-04-02,3,350934591.7,3555020,98.72,
99.18,7151650596.89,TQBR,99.59,99.71,99.48,98.69,99.18,99.18,7151650596.89,7151650596.89,839,98.9,SBER,Сбербанк,2013-04-03,3,372483219.4,3757240,99.14,
99.96,10618284258.32,TQBR,99.91,101.13,99.89,98.5,99.96,99.96,10618284258.32,10618284258.32,1009,98.86,SBER,Сбербанк,2013-04-04,3,516688826.9,5172930,99.88,
99.29,7522684156.69,TQBR,99.38,100.84,99.29,98.4,99.29,99.29,7522684156.69,7522684156.69,1164,99.88,SBER,Сбербанк,2013-04-05,3,518651795.1,5229210,99.18,
100.31,6168250329.99,TQBR,100.43,100.78,100.35,99.83,100.31,100.31,6168250329.99,6168250329.99,645,99.97,SBER,Сбербанк,2013-04-08,3,509859261.2,5080400,100.36,
101.88,7694198810.39,TQBR,102.53,102.62,102.61,100.7,101.88,101.88,7694198810.39,7694198810.39,843,101.24,SBER,Сбербанк,2013-04-09,3,666111961.9,6539720,101.86,
102.68,8527429869.46,TQBR,100.56,102.79,103.28,99.81,102.68,102.68,8527429869.46,8527429869.46,987,102.79,SBER,Сбербанк,2013-04-10,3,650227971.2,6477440,100.38,
102.14,7794297916.8,TQBR,100.31,100.79,102.43,99.45,102.14,102.14,7794297916.8,7794297916.8,1489,100.78,SBER,Сбербанк,2013-04-11,3,973864091.4,9738330,100.0,
99.14,7484292279.9,TQBR,98.34,100.14,98.43,98.2,99.14,99.14,7484292279.9,7484292279.9,1201,99.67,SBER,Сбербанк,2013-04-12,3,868793728.2,8770130,99.06,
96.1,10120630121.93,TQBR,95.48,97.69,95.35,95.05,96.1,96.1,10120630121.93,10120630121.93,1213,97.68,SBER,Сбербанк,2013-04-15,3,910803685.4,9476270,96.11,
95.97,8509297216.7,TQBR,95.92,96.88,95.88,94.73,95.97,95.97,8509297216.7,8509297216.7,926,94.73,SBER,Сбербанк,2013-04-16,3,839293723.5,8746220,95.96,
94.68,8597481540.84,TQBR,94.58,96.62,94.64,93.72,94.68,94.68,8597481540.84,8597481540.84,1383,96.62,SBER,Сбербанк,2013-04-17,3,1167585816.0,12318170,94.79,
95.59,8284601685.66,TQBR,95.35,96.49,95.37,94.26,95.59,95.59,8284601685.66,8284601685.66,1436,94.7,SBER,Сбербанк,2013-04-18,3,1092244646.1,11438210,95.49,
96.34,7355352377.91,TQBR,96.22,96.86,96.35,95.67,96.34,96.34,7355352377.91,7355352377.91,1449,96.3,SBER,Сбербанк,2013-04-19,3,1006888982.6,10456040,96.3,
96.4,7136228425.74,TQBR,95.1,97.95,94.99,94.79,96.4,96.4,7136228425.74,7136228425.74,1605,97.21,SBER,Сбербанк,2013-04-22,3,821226005.4,8487550,96.76,
95.29,8040752545.71,TQBR,96.46,96.5,96.44,94.05,95.29,95.29,8040752545.71,8040752545.71,1193,94.44,SBER,Сбербанк,2013-04-23,3,942323095.4,9918070,95.01,
97.68,9970136235.53,TQBR,97.89,98.75,97.92,96.51,97.68,97.68,9970136235.53,9970136235.53,2221,97.14,SBER,Сбербанк,2013-04-24,3,1055176903.6,10809260,97.62,
97.99,10832325462.37,TQBR,96.11,99.35,96.37,93.0,97.99,97.99,10832325462.37,10832325462.37,4080,98.17,SBER,Сбербанк,2013-04-25,3,1719228023.3,17508370,98.19,
