ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
27.133,404388751.9,TQBR,26.942,27.33,26.942,26.831,27.133,27.133,404388751.9,404388751.9,6405,27.152,SNGS,Сургнфгз,2014-06-09,3,404388751.9,14903900,27.133,
27.087,432892121.7,TQBR,27.394,27.394,27.394,26.7,27.087,27.087,432892121.7,432892121.7,7453,27.0,SNGS,Сургнфгз,2014-06-10,3,432892121.7,15981600,27.087,
27.475,611462906.2,TQBR,27.559,27.65,27.559,27.204,27.475,27.475,611462906.2,611462906.2,10318,27.37,SNGS,Сургнфгз,2014-06-11,3,611471117.2,22255600,27.475,
27.401,1863599903.9,TQBR,27.351,27.635,27.351,27.0,27.401,27.401,1863599903.9,1863599903.9,21493,27.4,SNGS,Сургнфгз,2014-06-16,3,1863936923.9,68023500,27.401,
27.57,673137637.4,TQBR,27.792,28.121,27.792,27.313,27.57,27.57,673137637.4,673137637.4,9607,28.121,SNGS,Сургнфгз,2014-06-17,3,673663500.1,24434500,27.57,
28.171,725366015.6,TQBR,28.184,28.388,28.184,27.768,28.171,28.171,725366015.6,725366015.6,9802,27.842,SNGS,Сургнфгз,2014-06-18,3,725413347.0,25750100,28.171,
27.817,625928798.8,TQBR,27.248,28.474,27.248,27.211,27.817,27.817,625928798.8,625928798.8,11871,28.4,SNGS,Сургнфгз,2014-06-19,3,627093198.8,22542500,27.818,
27.059,502029798.3,TQBR,27.186,27.318,27.186,26.763,27.059,27.059,502029798.3,502029798.3,8874,27.098,SNGS,Сургнфгз,2014-06-20,3,502127351.1,18556500,27.059,
27.302,314464890.1,TQBR,27.275,27.498,27.275,27.06,27.302,27.302,314464890.1,314464890.1,6649,27.275,SNGS,Сургнфгз,2014-06-23,3,314470345.1,11518100,27.302,
27.587,533608014.6,TQBR,27.8,27.825,27.8,27.317,27.587,27.587,533608014.6,533608014.6,10141,27.37,SNGS,Сургнфгз,2014-06-24,3,533608014.6,19342600,27.587,
27.107,522416910.3,TQBR,26.717,27.699,26.717,26.7,27.107,27.107,522416910.3,522416910.3,10594,27.599,SNGS,Сургнфгз,2014-06-25,3,522458308.8,19274200,27.107,
26.551,394576009.0,TQBR,26.5,26.928,26.5,26.28,26.551,26.551,394576009.0,394576009.0,8006,26.855,SNGS,Сургнфгз,2014-06-26,3,394742510.0,14867200,26.551,
26.556,355608928.8,TQBR,26.6,26.73,26.6,26.257,26.556,26.556,355608928.8,355608928.8,8272,26.703,SNGS,Сургнфгз,2014-06-27,3,355958738.1,13404200,26.556,
26.317,344214834.9,TQBR,26.436,26.696,26.436,26.111,26.317,26.317,344214834.9,344214834.9,6576,26.641,SNGS,Сургнфгз,2014-06-30,3,344230819.5,13080400,26.317,
26.462,348525703.7,TQBR,26.673,26.968,26.673,26.12,26.462,26.462,348525703.7,348525703.7,7618,26.968,SNGS,Сургнфгз,2014-07-01,3,348714479.7,13177800,26.462,
27.126,603583044.0,TQBR,27.484,27.484,27.484,26.627,27.126,27.126,603583044.0,603583044.0,11751,26.627,SNGS,Сургнфгз,2014-07-02,3,603588369.4,22251100,27.126,
27.354,244912663.0,TQBR,27.26,27.629,27.26,27.169,27.354,27.354,244912663.0,244912663.0,4622,27.629,SNGS,Сургнфгз,2014-07-03,3,244978972.6,8955800,27.354,
26.888,464202041.8,TQBR,26.595,27.728,26.595,26.301,26.888,26.888,464202041.8,464202041.8,9693,27.728,SNGS,Сургнфгз,2014-07-04,3,464207587.4,17264300,26.888,
