ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
96.97,83155298.2,TQBR,,,97.49,,96.97,96.97,83155298.2,83155298.2,0,,TATNP,Татнфт 3ап,2013-07-08,3,0.0,0,,
97.64,18676625.2,TQBR,,,97.23,,97.64,97.64,18676625.2,18676625.2,0,,TATNP,Татнфт 3ап,2013-07-09,3,0.0,0,,
97.05,13448865.1,TQBR,,,97.19,,97.05,97.05,13448865.1,13448865.1,0,,TATNP,Татнфт 3ап,2013-07-10,3,0.0,0,,
97.81,46792029.9,TQBR,,,97.64,,97.81,97.81,46792029.9,46792029.9,0,,TATNP,Татнфт 3ап,2013-07-11,3,0.0,0,,
97.7,47484101.7,TQBR,,,98.0,,97.7,97.7,47484101.7,47484101.7,0,,TATNP,Татнфт 3ап,2013-07-12,3,0.0,0,,
98.25,16423151.6,TQBR,,,97.95,,98.25,98.25,16423151.6,16423151.6,0,,TATNP,Татнфт 3ап,2013-07-15,3,0.0,0,,
98.83,10623391.8,TQBR,,,98.69,,98.83,98.83,10623391.8,10623391.8,0,,TATNP,Татнфт 3ап,2013-07-16,3,0.0,0,,
99.22,17096293.5,TQBR,,,99.86,,99.22,99.22,17096293.5,17096293.5,0,,TATNP,Татнфт 3ап,2013-07-17,3,0.0,0,,
99.28,35227080.3,TQBR,,,98.9,,99.28,99.28,35227080.3,35227080.3,0,,TATNP,Татнфт 3ап,2013-07-18,3,0.0,0,,
98.69,13217435.0,TQBR,98.95,98.95,98.76,98.95,98.69,98.69,13217435.0,13217435.0,1,98.95,TATNP,Татнфт 3ап,2013-07-19,3,989.5,10,98.95,
98.61,5961717.9,TQBR,,,99.31,,98.61,98.61,5961717.9,5961717.9,0,,TATNP,Татнфт 3ап,2013-07-22,3,0.0,0,,
100.07,31065120.8,TQBR,,,100.19,,100.07,100.07,31065120.8,31065120.8,0,,TATNP,Татнфт 3ап,2013-07-23,3,0.0,0,,
99.27,24312108.1,TQBR,,,98.9,,99.27,99.27,24312108.1,24312108.1,0,,TATNP,Татнфт 3ап,2013-07-24,3,0.0,0,,
99.13,8814331.3,TQBR,,,99.21,,99.13,99.13,8814331.3,8814331.3,0,,TATNP,Татнфт 3ап,2013-07-25,3,0.0,0,,
99.37,9737783.4,TQBR,,,99.44,,99.37,99.37,9737783.4,9737783.4,0,,TATNP,Татнфт 3ап,2013-07-26,3,0.0,0,,
100.63,10486099.6,TQBR,,,100.33,,100.63,100.63,10486099.6,10486099.6,0,,TATNP,Татнфт 3ап,2013-07-29,3,0.0,0,,
100.82,13846433.2,TQBR,,,100.17,,100.82,100.82,13846433.2,13846433.2,0,,TATNP,Татнфт 3ап,2013-07-30,3,0.0,0,,
100.04,15546545.3,TQBR,,,99.64,,100.04,100.04,15546545.3,15546545.3,0,,TATNP,Татнфт 3ап,2013-07-31,3,0.0,0,,
100.99,15241682.9,TQBR,,,101.13,,100.99,100.99,15241682.9,15241682.9,0,,TATNP,Татнфт 3ап,2013-08-01,3,0.0,0,,
101.62,76476275.1,TQBR,,,102.5,,101.62,101.62,76476275.1,76476275.1,0,,TATNP,Татнфт 3ап,2013-08-02,3,0.0,0,,
102.6,3729581.7,TQBR,,,102.95,,102.6,102.6,3729581.7,3729581.7,0,,TATNP,Татнфт 3ап,2013-08-05,3,0.0,0,,
102.94,86631644.3,TQBR,,,103.0,,102.94,102.94,86631644.3,86631644.3,0,,TATNP,Татнфт 3ап,2013-08-06,3,0.0,0,,
102.9,14935428.5,TQBR,,,102.91,,102.9,102.9,14935428.5,14935428.5,0,,TATNP,Татнфт 3ап,2013-08-07,3,0.0,0,,
102.98,95980784.0,TQBR,,,103.32,,102.98,102.98,95980784.0,95980784.0,0,,TATNP,Татнфт 3ап,2013-08-08,3,0.0,0,,
