ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
0.05144,4028315757.41,TQBR,0.05043,0.05194,0.05031,0.05038,0.05144,0.05144,4028315757.41,4028315757.41,3574,0.05181,VTBR,ВТБ ао,2013-03-25,3,1826558312.0,35450700000,0.05152,
0.04953,3343099693.44,TQBR,0.0494,0.0525,0.04902,0.04865,0.04953,0.04953,3343099693.44,3343099693.44,617,0.05069,VTBR,ВТБ ао,2013-03-26,3,278920519.8,5608020000,0.04974,
0.04829,2794060959.32,TQBR,0.04821,0.04987,0.04822,0.04766,0.04829,0.04829,2794060959.32,2794060959.32,478,0.04946,VTBR,ВТБ ао,2013-03-27,3,197040562.6,4061610000,0.04851,
0.04897,2646762957.53,TQBR,0.04979,0.04988,0.04977,0.0477,0.04897,0.04897,2646762957.53,2646762957.53,503,0.0477,VTBR,ВТБ ао,2013-03-28,3,207539154.2,4234170000,0.04902,
0.04981,634719522.32,TQBR,0.04987,0.05,0.04973,0.04954,0.04981,0.04981,634719522.32,634719522.32,142,0.05,VTBR,ВТБ ао,2013-03-29,3,60290813.8,1211060000,0.04978,
0.04953,1041294930.39,TQBR,0.04924,0.0503,0.04947,0.04918,0.04953,0.04953,1041294930.39,1041294930.39,295,0.04945,VTBR,ВТБ ао,2013-04-01,3,117086308.8,2362870000,0.04955,
0.04929,1343708392.27,TQBR,0.04915,0.04984,0.04919,0.04901,0.04929,0.04929,1343708392.27,1343708392.27,417,0.04955,VTBR,ВТБ ао,2013-04-02,3,184878357.7,3744050000,0.04938,
0.04874,2191406650.87,TQBR,0.04825,0.05202,0.04837,0.04825,0.04874,0.04874,2191406650.87,2191406650.87,1033,0.04893,VTBR,ВТБ ао,2013-04-03,3,367545950.3,7520910000,0.04887,
0.04809,2719761317.36,TQBR,0.04726,0.049,0.04732,0.04726,0.04809,0.04809,2719761317.36,2719761317.36,822,0.0481,VTBR,ВТБ ао,2013-04-04,3,306537023.1,6351970000,0.04826,
0.04665,3663534772.55,TQBR,0.04693,0.04781,0.04686,0.04511,0.04665,0.04665,3663534772.55,3663534772.55,1490,0.04761,VTBR,ВТБ ао,2013-04-05,3,580886245.5,12474640000,0.04657,
0.04761,4513641538.33,TQBR,0.04755,0.04842,0.04792,0.0466,0.04761,0.04761,4513641538.33,4513641538.33,1215,0.04687,VTBR,ВТБ ао,2013-04-08,3,511002969.5,10759550000,0.04749,
0.04884,2634038963.68,TQBR,0.04921,0.04977,0.04902,0.04774,0.04884,0.04884,2634038963.68,2634038963.68,1084,0.04834,VTBR,ВТБ ао,2013-04-09,3,467745134.7,9585380000,0.0488,
0.04874,2456691931.58,TQBR,0.04813,0.0497,0.0482,0.04787,0.04874,0.04874,2456691931.58,2456691931.58,961,0.04905,VTBR,ВТБ ао,2013-04-10,3,373640810.3,7662430000,0.04876,
0.04798,2510695070.46,TQBR,0.04792,0.04848,0.04783,0.04737,0.04798,0.04798,2510695070.46,2510695070.46,1629,0.0484,VTBR,ВТБ ао,2013-04-11,3,681783297.9,14207590000,0.04799,
0.04719,1841825219.31,TQBR,0.04696,0.04796,0.04714,0.04658,0.04719,0.04719,1841825219.31,1841825219.31,1187,0.04774,VTBR,ВТБ ао,2013-04-12,3,399700818.0,8458320000,0.04726,
0.046,1659370248.59,TQBR,0.04565,0.04684,0.04566,0.0454,0.046,0.046,1659370248.59,1659370248.59,1194,0.04682,VTBR,ВТБ ао,2013-04-15,3,491832296.1,10690060000,0.04601,
0.04588,2157873907.75,TQBR,0.04536,0.04676,0.04562,0.0452,0.04588,0.04588,2157873907.75,2157873907.75,1908,0.0453,VTBR,ВТБ ао,2013-04-16,3,582128112.9,12693450000,0.04586,
0.04441,2101481181.52,TQBR,0.04389,0.04584,0.04403,0.04359,0.04441,0.04441,2101481181.52,2101481181.52,1601,0.04582,VTBR,ВТБ ао,2013-04-17,3,578619264.2,12995680000,0.04452,
0.04411,1928930389.09,TQBR,0.04352,0.04484,0.04342,0.04341,0.04411,0.04411,1928930389.09,1928930389.09,1509,0.04382,VTBR,ВТБ ао,2013-04-18,3,552331858.6,12514510000,0.04414,
0.0436,1987803201.2,TQBR,0.0438,0.04428,0.04357,0.04309,0.0436,0.0436,1987803201.2,1987803201.2,1482,0.04428,VTBR,ВТБ ао,2013-04-19,3,593454015.6,13613260000,0.04359,
0.04469,3137838605.13,TQBR,0.04431,0.0452,0.04443,0.04404,0.04469,0.04469,3137838605.13,3137838605.13,1869,0.04417,VTBR,ВТБ ао,2013-04-22,3,659651895.6,14751940000,0.04472,
0.04498,2029895331.81,TQBR,0.04588,0.04588,0.04555,0.04433,0.04498,0.04498,2029895331.81,2029895331.81,1661,0.0445,VTBR,ВТБ ао,2013-04-23,3,559445739.6,12436780000,0.04498,
0.04643,4197282109.63,TQBR,0.0456,0.04733,0.04562,0.04537,0.04643,0.04643,4197282109.63,4197282109.63,1817,0.04566,VTBR,ВТБ ао,2013-04-24,3,761631103.9,16377820000,0.0465,
0.04526,5770155749.09,TQBR,0.0451,0.04655,0.04555,0.0439,0.04526,0.04526,5770155749.09,5770155749.09,4144,0.04655,VTBR,ВТБ ао,2013-04-25,3,995499521.3,21925760000,0.0454,
0.04516,5127244529.76,TQBR,0.04546,0.04579,0.04537,0.04435,0.04516,0.04516,5127244529.76,5127244529.76,3882,0.0451,VTBR,ВТБ ао,2013-04-26,3,1309829390.2,29042980000,0.0451,
0.04633,8327184723.31,TQBR,0.04728,0.04746,0.04709,0.04315,0.04633,0.04633,8327184723.31,8327184723.31,9791,0.0445,VTBR,ВТБ ао,2013-04-29,3,3403012881.8,73244340000,0.04646,
0.04839,9299413660.27,TQBR,0.04974,0.04977,0.04922,0.04501,0.04839,0.04839,9299413660.27,9299413660.27,6355,0.047,VTBR,ВТБ ао,2013-04-30,3,1795928123.2,37018930000,0.04851,
