ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
1317.0,46288721.8,TQBR,1170.0,1546.8,1170.0,1163.0,1317.0,1317.0,46288721.8,46288721.8,1528,1546.7,YNDX,Yandex clA,2014-06-04,3,46288721.8,35146,1317.0,
1158.3,28926111.8,TQBR,1145.1,1195.0,1145.1,1141.1,1158.3,1158.3,28926111.8,28926111.8,923,1187.3,YNDX,Yandex clA,2014-06-05,3,28927299.1,24974,1158.3,
1161.1,9160131.4,TQBR,1163.0,1173.5,1163.0,1151.0,1161.1,1161.1,9160131.4,9160131.4,302,1158.3,YNDX,Yandex clA,2014-06-06,3,9160131.4,7889,1161.1,
1161.2,8481667.4,TQBR,1172.1,1185.6,1172.1,1155.7,1161.2,1161.2,8481667.4,8481667.4,275,1178.9,YNDX,Yandex clA,2014-06-09,3,8481667.4,7304,1161.2,
1171.8,3757976.1,TQBR,1170.0,1181.0,1170.0,1160.1,1171.8,1171.8,3757976.1,3757976.1,202,1178.9,YNDX,Yandex clA,2014-06-10,3,3768586.2,3216,1171.8,
1173.6,10370814.5,TQBR,1179.9,1183.0,1179.9,1157.1,1173.6,1173.6,10370814.5,10370814.5,227,1175.0,YNDX,Yandex clA,2014-06-11,3,10370814.5,8837,1173.6,
1168.5,16246738.3,TQBR,1165.0,1181.2,1165.0,1150.0,1168.5,1168.5,16246738.3,16246738.3,260,1164.0,YNDX,Yandex clA,2014-06-16,3,16246738.3,13904,1168.5,
1176.7,10021749.0,TQBR,1185.5,1187.7,1185.5,1157.5,1176.7,1176.7,10021749.0,10021749.0,270,1157.5,YNDX,Yandex clA,2014-06-17,3,10024064.0,8519,1176.7,
1180.6,1717814.0,TQBR,1182.9,1185.0,1182.9,1176.0,1180.6,1180.6,1717814.0,1717814.0,150,1180.1,YNDX,Yandex clA,2014-06-18,3,1717814.0,1455,1180.6,
1168.1,1630655.0,TQBR,1168.0,1182.7,1168.0,1165.0,1168.1,1168.1,1630655.0,1630655.0,176,1176.0,YNDX,Yandex clA,2014-06-19,3,1630655.0,1396,1168.1,
1170.5,3162718.8,TQBR,1175.0,1179.0,1175.0,1160.0,1170.5,1170.5,3162718.8,3162718.8,173,1165.2,YNDX,Yandex clA,2014-06-20,3,3162718.8,2702,1170.5,
1204.2,16956663.1,TQBR,1196.0,1218.8,1196.0,1185.0,1204.2,1204.2,16956663.1,16956663.1,489,1193.1,YNDX,Yandex clA,2014-06-23,3,17075973.1,14181,1204.1,
1200.5,4675791.3,TQBR,1191.8,1208.9,1191.8,1191.0,1200.5,1200.5,4675791.3,4675791.3,225,1200.0,YNDX,Yandex clA,2014-06-24,3,4675791.3,3895,1200.5,
1171.6,4626568.4,TQBR,1176.8,1195.0,1176.8,1153.1,1171.6,1171.6,4626568.4,4626568.4,275,1185.1,YNDX,Yandex clA,2014-06-25,3,4669232.0,3985,1171.7,
1176.6,2814511.9,TQBR,1185.0,1188.5,1185.0,1168.9,1176.6,1176.6,2814511.9,2814511.9,107,1185.0,YNDX,Yandex clA,2014-06-26,3,2827546.9,2403,1176.7,
1183.0,1358063.0,TQBR,1185.0,1197.0,1185.0,1165.0,1183.0,1183.0,1358063.0,1358063.0,92,1172.1,YNDX,Yandex clA,2014-06-27,3,1358063.0,1148,1183.0,
1192.2,10430755.3,TQBR,1218.0,1218.1,1217.6,1184.1,1192.2,1192.2,10430755.3,10430755.3,160,1185.0,YNDX,Yandex clA,2014-06-30,3,10436680.3,8754,1192.2,
1222.3,3710863.3,TQBR,1218.2,1239.8,1218.2,1212.5,1222.3,1222.3,3710863.3,3710863.3,210,1212.5,YNDX,Yandex clA,2014-07-01,3,3710863.3,3036,1222.3,
1208.9,40464426.5,TQBR,1200.0,1220.0,1200.0,1195.0,1208.9,1208.9,40464426.5,40464426.5,295,1218.0,YNDX,Yandex clA,2014-07-02,3,40464426.5,33473,1208.9,
1201.3,30708550.6,TQBR,1192.0,1213.8,1192.0,1184.0,1201.3,1201.3,30708550.6,30708550.6,324,1189.6,YNDX,Yandex clA,2014-07-03,3,30777547.4,25620,1201.3,
1193.6,2545939.5,TQBR,1186.0,1204.9,1186.0,1183.0,1193.6,1193.6,2545939.5,2545939.5,133,1184.9,YNDX,Yandex clA,2014-07-04,3,2545939.5,2133,1193.6,
1165.6,22564599.9,TQBR,1160.0,1211.8,1160.0,1152.0,1165.6,1165.6,22564599.9,22564599.9,544,1200.0,YNDX,Yandex clA,2014-07-07,3,22564599.9,19359,1165.6,
1132.1,30074299.2,TQBR,1113.4,1180.0,1113.4,1100.0,1132.1,1132.1,30074299.2,30074299.2,1156,1165.0,YNDX,Yandex clA,2014-07-08,3,30074299.2,26565,1132.1,
1087.9,21121716.6,TQBR,1094.0,1111.0,1094.0,1073.8,1087.9,1087.9,21121716.6,21121716.6,885,1100.0,YNDX,Yandex clA,2014-07-09,3,21176716.6,19466,1087.9,
1089.3,12217687.5,TQBR,1077.8,1125.7,1077.8,1061.5,1089.3,1089.3,12217687.5,12217687.5,471,1102.5,YNDX,Yandex clA,2014-07-10,3,12238635.0,11235,1089.3,
1097.4,39026692.7,TQBR,1099.3,1101.5,1098.5,1056.0,1097.4,1097.4,39026692.7,39026692.7,332,1072.2,YNDX,Yandex clA,2014-07-11,3,39026692.7,35563,1097.4,
1110.4,6875658.8,TQBR,1118.9,1123.5,1117.0,1090.2,1110.4,1110.4,6875658.8,6875658.8,240,1109.6,YNDX,Yandex clA,2014-07-14,3,6886754.8,6202,1110.4,
1114.7,3108911.6,TQBR,1114.3,1127.5,1114.3,1110.0,1114.7,1114.7,3108911.6,3108911.6,118,1123.3,YNDX,Yandex clA,2014-07-15,3,3108911.6,2789,1114.7,
1103.7,8101448.6,TQBR,1106.5,1115.5,1106.5,1098.1,1103.7,1103.7,8101448.6,8101448.6,142,1114.2,YNDX,Yandex clA,2014-07-16,3,8101448.6,7340,1103.7,
1096.7,7919204.2,TQBR,1088.0,1107.5,1088.0,1067.6,1096.7,1096.7,7919204.2,7919204.2,231,1098.0,YNDX,Yandex clA,2014-07-17,3,7919204.2,7221,1096.7,
1062.6,7591254.7,TQBR,1072.3,1084.2,1072.3,1054.1,1062.6,1062.6,7591254.7,7591254.7,361,1084.2,YNDX,Yandex clA,2014-07-18,3,7593423.1,7146,1062.6,
1066.2,8905579.1,TQBR,1047.5,1081.4,1047.5,1035.0,1066.2,1066.2,8905579.1,8905579.1,244,1080.0,YNDX,Yandex clA,2014-07-21,3,8905579.1,8353,1066.2,
1049.4,10984944.0,TQBR,1060.0,1060.0,1060.0,1043.9,1049.4,1049.4,10984944.0,10984944.0,219,1050.4,YNDX,Yandex clA,2014-07-22,3,10984944.0,10468,1049.4,
1055.8,5580904.9,TQBR,1056.2,1062.0,1056.2,1047.4,1055.8,1055.8,5580904.9,5580904.9,141,1061.4,YNDX,Yandex clA,2014-07-23,3,5580904.9,5286,1055.8,
1074.4,5572067.6,TQBR,1077.8,1093.4,1077.8,1048.3,1074.4,1074.4,5572067.6,5572067.6,227,1056.2,YNDX,Yandex clA,2014-07-24,3,5572067.6,5186,1074.4,
1091.6,5596609.6,TQBR,1075.1,1109.4,1075.1,1070.1,1091.6,1091.6,5596609.6,5596609.6,225,1077.8,YNDX,Yandex clA,2014-07-25,3,5596609.6,5127,1091.6,
1067.7,4262162.4,TQBR,1055.0,1075.0,1055.0,1050.1,1067.7,1067.7,4262162.4,4262162.4,136,1060.2,YNDX,Yandex clA,2014-07-28,3,4262162.4,3992,1067.7,
1100.3,12977256.1,TQBR,1116.0,1147.6,1116.0,1055.1,1100.3,1100.3,12977256.1,12977256.1,490,1055.1,YNDX,Yandex clA,2014-07-29,3,12977256.1,11794,1100.3,
1117.2,3435299.8,TQBR,1120.0,1129.8,1124.7,1106.0,1117.2,1117.2,3435299.8,3435299.8,306,1112.3,YNDX,Yandex clA,2014-07-30,3,3435299.8,3075,1117.2,
1105.6,5401995.4,TQBR,1087.7,1129.9,1087.7,1081.1,1105.6,1105.6,5401995.4,5401995.4,170,1129.9,YNDX,Yandex clA,2014-07-31,3,5401995.4,4886,1105.6,
